"Joel Embiid_PHI","Ben Simmons_PHI","Karl-Anthony Towns_MIN","Jimmy Butler_MIN","Devin Booker_PHO","Zach Randolph_SAC","TJ Warren_PHO","Jeff Teague_MIN","Robert Covington_PHI","Taj Gibson_MIN","Andrew Wiggins_MIN","Dario Saric_PHI","Buddy Hield_SAC","JJ Redick_PHI","Willie Cauley-Stein_SAC","Greg Monroe_PHO","De'Aaron Fox_SAC","Tyson Chandler_PHO","Alex Len_PHO","Mike James_PHO","Josh Jackson_PHO","Trevor Booker_PHI","TJ McConnell_PHI","Tyler Ulis_PHO","Marquese Chriss_PHO","George Hill_SAC","Troy Daniels_PHO","Frank Mason III_SAC","Bogdan Bogdanovic_SAC","Gorgui Dieng_MIN","Richaun Holmes_PHI","Markelle Fultz_PHI","Jared Dudley_PHO","Garrett Temple_SAC","Jakarr Sampson_SAC","Jamal Crawford_MIN","Amir Johnson_PHI","Jerryd Bayless_PHI","Nemanja Bjelica_MIN","Shabazz Muhammad_MIN","Tyus Jones_MIN","Skal Labissiere_SAC","Dragan Bender_PHO","Kosta Koufos_SAC","Justin Jackson_SAC","Alan Williams_PHO","Timothe Luwawu-Cabarrot_PHI","Vince Carter_SAC","Jack Cooley_SAC","Brandon Knight_PHO","Danuel House_PHO","Davon Reed_PHO","Alec Peters_PHO","Malachi Richardson_SAC","Georgios Papagiannis_SAC","Harry Giles_SAC","Aaron Brooks_MIN","Cole Aldrich_MIN","Jacob Pullen_PHI","Anthony Brown_MIN","James Michael McAdoo_PHI","Marcus Georges-Hunt_MIN","Justin Anderson_PHI","Justin Patton_MIN","Furkan Korkmaz_PHI"
662.5,226.5,0,0,0,0,0,0,110.875,0,0,-44.2083333333333,0,-143.291666666667,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,-215.958333333333,0,0,0,0,0,-165.583333333333,-10.4166666666667,0,0,0,0,0,0,0,0,-85.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226.5,253.5,0,0,0,0,0,0,-109.5,0,0,56.125,0,-118.375,0,0,0,0,0,0,0,0,48.75,0,0,0,0,0,0,0,-35.5,0,0,0,0,0,-103.75,30,0,0,0,0,0,0,0,0,-10.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,125.45625,17.99375,0,0,0,105.928125,0,52.39375,-71.33125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-103.20625,0,0,0,0,0,25.525,0,0,0,1.0125,-61.88125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16.253125,0,0,0,0,0,0,0,0
0,0,17.99375,50.79375,0,0,0,38.971875,0,-20.959375,-65.946875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-68.8375,0,0,0,0,0,-18.05,0,0,0,0.646875,-74.9875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19.196875,0,0,0,0,0,0,0,0
0,0,0,0,199.75,0,195.6875,0,0,0,0,0,0,0,0,-198.484375,0,205.390625,15.4375,-56.984375,-140.6875,0,0,59.390625,-32.96875,0,16.21875,0,0,0,0,0,-89.359375,0,0,0,0,0,0,0,0,0,23.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,191.76875,0,0,0,0,0,0,24.121875,0,-111.5375,0,29.690625,0,0,0,0,0,0,0,0,82.296875,0,-26.409375,68.25625,0,0,0,0,-19.159375,0,0,0,0,0,0,0,-73.2,0,39.446875,0,0,0,7.034375,0,0,0,0,0,-15.6,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,195.6875,0,253.14375,0,0,0,0,0,0,0,0,-242.815625,0,268.36875,-18.7875,-35.553125,-149.83125,0,0,80.734375,-18.05625,0,-19.615625,0,0,0,0,0,-145.7,0,0,0,0,0,0,0,0,0,50.378125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,105.928125,38.971875,0,0,0,283.54375,0,0.646875,-76.63125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89.146875,0,0,0,0,0,32.70625,0,0,0,-3.084375,-243.1375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-49.35,0,0,0,0,0,0,0,0
110.875,-109.5,0,0,0,0,0,0,156.140625,0,0,-56.96875,0,20.5625,0,0,0,0,0,0,0,0,-7.96875,0,0,0,0,0,0,0,-67.671875,0,0,0,0,0,28.375,-20.03125,0,0,0,0,0,0,0,0,-40.421875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,52.39375,-20.959375,0,0,0,0.646875,0,97.33125,-39.346875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.08125,0,0,0,0,0,7.80625,0,0,0,0.403125,34.99375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.028125,0,0,0,0,0,0,0,0
0,0,-71.33125,-65.946875,0,0,0,-76.63125,0,-39.346875,136.33125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.2375,0,0,0,0,0,21.06875,0,0,0,-1.10625,104.88125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.76875,0,0,0,0,0,0,0,0
-44.2083333333333,56.125,0,0,0,0,0,0,-56.96875,0,0,38.9375,0,-28.1458333333333,0,0,0,0,0,0,0,0,14.0625,0,0,0,0,0,0,0,30.3229166666667,0,0,0,0,0,3.79166666666667,21.25,0,0,0,0,0,0,0,0,5.65625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,24.121875,0,0,0,0,0,0,243.1125,0,-248.790625,0,-18.096875,0,0,0,0,0,0,0,0,-33.15625,0,35.8625,-30.459375,0,0,0,0,-65.840625,0,0,0,0,0,0,0,-117.378125,0,3.490625,0,0,0,-71.1125,0,0,0,0,0,-1.65,0,0,0,0,0,0,0,0,0,0,0
-143.291666666667,-118.375,0,0,0,0,0,0,20.5625,0,0,-28.1458333333333,0,71.2916666666667,0,0,0,0,0,0,0,0,-31.25,0,0,0,0,0,0,0,31.0625,0,0,0,0,0,38.5,-20.3541666666667,0,0,0,0,0,0,0,0,21.2916666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,-111.5375,0,0,0,0,0,0,-248.790625,0,310.7,0,18.9,0,0,0,0,0,0,0,0,10.734375,0,-13.68125,2.39375,0,0,0,0,74.771875,0,0,0,0,0,0,0,143.290625,0,-37.878125,0,0,0,79.884375,0,0,0,0,0,3.45,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-198.484375,0,-242.815625,0,0,0,0,0,0,0,0,280.8625,0,-187.634375,-60.86875,48.021875,143.425,0,0,-138.9375,2.18125,0,3.0375,0,0,0,0,0,161.10625,0,0,0,0,0,0,0,0,0,-43.096875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,29.690625,0,0,0,0,0,0,-18.096875,0,18.9,0,77.20625,0,0,0,0,0,0,0,0,-3.1875,0,-28.2375,44.725,0,0,0,0,36.215625,0,0,0,0,0,0,0,-9.246875,0,-44.178125,0,0,0,-1.621875,0,0,0,0,0,-10.6,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,205.390625,0,268.36875,0,0,0,0,0,0,0,0,-187.634375,0,415.1375,-175.284375,-37.20625,-127.4,0,0,5.4375,-26.5125,0,-55.190625,0,0,0,0,0,-123.81875,0,0,0,0,0,0,0,0,0,71.915625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,15.4375,0,-18.7875,0,0,0,0,0,0,0,0,-60.86875,0,-175.284375,212.35625,-6.14375,-64.24375,0,0,65.4375,-17.2625,0,69.496875,0,0,0,0,0,-1.459375,0,0,0,0,0,0,0,0,0,-43.146875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-56.984375,0,-35.553125,0,0,0,0,0,0,0,0,48.021875,0,-37.20625,-6.14375,29.85625,16.475,0,0,-26.390625,0.8,0,-8.3625,0,0,0,0,0,14.759375,0,0,0,0,0,0,0,0,0,-4.428125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-140.6875,0,-149.83125,0,0,0,0,0,0,0,0,143.425,0,-127.4,-64.24375,16.475,163.675,0,0,-15.84375,56.275,0,-34.18125,0,0,0,0,0,57.23125,0,0,0,0,0,0,0,0,0,2.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,48.75,0,0,0,0,0,0,-7.96875,0,0,14.0625,0,-31.25,0,0,0,0,0,0,0,0,14.0625,0,0,0,0,0,0,0,-11.09375,0,0,0,0,0,-12.5,10.3125,0,0,0,0,0,0,0,0,-9.84375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,59.390625,0,80.734375,0,0,0,0,0,0,0,0,-138.9375,0,5.4375,65.4375,-26.390625,-15.84375,0,0,118.96875,34.03125,0,-7.453125,0,0,0,0,0,-89.109375,0,0,0,0,0,0,0,0,0,23.46875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-32.96875,0,-18.05625,0,0,0,0,0,0,0,0,2.18125,0,-26.5125,-17.2625,0.8,56.275,0,0,34.03125,35.075,0,-23.8875,0,0,0,0,0,-17.43125,0,0,0,0,0,0,0,0,0,14.88125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,82.296875,0,0,0,0,0,0,-33.15625,0,10.734375,0,-3.1875,0,0,0,0,0,0,0,0,79.90625,0,8.265625,23.890625,0,0,0,0,-14.453125,0,0,0,0,0,0,0,-14.90625,0,22.484375,0,0,0,42.53125,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,0
