"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,955750177,"abragmania (6/20)",0,328.75,"PG George Hill G Mike James SF JJ Redick SG Jimmy Butler PF Richaun Holmes UTIL Joel Embiid F Dario Saric C Karl-Anthony Towns",NA,"Ben Simmons","PG","71.78%",21.25
2,955502501,"dayank97 (1/10)",0,327.75,"PG George Hill G Bogdan Bogdanovic SF JJ Redick SG Jimmy Butler F Richaun Holmes UTIL Joel Embiid PF Dario Saric C Karl-Anthony Towns",NA,"Jimmy Butler","SG","63.95%",53
2,955502554,"dayank97 (2/10)",0,327.75,"PG George Hill G Bogdan Bogdanovic SF JJ Redick SG Jimmy Butler F Richaun Holmes UTIL Joel Embiid PF Dario Saric C Karl-Anthony Towns",NA,"Karl-Anthony Towns","C","54.60%",57
2,955502561,"dayank97 (3/10)",0,327.75,"PG George Hill G Bogdan Bogdanovic SF JJ Redick SG Jimmy Butler F Richaun Holmes UTIL Joel Embiid PF Dario Saric C Karl-Anthony Towns",NA,"JJ Redick","SG","50.61%",33
2,955502578,"dayank97 (4/10)",0,327.75,"PG George Hill G Bogdan Bogdanovic SF JJ Redick SG Jimmy Butler F Richaun Holmes UTIL Joel Embiid PF Dario Saric C Karl-Anthony Towns",NA,"Zach Randolph","PF","50.47%",34.75
2,955502583,"dayank97 (5/10)",0,327.75,"PG George Hill G Bogdan Bogdanovic SF JJ Redick SG Jimmy Butler F Richaun Holmes UTIL Joel Embiid PF Dario Saric C Karl-Anthony Towns",NA,"T.J. Warren","F","42.99%",27.75
2,955502585,"dayank97 (6/10)",0,327.75,"PG George Hill G Bogdan Bogdanovic SF JJ Redick SG Jimmy Butler F Richaun Holmes UTIL Joel Embiid PF Dario Saric C Karl-Anthony Towns",NA,"Buddy Hield","F","40.28%",17.5
2,955502619,"dayank97 (7/10)",0,327.75,"PG George Hill G Bogdan Bogdanovic SF JJ Redick SG Jimmy Butler F Richaun Holmes UTIL Joel Embiid PF Dario Saric C Karl-Anthony Towns",NA,"Andrew Wiggins","SF","36.43%",37.75
2,955502654,"dayank97 (8/10)",0,327.75,"PG George Hill G Bogdan Bogdanovic SF JJ Redick SG Jimmy Butler F Richaun Holmes UTIL Joel Embiid PF Dario Saric C Karl-Anthony Towns",NA,"Dario Saric","PF","36.04%",30.5
2,955509325,"dayank97 (9/10)",0,327.75,"PG George Hill G Bogdan Bogdanovic SF JJ Redick SG Jimmy Butler F Richaun Holmes UTIL Joel Embiid PF Dario Saric C Karl-Anthony Towns",NA,"Jeff Teague","G","35.16%",23.75
2,955509365,"dayank97 (10/10)",0,327.75,"PG George Hill G Bogdan Bogdanovic SF JJ Redick SG Jimmy Butler F Richaun Holmes UTIL Joel Embiid PF Dario Saric C Karl-Anthony Towns",NA,"Mike James","PG","33.21%",25.75
12,955750182,"abragmania (11/20)",0,325,"PG George Hill SG JJ Redick G Jimmy Butler F Gorgui Dieng PF Richaun Holmes SF Andrew Wiggins UTIL Joel Embiid C Karl-Anthony Towns",NA,"Bogdan Bogdanovic","SG","25.77%",24.75
13,955750180,"abragmania (9/20)",0,322.75,"PG George Hill G Tyler Ulis SF JJ Redick SG Jimmy Butler PF Richaun Holmes UTIL Joel Embiid F Dario Saric C Karl-Anthony Towns",NA,"Trevor Booker","C","23.76%",31.75
14,955757670,"bpu08",0,320.75,"SG George Hill PG Frank Mason III F Bogdan Bogdanovic SF JJ Redick G Jimmy Butler PF Andrew Wiggins C Joel Embiid UTIL Karl-Anthony Towns",NA,"Taj Gibson","PF","23.23%",32.5
15,955750174,"abragmania (3/20)",0,318,"F Bogdan Bogdanovic PG Tyler Ulis SG JJ Redick G Jimmy Butler PF Richaun Holmes SF Andrew Wiggins UTIL Joel Embiid C Karl-Anthony Towns",NA,"De'Aaron Fox","G","19.83%",12
16,955159265,"ManUtd4Life",0,316.75,"PG Mike James G Bogdan Bogdanovic SF JJ Redick SG Jimmy Butler F Richaun Holmes UTIL Joel Embiid PF Dario Saric C Karl-Anthony Towns",NA,"Greg Monroe","C","19.57%",0
17,955456631,"jodunn (2/2)",0,314.5,"PG George Hill SF Bogdan Bogdanovic F Marquese Chriss G JJ Redick SG Jimmy Butler C Joel Embiid PF Dario Saric UTIL Karl-Anthony Towns",NA,"Josh Jackson","G","18.76%",16.75
18,955313372,"novaunited45 (19/20)",0,312.75,"PG Mike James SF T.J. Warren G Bogdan Bogdanovic F Trevor Booker SG Jimmy Butler PF Richaun Holmes UTIL Joel Embiid C Karl-Anthony Towns",NA,"Tyson Chandler","UTIL","17.28%",25
18,955552468,"kdkane75",0,312.75,"PG Mike James SF T.J. Warren G Bogdan Bogdanovic F Trevor Booker SG Jimmy Butler PF Richaun Holmes UTIL Joel Embiid C Karl-Anthony Towns",NA,"George Hill","G","15.63%",36.75
20,955004948,"mrcse13 (16/20)",0,312.5,"G Mike James PG Frank Mason III SF JJ Redick SG Jimmy Butler PF Richaun Holmes C Joel Embiid F Dario Saric UTIL Karl-Anthony Towns",NA,"Joel Embiid","C","13.15%",58
21,955167549,"Bigblue6",0,312.25,"PG George Hill PF Willie Cauley-Stein G Bogdan Bogdanovic F Marquese Chriss SG Jimmy Butler SF Andrew Wiggins UTIL Joel Embiid C Karl-Anthony Towns",NA,"Frank Mason III","SG","11.61%",20.5
21,955424267,"GhettoAntenna (7/20)",0,312.25,"PG George Hill PF Willie Cauley-Stein SG Bogdan Bogdanovic F Marquese Chriss G Jimmy Butler SF Andrew Wiggins UTIL Joel Embiid C Karl-Anthony Towns",NA,"Tyler Ulis","G","10.45%",19.75
23,955198582,"jumangibuttercup (6/8)",0,310.5,"F Zach Randolph PG George Hill UTIL Mike James SG JJ Redick PF Taj Gibson G Jimmy Butler SF Andrew Wiggins C Karl-Anthony Towns",NA,"Richaun Holmes","F","9.87%",34.75
24,955750352,"TGE27 (6/7)",0,310.25,"PG George Hill G Frank Mason III F Marquese Chriss SF JJ Redick SG Jimmy Butler C Joel Embiid PF Dario Saric UTIL Karl-Anthony Towns",NA,"Alex Len","UTIL","9.71%",25
25,954888382,"jryan4530",0,309.75,"SG George Hill PG Mike James SF Bogdan Bogdanovic F Josh Jackson G Jimmy Butler PF Andrew Wiggins C Joel Embiid UTIL Karl-Anthony Towns",NA,"Marquese Chriss","F","9.60%",21.5
25,955049301,"dbusic1 (2/6)",0,309.75,"SG George Hill PG Mike James SF Bogdan Bogdanovic F Josh Jackson G Jimmy Butler PF Andrew Wiggins C Joel Embiid UTIL Karl-Anthony Towns",NA,"Willie Cauley-Stein","UTIL","8.07%",23.5
25,955069416,"presleyc23",0,309.75,"SG George Hill PG Mike James SF Bogdan Bogdanovic F Josh Jackson G Jimmy Butler PF Andrew Wiggins C Joel Embiid UTIL Karl-Anthony Towns",NA,"Gorgui Dieng","UTIL","5.84%",14.75
25,955182085,"thomasteix23 (12/20)",0,309.75,"SG George Hill PG Mike James SF Bogdan Bogdanovic F Josh Jackson G Jimmy Butler PF Andrew Wiggins C Joel Embiid UTIL Karl-Anthony Towns",NA,"Jamal Crawford","UTIL","4.58%",12
25,955511208,"techmister (2/2)",0,309.75,"UTIL Tyson Chandler PF Zach Randolph PG George Hill G JJ Redick F Taj Gibson SG Jimmy Butler SF Andrew Wiggins C Karl-Anthony Towns",NA,"Amir Johnson","C","4.42%",3.5
25,955752222,"Natedog83 (1/2)",0,309.75,"SG George Hill PG Mike James SF Bogdan Bogdanovic F Josh Jackson G Jimmy Butler PF Andrew Wiggins C Joel Embiid UTIL Karl-Anthony Towns",NA,"Skal Labissiere","UTIL","3.82%",13.5
31,955750176,"abragmania (5/20)",0,308.75,"PG George Hill G Mike James SF JJ Redick SG Jimmy Butler PF Gorgui Dieng UTIL Joel Embiid F Dario Saric C Karl-Anthony Towns",NA,"Jerryd Bayless","G","3.20%",9
31,955763209,"kylemurphy04",0,308.75,"SG George Hill PG Mike James SF JJ Redick G Jimmy Butler PF Gorgui Dieng UTIL Joel Embiid F Dario Saric C Karl-Anthony Towns",NA,"Timothé Luwawu-Cabarrot","SF","2.16%",5.75
33,955750172,"abragmania (1/20)",0,308,"PG Tyler Ulis SG JJ Redick G Jimmy Butler F Gorgui Dieng PF Richaun Holmes SF Andrew Wiggins UTIL Joel Embiid C Karl-Anthony Towns",NA,"T.J. McConnell","UTIL","1.99%",18
34,955045466,"mkarran101",0,307.75,"PF Zach Randolph PG George Hill SF JJ Redick F Trevor Booker G Jeff Teague SG Jimmy Butler UTIL Andrew Wiggins C Karl-Anthony Towns",NA,"Kosta Koufos","UTIL","1.95%",22.5
34,955140075,"menohablo (5/5)",0,307.75,"PF Zach Randolph UTIL George Hill G JJ Redick F Trevor Booker PG Jeff Teague SG Jimmy Butler SF Andrew Wiggins C Karl-Anthony Towns",NA,"Robert Covington","F","1.89%",0
34,955183037,"tingedbeef",0,307.75,"PF Zach Randolph PG George Hill UTIL JJ Redick F Trevor Booker G Jeff Teague SG Jimmy Butler SF Andrew Wiggins C Karl-Anthony Towns",NA,"Jakarr Sampson","PF","1.86%",0
34,955214783,"blizz77 (10/20)",0,307.75,"PF Zach Randolph SG George Hill G JJ Redick F Trevor Booker PG Jeff Teague UTIL Jimmy Butler SF Andrew Wiggins C Karl-Anthony Towns",NA,"Garrett Temple","PG","1.84%",4
34,955487014,"carlos91205 (2/2)",0,307.75,"F Zach Randolph PG Mike James SF Bogdan Bogdanovic G Tyler Ulis SG Jimmy Butler PF Richaun Holmes C Joel Embiid UTIL Karl-Anthony Towns",NA,"Justin Jackson","F","1.81%",0
34,955669276,"runuover1981",0,307.75,"PF Zach Randolph SG George Hill UTIL JJ Redick F Trevor Booker PG Jeff Teague G Jimmy Butler SF Andrew Wiggins C Karl-Anthony Towns",NA,"Troy Daniels","SG","1.35%",16.5
40,955058262,"dbusic1 (4/6)",0,306.75,"PG George Hill F Bogdan Bogdanovic G Jerryd Bayless SG Jimmy Butler SF Andrew Wiggins C Joel Embiid PF Dario Saric UTIL Karl-Anthony Towns",NA,"Vince Carter","G","1.19%",0
41,955158569,"DukesBar",0,305.75,"PF Zach Randolph SG JJ Redick F Trevor Booker PG Jeff Teague G Jimmy Butler C Richaun Holmes SF Andrew Wiggins UTIL Karl-Anthony Towns",NA,"Jared Dudley","F","0.29%",0
41,955352662,"jonniles15 (10/10)",0,305.75,"F Zach Randolph SG JJ Redick PF Trevor Booker PG Jeff Teague G Jimmy Butler C Richaun Holmes SF Andrew Wiggins UTIL Karl-Anthony Towns",NA,"Dragan Bender","UTIL","0.27%",18.75
43,955615454,"surajdave (1/20)",0,305.5,"PG George Hill SF T.J. Warren F Marquese Chriss G Josh Jackson SG Jimmy Butler PF Richaun Holmes C Joel Embiid UTIL Karl-Anthony Towns",NA,"Tyus Jones","PG","0.24%",13.25
43,955700495,"miikees (12/20)",0,305.5,"F Zach Randolph PG Mike James G JJ Redick PF Taj Gibson UTIL Trevor Booker SG Jimmy Butler SF Andrew Wiggins C Karl-Anthony Towns",NA,"Shabazz Muhammad","UTIL","0.18%",0
45,955118278,"mcronkhite (1/2)",0,305.25,"UTIL George Hill G JJ Redick F Trevor Booker SG Jimmy Butler PF Richaun Holmes SF Andrew Wiggins C Karl-Anthony Towns PG Ben Simmons",NA,"Furkan Korkmaz","UTIL","0.09%",0
45,955621991,"pstill6487 (6/7)",0,305.25,"PG George Hill G JJ Redick F Trevor Booker SG Jimmy Butler UTIL Richaun Holmes PF Andrew Wiggins C Karl-Anthony Towns SF Ben Simmons",NA,"Aaron Brooks","PG","0.08%",0
47,955248551,"bnasty15 (2/3)",0,304.75,"PF Zach Randolph PG George Hill SF T.J. Warren F Bogdan Bogdanovic SG JJ Redick G Jimmy Butler UTIL Andrew Wiggins C Karl-Anthony Towns",NA,"Malachi Richardson","UTIL","0.06%",0
47,955750191,"abragmania (20/20)",0,304.75,"G Mike James F Willie Cauley-Stein PG Tyler Ulis SF JJ Redick SG Jimmy Butler PF Richaun Holmes UTIL Joel Embiid C Karl-Anthony Towns",NA,"Danuel House","UTIL","0.05%",0
49,955301754,"DavidCoppafeel (19/20)",0,304.5,"PG George Hill G Mike James F T.J. Warren SF Bogdan Bogdanovic PF Marquese Chriss SG Jimmy Butler UTIL Joel Embiid C Karl-Anthony Towns",NA,"Jack Cooley","PF","0.04%",0
49,955331128,"bklo7 (19/20)",0,304.5,"PG George Hill G Mike James F T.J. Warren SF Bogdan Bogdanovic PF Marquese Chriss SG Jimmy Butler UTIL Joel Embiid C Karl-Anthony Towns",NA,"Georgios Papagiannis","C","0.03%",0
51,955004947,"mrcse13 (15/20)",0,304.25,"F Willie Cauley-Stein SG Frank Mason III PG Tyler Ulis G Jimmy Butler PF Richaun Holmes SF Andrew Wiggins C Joel Embiid UTIL Karl-Anthony Towns",NA,"Devin Booker","G","0.03%",0
51,955750189,"abragmania (18/20)",0,304.25,"F Willie Cauley-Stein PG Frank Mason III G Tyler Ulis SG Jimmy Butler PF Richaun Holmes SF Andrew Wiggins UTIL Joel Embiid C Karl-Anthony Towns",NA,"Nemanja Bjelica","SF","0.03%",0
53,955025497,"Little24 (2/2)",0,303.25,"G George Hill F T.J. Warren PF Taj Gibson PG Jeff Teague SG Jimmy Butler UTIL Richaun Holmes SF Andrew Wiggins C Karl-Anthony Towns",NA,"Alan Williams","C","0.02%",0
54,955750179,"abragmania (8/20)",0,302.75,"PG George Hill G Tyler Ulis SF JJ Redick SG Jimmy Butler PF Gorgui Dieng UTIL Joel Embiid F Dario Saric C Karl-Anthony Towns",NA,"Anthony Brown","F","0.02%",0
55,955088284,"nbrplaytime (2/2)",0,302.5,"F Zach Randolph G George Hill SF JJ Redick PF Taj Gibson UTIL Trevor Booker PG Jeff Teague SG Jimmy Butler C Karl-Anthony Towns",NA,"Jacob Pullen","PG","0.02%",0
55,955089217,"scottconklin (1/3)",0,302.5,"G Mike James PG Frank Mason III F Bogdan Bogdanovic SF JJ Redick SG Jimmy Butler C Joel Embiid PF Dario Saric UTIL Karl-Anthony Towns",NA,"Justin Anderson","SF","0.01%",0
55,955155383,"shoppingcartss",0,302.5,"PF Zach Randolph G George Hill SF JJ Redick F Taj Gibson UTIL Trevor Booker PG Jeff Teague SG Jimmy Butler C Karl-Anthony Towns",NA,"Cole Aldrich","C","0.01%",0
55,955193125,"possum16",0,302.5,"F Zach Randolph PG George Hill SF JJ Redick PF Taj Gibson UTIL Trevor Booker G Jeff Teague SG Jimmy Butler C Karl-Anthony Towns",NA,"James Michael McAdoo","F","0.01%",0
55,955214780,"blizz77 (9/20)",0,302.5,"F Zach Randolph PG George Hill SF JJ Redick PF Taj Gibson UTIL Trevor Booker G Jeff Teague SG Jimmy Butler C Karl-Anthony Towns",NA,"","","",NA
55,955410117,"alarkvard1",0,302.5,"F Zach Randolph PG George Hill SF JJ Redick PF Taj Gibson UTIL Trevor Booker G Jeff Teague SG Jimmy Butler C Karl-Anthony Towns",NA,"","","",NA
55,955446748,"midget34",0,302.5,"UTIL Zach Randolph G George Hill SF JJ Redick F Taj Gibson PF Trevor Booker PG Jeff Teague SG Jimmy Butler C Karl-Anthony Towns",NA,"","","",NA
