"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SF/PF","LeBron James",11800,"ATL@CLE 12/12/2017 07:00PM ET",57.139,"CLE"
"C","Joel Embiid",10100,"PHI@MIN 12/12/2017 09:30PM ET",46.774,"PHI"
"PG/SF","Ben Simmons",9800,"PHI@MIN 12/12/2017 09:30PM ET",46.09,"PHI"
"C","Andre Drummond",9400,"DEN@DET 12/12/2017 07:00PM ET",43.933,"DET"
"C","Karl-Anthony Towns",8700,"PHI@MIN 12/12/2017 09:30PM ET",41.75,"MIN"
"SG","Bradley Beal",8600,"WAS@BKN 12/12/2017 07:30PM ET",36.788,"WAS"
"PF/C","Kristaps Porzingis",8500,"LAL@NY 12/12/2017 07:00PM ET",40.682,"NY"
"C","Nikola Jokic",8400,"DEN@DET 12/12/2017 07:00PM ET",39.881,"DEN"
"PF/C","LaMarcus Aldridge",8300,"SA@DAL 12/12/2017 08:30PM ET",39.644,"SA"
"PG","John Wall",8200,"WAS@BKN 12/12/2017 07:30PM ET",42.313,"WAS"
"PF/C","Kevin Love",8200,"ATL@CLE 12/12/2017 07:00PM ET",38.058,"CLE"
"SG","Jimmy Butler",8000,"PHI@MIN 12/12/2017 09:30PM ET",37.15,"MIN"
"SG/SF","Devin Booker",7800,"PHO@SAC 12/12/2017 10:00PM ET",38.3,"PHO"
"PG","Dennis Schroder",7600,"ATL@CLE 12/12/2017 07:00PM ET",35.156,"ATL"
"SG/SF","Will Barton",7400,"DEN@DET 12/12/2017 07:00PM ET",31.135,"DEN"
"SF/PF","Kawhi Leonard",7300,"SA@DAL 12/12/2017 08:30PM ET",0,"SA"
"SF/PF","Otto Porter Jr.",7200,"WAS@BKN 12/12/2017 07:30PM ET",32.05,"WAS"
"PF/C","Zach Randolph",7100,"PHO@SAC 12/12/2017 10:00PM ET",29.031,"SAC"
"SF/PF","T.J. Warren",6900,"PHO@SAC 12/12/2017 10:00PM ET",30.536,"PHO"
"PG/SG","D'Angelo Russell",6800,"WAS@BKN 12/12/2017 07:30PM ET",36.458,"BKN"
"SG","Gary Harris",6700,"DEN@DET 12/12/2017 07:00PM ET",27.771,"DEN"
