"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,955822669,"fbcoachla",0,328.75,"PG George Hill G Mike James SF JJ Redick SG Jimmy Butler F Richaun Holmes UTIL Joel Embiid PF Dario Saric C Karl-Anthony Towns",NA,"Ben Simmons","PG","67.12%",21.25
2,955838506,"jiggaInThisBeotch (3/3)",0,317,"PF Zach Randolph G George Hill SF Bogdan Bogdanovic SG Jimmy Butler PG T.J. McConnell F Richaun Holmes UTIL Joel Embiid C Karl-Anthony Towns",NA,"Jimmy Butler","G","65.52%",53
3,955825571,"richmurphy55 (2/3)",0,310.75,"G George Hill PG Frank Mason III SF JJ Redick SG Jimmy Butler F Gorgui Dieng PF Andrew Wiggins UTIL Joel Embiid C Karl-Anthony Towns",NA,"Karl-Anthony Towns","UTIL","55.17%",57
4,955078943,"presleyc23",0,309.75,"SG George Hill PG Mike James SF Bogdan Bogdanovic F Josh Jackson G Jimmy Butler PF Andrew Wiggins C Joel Embiid UTIL Karl-Anthony Towns",NA,"T.J. Warren","PF","52.06%",27.75
4,955747289,"Natedog83",0,309.75,"SG George Hill PG Mike James SF Bogdan Bogdanovic F Josh Jackson G Jimmy Butler PF Andrew Wiggins C Joel Embiid UTIL Karl-Anthony Towns",NA,"JJ Redick","SG","43.65%",33
6,955815711,"jasonv789 (1/3)",0,308.75,"PG George Hill PF Alex Len G Tyler Ulis F Marquese Chriss SG Jimmy Butler SF Andrew Wiggins C Joel Embiid UTIL Karl-Anthony Towns",NA,"Zach Randolph","F","43.40%",34.75
7,955745641,"abragmania",0,308,"PG Tyler Ulis SG JJ Redick G Jimmy Butler F Gorgui Dieng PF Richaun Holmes SF Andrew Wiggins UTIL Joel Embiid C Karl-Anthony Towns",NA,"Andrew Wiggins","SF","34.99%",37.75
8,955818150,"bhendy25",0,305.5,"PF Zach Randolph PG Mike James SG JJ Redick UTIL Taj Gibson F Trevor Booker G Jimmy Butler SF Andrew Wiggins C Karl-Anthony Towns",NA,"Buddy Hield","G","33.64%",17.5
9,954993619,"TenZero (5/10)",0,305.25,"UTIL George Hill SG JJ Redick F Trevor Booker G Jimmy Butler PF Richaun Holmes SF Andrew Wiggins C Karl-Anthony Towns PG Ben Simmons",NA,"Mike James","G","33.64%",25.75
10,955767570,"dlakin (1/2)",0,302.5,"F Zach Randolph PG George Hill SF JJ Redick PF Taj Gibson UTIL Trevor Booker G Jeff Teague SG Jimmy Butler C Karl-Anthony Towns",NA,"Jeff Teague","G","32.30%",23.75
10,955771597,"dlakin (2/2)",0,302.5,"F Zach Randolph PG George Hill SF JJ Redick PF Taj Gibson UTIL Trevor Booker G Jeff Teague SG Jimmy Butler C Karl-Anthony Towns",NA,"Dario Saric","PF","28.60%",30.5
12,955823542,"jasonv789 (2/3)",0,302,"PG George Hill F Alex Len G Tyler Ulis SG Jimmy Butler PF Gorgui Dieng SF Andrew Wiggins C Joel Embiid UTIL Karl-Anthony Towns",NA,"Josh Jackson","SF","25.90%",16.75
13,955483555,"Razorback1965",0,296.5,"PG Mike James SF T.J. Warren SG JJ Redick UTIL Trevor Booker G Jimmy Butler PF Andrew Wiggins F Dario Saric C Karl-Anthony Towns",NA,"Joel Embiid","C","22.88%",58
13,955822664,"bengal-ed",0,296.5,"PG Mike James SF T.J. Warren SG JJ Redick F Trevor Booker G Jimmy Butler PF Andrew Wiggins UTIL Dario Saric C Karl-Anthony Towns",NA,"De'Aaron Fox","PG","22.79%",12
13,955832312,"bucho420 (16/20)",0,296.5,"UTIL Zach Randolph PG Mike James SF T.J. Warren G JJ Redick SG Jimmy Butler PF Richaun Holmes F Dario Saric C Karl-Anthony Towns",NA,"Taj Gibson","PF","22.37%",32.5
13,955832313,"bucho420 (17/20)",0,296.5,"UTIL Zach Randolph PG Mike James SF T.J. Warren G JJ Redick SG Jimmy Butler PF Richaun Holmes F Dario Saric C Karl-Anthony Towns",NA,"Tyson Chandler","C","22.04%",25
13,955832314,"bucho420 (18/20)",0,296.5,"UTIL Zach Randolph PG Mike James SF T.J. Warren G JJ Redick SG Jimmy Butler PF Richaun Holmes F Dario Saric C Karl-Anthony Towns",NA,"Bogdan Bogdanovic","SF","21.36%",24.75
13,955832315,"bucho420 (19/20)",0,296.5,"UTIL Zach Randolph PG Mike James SF T.J. Warren G JJ Redick SG Jimmy Butler PF Richaun Holmes F Dario Saric C Karl-Anthony Towns",NA,"Frank Mason III","PG","17.91%",20.5
13,955832316,"bucho420 (20/20)",0,296.5,"UTIL Zach Randolph PG Mike James SF T.J. Warren G JJ Redick SG Jimmy Butler PF Richaun Holmes F Dario Saric C Karl-Anthony Towns",NA,"Greg Monroe","C","16.32%",0
20,955478037,"pinky19d",0,296.25,"PG George Hill PF Willie Cauley-Stein F Skal Labissiere G Josh Jackson SG Jimmy Butler SF Andrew Wiggins C Joel Embiid UTIL Karl-Anthony Towns",NA,"Trevor Booker","C","16.23%",31.75
