"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"SF/PF","LeBron James",11800,"ATL@CLE 12/12/2017 07:00PM ET",57.139,"CLE","ATL",60.52,60.8,64.75
"C","Joel Embiid",10100,"PHI@MIN 12/12/2017 09:30PM ET",46.774,"PHI","MIN",51.19,50.9,58
"PG/SF","Ben Simmons",9800,"PHI@MIN 12/12/2017 09:30PM ET",46.09,"PHI","MIN",46.71,45.5,21.25
"C","Andre Drummond",9400,"DEN@DET 12/12/2017 07:00PM ET",43.933,"DET","DEN",45.88,45.3,23
"C","Karl-Anthony Towns",8700,"PHI@MIN 12/12/2017 09:30PM ET",41.75,"MIN","PHI",45.25,46.3,57
"SG","Bradley Beal",8600,"WAS@BKN 12/12/2017 07:30PM ET",36.788,"WAS","BKN",42.94,40.5,39.5
"PF/C","Kristaps Porzingis",8500,"LAL@NY 12/12/2017 07:00PM ET",40.682,"NY","LAL",0,0,0
"C","Nikola Jokic",8400,"DEN@DET 12/12/2017 07:00PM ET",39.881,"DEN","DET",0,0,0
"PF/C","LaMarcus Aldridge",8300,"SA@DAL 12/12/2017 08:30PM ET",39.644,"SA","DAL",36.68,36,42.25
"PG","John Wall",8200,"WAS@BKN 12/12/2017 07:30PM ET",42.313,"WAS","BKN",1.35,0,0
"PF/C","Kevin Love",8200,"ATL@CLE 12/12/2017 07:00PM ET",38.058,"CLE","ATL",39.61,39.7,37.5
"SG","Jimmy Butler",8000,"PHI@MIN 12/12/2017 09:30PM ET",37.15,"MIN","PHI",40.16,42.4,53
"SG/SF","Devin Booker",7800,"PHO@SAC 12/12/2017 10:00PM ET",38.3,"PHO","SAC",0,0,0
"PG","Dennis Schroder",7600,"ATL@CLE 12/12/2017 07:00PM ET",35.156,"ATL","CLE",35.24,36.7,23.75
"SG/SF","Will Barton",7400,"DEN@DET 12/12/2017 07:00PM ET",31.135,"DEN","DET",36.05,36.3,30
"SF/PF","Kawhi Leonard",7300,"SA@DAL 12/12/2017 08:30PM ET",0,"SA","DAL",30.02,30.6,26.5
"SF/PF","Otto Porter",7200,"WAS@BKN 12/12/2017 07:30PM ET",32.05,"WAS","BKN",36.85,33.6,21.75
"PF/C","Zach Randolph",7100,"PHO@SAC 12/12/2017 10:00PM ET",29.031,"SAC","PHO",31.45,31.8,34.75
"SF/PF","TJ Warren",6900,"PHO@SAC 12/12/2017 10:00PM ET",30.536,"PHO","SAC",39.48,36.9,27.75
"PG/SG","D'Angelo Russell",6800,"WAS@BKN 12/12/2017 07:30PM ET",36.458,"BKN","WAS",0,0,0
"SG","Gary Harris",6700,"DEN@DET 12/12/2017 07:00PM ET",27.771,"DEN","DET",31.48,29.4,36.5
"SG/SF","Brandon Ingram",6700,"LAL@NY 12/12/2017 07:00PM ET",30.03,"LAL","NY",30.09,30.8,22.75
"PF/C","Paul Millsap",6600,"DEN@DET 12/12/2017 07:00PM ET",31.828,"DEN","DET",0,0,0
"SF/PF","Tobias Harris",6600,"DEN@DET 12/12/2017 07:00PM ET",30.721,"DET","DEN",33.69,33.1,13.5
"PG","Lonzo Ball",6600,"LAL@NY 12/12/2017 07:00PM ET",32.23,"LAL","NY",29.5,32,43
"PG","Isaiah Thomas",6500,"ATL@CLE 12/12/2017 07:00PM ET",0,"CLE","ATL",0,0,0
