"","2017-11-27","2017-11-28","2017-11-29","2017-11-30","2017-12-01","2017-12-02","2017-12-04","2017-12-05","2017-12-06"
"LeBron James_CLE",NA,58,NA,59,NA,55.5,44.75,NA,69.75
"Joel Embiid_PHI",NA,NA,58.5,0,NA,38,49.5,NA,NA
"Ben Simmons_PHI",NA,NA,66,40.5,NA,28.5,51,NA,NA
"Andre Drummond_DET",NA,NA,35.25,NA,55.75,49.75,41.25,NA,62
"Karl-Anthony Towns_MIN",NA,43.75,27,NA,39.75,NA,27.75,NA,53.5
"Bradley Beal_WAS",NA,21,31.5,NA,18,NA,13.25,59.25,NA
"Kristaps Porzingis_NY",NA,NA,0,NA,NA,NA,0,NA,0
"Nikola Jokic_DEN",NA,27,NA,19,NA,0,0,NA,0
"LaMarcus Aldridge_SA",NA,NA,53,NA,32,NA,37.5,NA,24.5
"John Wall_WAS",NA,0,0,NA,0,NA,0,0,NA
"Kevin Love_CLE",NA,56.75,NA,49,NA,39.25,45.25,NA,38.75
"Jimmy Butler_MIN",NA,45.25,30,NA,45.25,NA,48,NA,40.5
"Devin Booker_PHO",NA,54,26.5,NA,NA,50.5,64.5,43.25,NA
"Dennis Schroder_ATL",NA,NA,NA,36.5,NA,38.75,31.25,NA,46.25
"Will Barton_DEN",NA,14.5,NA,51.5,NA,34.5,46,NA,28.25
"Kawhi Leonard_SA",NA,NA,0,NA,0,NA,0,NA,0
"Otto Porter_WAS",NA,33.5,21,NA,38.25,NA,24,22,NA
"Zach Randolph_SAC",23,18.75,NA,NA,48.75,33.25,NA,NA,48
"TJ Warren_PHO",NA,38.75,11,NA,NA,37.25,43,10.75,NA
"D'Angelo Russell_BKN",NA,NA,0,NA,NA,0,0,NA,NA
"Gary Harris_DEN",NA,26.25,NA,39.25,NA,32,37.75,NA,38.75
"Brandon Ingram_LAL",24.75,NA,50.25,NA,NA,24.5,NA,NA,NA
"Paul Millsap_DEN",NA,0,NA,0,NA,0,0,NA,0
"Tobias Harris_DET",NA,NA,31.25,NA,20,39.25,26.25,NA,34.25
"Lonzo Ball_LAL",20.75,NA,36.5,NA,NA,29.75,NA,NA,NA
"Isaiah Thomas_CLE",NA,0,NA,0,NA,0,0,NA,0
"Jeff Teague_MIN",NA,0,0,NA,31.25,NA,15.25,NA,35.75
"Enes Kanter_NY",NA,NA,0,NA,NA,NA,0,NA,0
"Tim Hardaway_NY",NA,NA,0,NA,NA,NA,0,NA,0
"Harrison Barnes_DAL",NA,NA,39.5,NA,NA,23.5,40.5,NA,32.25
"Robert Covington_PHI",NA,NA,28.5,20.25,NA,49.5,28.5,NA,NA
"Spencer Dinwiddie_BKN",NA,NA,34.25,NA,NA,42,29.75,NA,NA
"Andrew Wiggins_MIN",NA,23.5,48,NA,33.75,NA,21.25,NA,20.5
"Taj Gibson_MIN",NA,32.25,31,NA,16,NA,27.75,NA,43.5
"Reggie Jackson_DET",NA,NA,34.75,NA,16.5,33.75,38,NA,25.75
"Rondae Hollis-Jefferson_BKN",NA,NA,0,NA,NA,18,37.5,NA,NA
"Rudy Gay_SA",NA,NA,20.25,NA,27.25,NA,36.5,NA,35.25
"Courtney Lee_NY",NA,NA,0,NA,NA,NA,0,NA,0
"Pau Gasol_SA",NA,NA,19,NA,25.5,NA,38.5,NA,24.25
"Dario Saric_PHI",NA,NA,39,38.5,NA,27.25,28.75,NA,NA
"Caris LeVert_BKN",NA,NA,31,NA,NA,15.25,33.5,NA,NA
"Buddy Hield_SAC",6.75,17.5,NA,NA,1.5,36,NA,NA,34
"Jamal Murray_DEN",NA,14.75,NA,10.5,NA,44.5,28,NA,27.75
"DeMarre Carroll_BKN",NA,NA,33.25,NA,NA,28.5,29,NA,NA
"John Collins_ATL",NA,NA,NA,27.75,NA,0,0,NA,0
"Kentavious Caldwell-Pope_LAL",46,NA,31.75,NA,NA,13,NA,NA,NA
"Taurean Prince_ATL",NA,NA,NA,20.5,NA,24,19,NA,29.5
"JJ Redick_PHI",NA,NA,15.5,33.25,NA,33,30.25,NA,NA
"Dwyane Wade_CLE",NA,32.75,NA,38.5,NA,29.5,35,NA,15.25
"Kent Bazemore_ATL",NA,NA,NA,23,NA,22,21.25,NA,23
"Kyle Kuzma_LAL",22,NA,0,NA,NA,29,NA,NA,NA
"Willie Cauley-Stein_SAC",43,23.5,NA,NA,28.75,5,NA,NA,0
"Avery Bradley_DET",NA,NA,26,NA,25.5,10.5,9.25,NA,27.25
"Kenneth Faried_DEN",NA,20,NA,32.75,NA,27.25,31.25,NA,16.25
"Marcin Gortat_WAS",NA,19.25,12,NA,40.5,NA,20.25,26.75,NA
"Dewayne Dedmon_ATL",NA,NA,NA,0,NA,0,0,NA,0
"Ersan Ilyasova_ATL",NA,NA,NA,37.25,NA,24.25,15.5,NA,26.75
"Dennis Smith_DAL",NA,NA,16,NA,NA,24.25,30.25,NA,25
"Kyle Anderson_SA",NA,NA,25.5,NA,12,NA,0,NA,0
"Markieff Morris_WAS",NA,7,9.5,NA,41.25,NA,15.75,22.5,NA
"JJ Barea_DAL",NA,NA,0,NA,NA,0,0,NA,0
"Greg Monroe_PHO",NA,0,32.75,NA,NA,20,0,34,NA
"Jordan Clarkson_LAL",34,NA,41,NA,NA,21.75,NA,NA,NA
"Danny Green_SA",NA,NA,17,NA,15.75,NA,29.5,NA,29.75
"Julius Randle_LAL",16.75,NA,29.5,NA,NA,26.5,NA,NA,NA
"Kelly Oubre_WAS",NA,29.5,39.75,NA,19.75,NA,11.25,30,NA
"Larry Nance_LAL",29,NA,22.5,NA,NA,10.5,NA,NA,NA
"De'Aaron Fox_SAC",20,7.25,NA,NA,24.25,27.5,NA,NA,10.25
"Dirk Nowitzki_DAL",NA,NA,21.25,NA,NA,27.25,20,NA,26.5
"Mason Plumlee_DEN",NA,4,NA,19.75,NA,28,18.75,NA,13.75
"Jarrett Jack_NY",NA,NA,0,NA,NA,NA,0,NA,0
"Alex Len_PHO",NA,37.5,11.25,NA,NA,0,10.75,25.25,NA
"Tyson Chandler_PHO",NA,12.25,0,NA,NA,42.5,37.5,0,NA
"Wesley Matthews_DAL",NA,NA,15.25,NA,NA,20,22.75,NA,11.25
"Emmanuel Mudiay_DEN",NA,15.75,NA,18,NA,17.75,12,NA,26.5
"Wilson Chandler_DEN",NA,0,NA,0,NA,0,16.75,NA,16.5
"Allen Crabbe_BKN",NA,NA,0,NA,NA,19.75,16.5,NA,NA
"Mike Scott_WAS",NA,25.25,2.75,NA,10.25,NA,4.75,23.75,NA
"Jeff Green_CLE",NA,15.5,NA,22.25,NA,21.5,27.5,NA,24.75
"Brook Lopez_LAL",11.75,NA,11.75,NA,NA,27.75,NA,NA,NA
"Trey Lyles_DEN",NA,10,NA,22,NA,24.75,22,NA,35.25
"Josh Jackson_PHO",NA,1.25,35.25,NA,NA,7.75,13.75,16.25,NA
"Mike James_PHO",NA,18.25,22,NA,NA,20.75,8.25,15.5,NA
"TJ McConnell_PHI",NA,NA,7.5,0,NA,0,0,NA,NA
"Trevor Booker_PHI",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jahlil Okafor_BKN",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tyler Ulis_PHO",NA,32.5,23,NA,NA,10,32.75,11.75,NA
"Patty Mills_SA",NA,NA,0,NA,0,NA,0,NA,0
"Marco Belinelli_ATL",NA,NA,NA,32,NA,18.5,13.5,NA,21.75
"Marquese Chriss_PHO",NA,12.5,23,NA,NA,9.5,17.5,9,NA
