"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,955683827,"Jwaz (6/20)",0,325.25,"C Karl-Anthony Towns UTIL Kristaps Porzingis SG Jimmy Butler SF Rondae Hollis-Jefferson F JJ Redick PF Alex Len G Wesley Matthews PG Mike James",NA,"Kristaps Porzingis","C","46.97%",66.75
1,955749182,"lixitandstixit",0,325.25,"UTIL LeBron James C Karl-Anthony Towns SG Spencer Dinwiddie SF Rondae Hollis-Jefferson G Kent Bazemore PF Mason Plumlee PG Ish Smith F Tyler Cavanaugh",NA,"Spencer Dinwiddie","PG","37.75%",43
3,955743685,"rbcues (10/20)",0,324.25,"UTIL Karl-Anthony Towns F Kristaps Porzingis SG Jimmy Butler PG Spencer Dinwiddie SF Rondae Hollis-Jefferson PF Alex Len C Tyson Chandler G Tomas Satoransky",NA,"Jimmy Butler","G","36.18%",53
4,955058889,"abragmania",0,322.75,"C Karl-Anthony Towns F Kristaps Porzingis G Jimmy Butler UTIL Andrew Wiggins PG J.J. Barea PF Julius Randle SG Allen Crabbe SF Wilson Chandler",NA,"LeBron James","F","32.13%",64.75
5,955219946,"crazycanucklehead17",0,322.25,"SF LeBron James C Kristaps Porzingis G Lonzo Ball SG Spencer Dinwiddie F Wesley Matthews UTIL Wilson Chandler PG Mike James PF Tyler Cavanaugh",NA,"T.J. Warren","UTIL","23.82%",27.75
6,955744347,"TopBoy1",0,319.25,"PF LeBron James C Kristaps Porzingis PG Spencer Dinwiddie SF Rondae Hollis-Jefferson G J.J. Barea SG Wesley Matthews F Jeff Green UTIL Tyler Cavanaugh",NA,"Ben Simmons","SF","22.25%",21.25
7,955694099,"davidm32",0,319,"C Kristaps Porzingis UTIL Jimmy Butler SF T.J. Warren PG Lonzo Ball G JJ Redick SG Taurean Prince F Wesley Matthews PF Wilson Chandler",NA,"Yogi Ferrell","G","21.12%",32
8,955741968,"zimbo11",0,316.5,"SF LeBron James C Karl-Anthony Towns PF Kristaps Porzingis PG Lonzo Ball G Tomas Satoransky F Tyler Cavanaugh SG Frank Ntilikina UTIL Reggie Bullock",NA,"Lonzo Ball","PG","20.67%",43
9,955744000,"jtvangor",0,316,"C Karl-Anthony Towns UTIL Kristaps Porzingis PF T.J. Warren SG Spencer Dinwiddie SF Andrew Wiggins G J.J. Barea F Wilson Chandler PG Mike James",NA,"Rondae Hollis-Jefferson","SF","20.22%",36
10,955736722,"alyoung22",0,315,"C Kristaps Porzingis SG Jimmy Butler F T.J. Warren PG Spencer Dinwiddie UTIL Andrew Wiggins SF Rondae Hollis-Jefferson PF Wilson Chandler G Mike James",NA,"Julius Randle","PF","18.20%",21.5
11,955740825,"mailman330",0,314.25,"C Joel Embiid PF Kristaps Porzingis UTIL T.J. Warren SG Spencer Dinwiddie F Rondae Hollis-Jefferson SF Wilson Chandler PG Mike James G Yogi Ferrell",NA,"Wilson Chandler","PF","17.30%",25
12,955577853,"Raiderz2871",0,313.75,"C Kristaps Porzingis F LaMarcus Aldridge SF T.J. Warren PG Lonzo Ball PF Rondae Hollis-Jefferson G Kent Bazemore SG Wesley Matthews UTIL J.R. Smith",NA,"Tyler Cavanaugh","PF","16.85%",25.25
13,955743695,"rbcues (20/20)",0,313.25,"SF LeBron James C Kristaps Porzingis PF T.J. Warren PG Spencer Dinwiddie G Wesley Matthews F Wilson Chandler UTIL Tyler Cavanaugh SG Yogi Ferrell",NA,"Karl-Anthony Towns","C","16.85%",57
14,955733929,"clapnow (7/11)",0,312,"C Karl-Anthony Towns F Kristaps Porzingis UTIL Dennis Schroder G Spencer Dinwiddie SF Kent Bazemore SG J.J. Barea PF Mike Scott PG Mike James",NA,"Andre Drummond","C","16.85%",23
15,955739663,"Bill3333",0,310.25,"SF LeBron James C Kristaps Porzingis F LaMarcus Aldridge SG Caris LeVert PG Mike James UTIL J.R. Smith PF Tyler Cavanaugh G Yogi Ferrell",NA,"Ersan Ilyasova","PF","16.40%",14.5
16,955743679,"rbcues (4/20)",0,309.5,"UTIL Kristaps Porzingis SG Jimmy Butler F T.J. Warren PG Spencer Dinwiddie SF Rondae Hollis-Jefferson G JJ Redick PF Alex Len C Tyson Chandler",NA,"Buddy Hield","SG","14.16%",17.5
17,955709915,"mhacker1",0,309.25,"SF LeBron James PF Kristaps Porzingis PG Spencer Dinwiddie F Kent Bazemore C Marcin Gortat UTIL Tyson Chandler SG Josh Jackson G Mike James",NA,"Bradley Beal","SG","13.03%",39.5
