"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,954974881,"123...Infinity (13/20)",0,318.75,"PG George Hill G Mike James F Bogdan Bogdanovic SF JJ Redick SG Jimmy Butler UTIL Joel Embiid PF Dario Saric C Karl-Anthony Towns",NA,"Jimmy Butler","G","66.15%",53
2,954974871,"123...Infinity (3/20)",0,312.75,"PG George Hill F Bogdan Bogdanovic G Tyler Ulis SF JJ Redick SG Jimmy Butler UTIL Joel Embiid PF Dario Saric C Karl-Anthony Towns",NA,"Ben Simmons","PG","66.15%",21.25
3,955198967,"willoww",0,312.25,"PG George Hill PF Willie Cauley-Stein G Bogdan Bogdanovic F Marquese Chriss SG Jimmy Butler SF Andrew Wiggins C Joel Embiid UTIL Karl-Anthony Towns",NA,"Karl-Anthony Towns","C","58.75%",57
4,954888360,"jryan4530 (1/2)",0,309.75,"SG George Hill PG Mike James SF Bogdan Bogdanovic F Josh Jackson G Jimmy Butler PF Andrew Wiggins C Joel Embiid UTIL Karl-Anthony Towns",NA,"T.J. Warren","SF","45.83%",27.75
4,954893605,"jryan4530 (2/2)",0,309.75,"SG George Hill PG Mike James SF Bogdan Bogdanovic F Josh Jackson G Jimmy Butler PF Andrew Wiggins C Joel Embiid UTIL Karl-Anthony Towns",NA,"JJ Redick","G","45.42%",33
6,955791939,"cdagostino",0,308.5,"PG Mike James SF T.J. Warren G Frank Mason III PF Trevor Booker SG Jimmy Butler F Richaun Holmes UTIL Joel Embiid C Karl-Anthony Towns",NA,"Zach Randolph","PF","44.35%",34.75
7,955750192,"abragmania",0,308,"PG Tyler Ulis SG JJ Redick G Jimmy Butler F Gorgui Dieng PF Richaun Holmes SF Andrew Wiggins UTIL Joel Embiid C Karl-Anthony Towns",NA,"Buddy Hield","SG","40.44%",17.5
8,954974878,"123...Infinity (10/20)",0,305.5,"F Zach Randolph PG George Hill SF Bogdan Bogdanovic G Tyler Ulis PF Marquese Chriss SG Jimmy Butler UTIL Joel Embiid C Karl-Anthony Towns",NA,"Jeff Teague","UTIL","36.07%",23.75
9,955526272,"vinceco5",0,305.25,"PF Zach Randolph G George Hill PG Mike James SG Bogdan Bogdanovic SF Andrew Wiggins UTIL Joel Embiid F Dario Saric C Karl-Anthony Towns",NA,"Andrew Wiggins","PF","34.86%",37.75
10,954974874,"123...Infinity (6/20)",0,304.5,"PG George Hill G Mike James F T.J. Warren SF Bogdan Bogdanovic PF Marquese Chriss SG Jimmy Butler UTIL Joel Embiid C Karl-Anthony Towns",NA,"Dario Saric","UTIL","31.63%",30.5
11,955621459,"surajdave (16/20)",0,304.25,"F Willie Cauley-Stein G Frank Mason III PG Tyler Ulis SG Jimmy Butler PF Richaun Holmes SF Andrew Wiggins C Joel Embiid UTIL Karl-Anthony Towns",NA,"Mike James","PG","31.02%",25.75
12,955793745,"pittdogg33 (1/5)",0,303.25,"SF Buddy Hield PG Frank Mason III G Bogdan Bogdanovic SG Jimmy Butler PF Richaun Holmes F Andrew Wiggins UTIL Joel Embiid C Karl-Anthony Towns",NA,"Bogdan Bogdanovic","F","27.66%",24.75
