"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,955152325,"CrimaSaad (2/3)",0,354.5,"C Karl-Anthony Towns PF Kristaps Porzingis SG Jimmy Butler UTIL Lonzo Ball G Spencer Dinwiddie SF Wilson Chandler PG Yogi Ferrell F Richaun Holmes",NA,"Kristaps Porzingis","F","56.77%",66.75
2,955289021,"youdacao (80/150)",0,351.25,"C Kristaps Porzingis UTIL Jimmy Butler PG Lonzo Ball G Spencer Dinwiddie PF Rondae Hollis-Jefferson SG Kentavious Caldwell-Pope SF Kent Bazemore F Marquese Chriss",NA,"Jimmy Butler","G","40.35%",53
3,955038429,"ChipotleAddict (49/150)",0,347.75,"UTIL Karl-Anthony Towns PF Kristaps Porzingis G Jimmy Butler SG Spencer Dinwiddie SF Kent Bazemore C Marcin Gortat F Allen Crabbe PG Yogi Ferrell",NA,"Spencer Dinwiddie","PG","40.23%",43
4,955289058,"youdacao (117/150)",0,347.5,"C Kristaps Porzingis G Jimmy Butler PG Lonzo Ball SG Spencer Dinwiddie PF Rondae Hollis-Jefferson F JJ Redick SF Kent Bazemore UTIL Mike James",NA,"T.J. Warren","PF","37.42%",27.75
5,955288964,"youdacao (23/150)",0,347,"C Karl-Anthony Towns PF Kristaps Porzingis UTIL Jimmy Butler G Spencer Dinwiddie F Rondae Hollis-Jefferson SF Kent Bazemore PG Frank Mason III SG Kyle Korver",NA,"LeBron James","SF","37.35%",64.75
6,955619599,"mcgusto",0,346.25,"C Karl-Anthony Towns PF Kristaps Porzingis SG Jimmy Butler G Spencer Dinwiddie UTIL Rondae Hollis-Jefferson F Wesley Matthews SF Wilson Chandler PG George Hill",NA,"Karl-Anthony Towns","C","30.26%",57
7,955038484,"ChipotleAddict (104/150)",0,343.5,"C Karl-Anthony Towns PF Kristaps Porzingis PG Lonzo Ball G Spencer Dinwiddie SF Rondae Hollis-Jefferson SG Kentavious Caldwell-Pope UTIL Tyson Chandler F Trevor Booker",NA,"Rondae Hollis-Jefferson","PF","28.11%",36
8,955289046,"youdacao (105/150)",0,341.5,"C Kristaps Porzingis G Jimmy Butler PG Lonzo Ball SG Spencer Dinwiddie PF Rondae Hollis-Jefferson F JJ Redick SF Kent Bazemore UTIL Tyler Ulis",NA,"Tyler Cavanaugh","F","21.29%",25.25
9,955626644,"manunited23",0,341.25,"C Karl-Anthony Towns F Kristaps Porzingis SG Jimmy Butler PG Spencer Dinwiddie PF Rondae Hollis-Jefferson SF Kent Bazemore G Ish Smith UTIL Tomas Satoransky",NA,"Yogi Ferrell","SG","21.00%",32
10,955289024,"youdacao (83/150)",0,341,"UTIL Karl-Anthony Towns C Kristaps Porzingis G Jimmy Butler SG Spencer Dinwiddie F Rondae Hollis-Jefferson SF Kent Bazemore PG Frank Mason III PF Jae Crowder",NA,"Andre Drummond","C","17.80%",23
