"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,956505094,"pnbohannon (4/20)",0,351.75,"F Serge Ibaka SG DeMar DeRozan PF Greg Monroe C Jonas Valanciunas PG Chris Paul UTIL Dwight Howard G Nicolas Batum SF Michael Kidd-Gilchrist",NA,"James Harden","PG","61.04%",42
1,956754517,"bterwilliger (3/4)",0,351.75,"PF Serge Ibaka SG DeMar DeRozan F Greg Monroe UTIL Jonas Valanciunas PG Chris Paul C Dwight Howard G Nicolas Batum SF Michael Kidd-Gilchrist",NA,"DeMar DeRozan","SG","55.17%",51.25
3,956172984,"bebeallan",0,344.75,"F Serge Ibaka G DeMar DeRozan UTIL Jonas Valanciunas PF T.J. Warren PG Tyler Ulis SG Chris Paul C Dwight Howard SF Michael Kidd-Gilchrist",NA,"Serge Ibaka","PF","49.71%",43.75
4,956074357,"bklo7 (5/20)",0,344.25,"SF DeMar DeRozan PF Greg Monroe C Jonas Valanciunas PG Tyler Ulis SG Chris Paul UTIL Dwight Howard G Kemba Walker F Michael Kidd-Gilchrist",NA,"Chris Paul","PG","47.04%",62.75
4,956182478,"marine80233 (11/13)",0,344.25,"SF DeMar DeRozan PF Greg Monroe UTIL Jonas Valanciunas G Tyler Ulis SG Chris Paul C Dwight Howard PG Kemba Walker F Michael Kidd-Gilchrist",NA,"Greg Monroe","C","46.87%",37.25
4,956305974,"DavidCoppafeel (5/20)",0,344.25,"SF DeMar DeRozan PF Greg Monroe C Jonas Valanciunas PG Tyler Ulis SG Chris Paul UTIL Dwight Howard G Kemba Walker F Michael Kidd-Gilchrist",NA,"Kemba Walker","G","38.90%",27.75
4,956587429,"brianread89 (2/10)",0,344.25,"SF DeMar DeRozan PF Greg Monroe UTIL Jonas Valanciunas G Tyler Ulis SG Chris Paul C Dwight Howard PG Kemba Walker F Michael Kidd-Gilchrist",NA,"Eric Gordon","UTIL","38.11%",20.5
4,956735896,"SleepyW (1/3)",0,344.25,"SF DeMar DeRozan PF Greg Monroe C Jonas Valanciunas PG Tyler Ulis SG Chris Paul UTIL Dwight Howard G Kemba Walker F Michael Kidd-Gilchrist",NA,"Dwight Howard","C","37.13%",55.5
4,956744397,"sogr8player",0,344.25,"SF DeMar DeRozan PF Greg Monroe UTIL Jonas Valanciunas G Tyler Ulis SG Chris Paul C Dwight Howard PG Kemba Walker F Michael Kidd-Gilchrist",NA,"Trevor Ariza","SF","36.61%",24
10,956757164,"zacallentaylor",0,342,"PF Serge Ibaka F DeMar DeRozan SG Troy Daniels PG Mike James UTIL Chris Paul C Dwight Howard G Kemba Walker SF Michael Kidd-Gilchrist",NA,"Kyle Lowry","PG","35.69%",28
