"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,956146724,"ryan7962",0,357.5,"SF Giannis Antetokounmpo PG Chris Paul C DeAndre Jordan SG Khris Middleton PF Greg Monroe UTIL Aron Baynes F Mario Hezonja G Andrew Harrison",NA,"Greg Monroe","F","60.50%",37.25
2,956228282,"MillionaireMatt89",0,357.25,"C Nikola Vucevic SG Chris Paul UTIL DeAndre Jordan F Khris Middleton G Jonathon Simmons PF Greg Monroe SF Mario Hezonja PG Andrew Harrison",NA,"Andrew Harrison","G","48.72%",35.75
2,956263826,"elz24 (1/3)",0,357.25,"C Nikola Vucevic PG Chris Paul UTIL DeAndre Jordan SG Khris Middleton SF Jonathon Simmons PF Greg Monroe F Mario Hezonja G Andrew Harrison",NA,"Nikola Vucevic","C","47.22%",46
2,956269692,"elz24 (2/3)",0,357.25,"C Nikola Vucevic PG Chris Paul UTIL DeAndre Jordan SG Khris Middleton SF Jonathon Simmons PF Greg Monroe F Mario Hezonja G Andrew Harrison",NA,"Khris Middleton","SF","46.58%",38.25
2,956269774,"elz24 (3/3)",0,357.25,"C Nikola Vucevic PG Chris Paul UTIL DeAndre Jordan SG Khris Middleton SF Jonathon Simmons PF Greg Monroe F Mario Hezonja G Andrew Harrison",NA,"Aron Baynes","UTIL","41.36%",26.5
6,956302581,"divannurse78 (3/13)",0,354.75,"UTIL Nikola Vucevic PG Chris Paul G Lou Williams C Dwight Howard PF Greg Monroe SF JaMychal Green F Michael Kidd-Gilchrist SG Milos Teodosic",NA,"Mario Hezonja","PG","40.14%",41.75
7,956093645,"B_Mcafee90 (1/10)",0,354.5,"C Nikola Vucevic SG Chris Paul F DeMar DeRozan G Kyrie Irving PF Greg Monroe UTIL Milos Teodosic SF Mario Hezonja PG Andrew Harrison",NA,"DeMarcus Cousins","PF","37.76%",52.75
7,956093833,"B_Mcafee90 (3/10)",0,354.5,"C Nikola Vucevic SG Chris Paul F DeMar DeRozan G Kyrie Irving PF Greg Monroe UTIL Milos Teodosic SF Mario Hezonja PG Andrew Harrison",NA,"Marc Gasol","UTIL","34.05%",32
7,956093846,"B_Mcafee90 (4/10)",0,354.5,"C Nikola Vucevic SG Chris Paul F DeMar DeRozan G Kyrie Irving PF Greg Monroe UTIL Milos Teodosic SF Mario Hezonja PG Andrew Harrison",NA,"Jonathon Simmons","F","30.39%",41
7,956098370,"B_Mcafee90 (6/10)",0,354.5,"C Nikola Vucevic SG Chris Paul F DeMar DeRozan G Kyrie Irving PF Greg Monroe UTIL Milos Teodosic SF Mario Hezonja PG Andrew Harrison",NA,"Eric Bledsoe","SG","27.38%",32.25
7,956098442,"B_Mcafee90 (8/10)",0,354.5,"C Nikola Vucevic SG Chris Paul F DeMar DeRozan G Kyrie Irving PF Greg Monroe UTIL Milos Teodosic SF Mario Hezonja PG Andrew Harrison",NA,"Milos Teodosic","SG","26.10%",28.5
12,956234676,"BarOfSoap (11/17)",0,351.5,"PF Giannis Antetokounmpo G Chris Paul C DeAndre Jordan SG Eric Bledsoe F Greg Monroe UTIL Aron Baynes SF Mario Hezonja PG Andrew Harrison",NA,"Paul George","F","22.68%",27
13,956234675,"BarOfSoap (10/17)",0,351.25,"C Nikola Vucevic G Chris Paul UTIL DeAndre Jordan SG Eric Bledsoe F Jonathon Simmons PF Greg Monroe SF Mario Hezonja PG Andrew Harrison",NA,"Goran Dragic","PG","20.71%",22.25
14,956234682,"BarOfSoap (17/17)",0,343.5,"PF DeMarcus Cousins SG Chris Paul C DeAndre Jordan G Eric Bledsoe F Greg Monroe UTIL Aron Baynes SF Mario Hezonja PG Andrew Harrison",NA,"Giannis Antetokounmpo","SF","19.49%",60.75
15,956234667,"BarOfSoap (2/17)",0,341.25,"PG Russell Westbrook C Nikola Vucevic UTIL DeAndre Jordan G Eric Bledsoe PF Greg Monroe SF Mario Hezonja SG Andrew Harrison F Wayne Ellington",NA,"Mario Chalmers","PG","17.05%",14.25
16,956332317,"swhogan35",0,339.75,"UTIL Nikola Vucevic F DeMar DeRozan PG Kyrie Irving SF Khris Middleton SG Jamal Murray PF Greg Monroe C Aron Baynes G Andrew Harrison",NA,"Chris Paul","SG","15.78%",62.75
17,956205955,"jnord150",0,338.75,"PG Victor Oladipo SG Chris Paul C Dwight Howard SF Khris Middleton PF Serge Ibaka F Greg Monroe UTIL Aron Baynes G Wayne Ellington",NA,"Dion Waiters","SF","13.75%",24.5
18,956114004,"bigcsmiley (1/2)",0,338.5,"UTIL Nikola Vucevic PG Kyrie Irving C DeAndre Jordan F Khris Middleton SF Jonathon Simmons PF Greg Monroe SG Milos Teodosic G Mario Hezonja",NA,"DeAndre Jordan","UTIL","12.41%",54.5
18,956119206,"bigcsmiley (2/2)",0,338.5,"UTIL Nikola Vucevic PG Kyrie Irving C DeAndre Jordan F Khris Middleton SF Jonathon Simmons PF Greg Monroe SG Milos Teodosic G Mario Hezonja",NA,"James Johnson","F","12.18%",34.5
18,956437363,"ishaan23",0,338.5,"UTIL Nikola Vucevic PG Kyrie Irving C DeAndre Jordan SG Khris Middleton SF Jonathon Simmons PF Greg Monroe G Milos Teodosic F Mario Hezonja",NA,"DeMar DeRozan","SF","11.60%",51.25
18,956490135,"meansy53",0,338.5,"UTIL Nikola Vucevic PG Kyrie Irving C DeAndre Jordan SG Khris Middleton F Jonathon Simmons PF Greg Monroe G Milos Teodosic SF Mario Hezonja",NA,"Mike Scott","F","10.61%",18.25
22,955956164,"cxxcolexx (1/2)",0,337.75,"SF Giannis Antetokounmpo F DeMarcus Cousins C DeAndre Jordan PF Greg Monroe PG Milos Teodosic UTIL Aron Baynes G Mario Hezonja SG Andrew Harrison",NA,"Russell Westbrook","G","8.58%",55.75
22,955962791,"cxxcolexx (2/2)",0,337.75,"SF Giannis Antetokounmpo F DeMarcus Cousins C DeAndre Jordan PF Greg Monroe PG Milos Teodosic UTIL Aron Baynes G Mario Hezonja SG Andrew Harrison",NA,"Myles Turner","UTIL","8.24%",24
24,956234670,"BarOfSoap (5/17)",0,337.5,"G Chris Paul SG Lou Williams C Marc Gasol UTIL DeAndre Jordan SF Carmelo Anthony PF Greg Monroe F Mario Hezonja PG Andrew Harrison",NA,"Wilson Chandler","F","8.00%",26.75
25,956234671,"BarOfSoap (6/17)",0,332.75,"PG Russell Westbrook G Chris Paul C Marc Gasol F Jonathon Simmons PF Greg Monroe UTIL Aron Baynes SF Mario Hezonja SG Andrew Harrison",NA,"Victor Oladipo","SG","7.83%",36.75
26,955994627,"Orochi",0,332.5,"UTIL Nikola Vucevic G Kyrie Irving C DeAndre Jordan SF Khris Middleton F Jonathon Simmons PF Greg Monroe SG Milos Teodosic PG Andrew Harrison",NA,"James Harden","PG","6.90%",42
26,956289959,"evanbeanmc",0,332.5,"UTIL Nikola Vucevic G Kyrie Irving C DeAndre Jordan SF Khris Middleton F Jonathon Simmons PF Greg Monroe PG Milos Teodosic SG Andrew Harrison",NA,"T.J. Warren","SF","6.90%",21.75
26,956340097,"leovalencia",0,332.5,"C Nikola Vucevic G Kyrie Irving UTIL DeAndre Jordan SF Khris Middleton F Jonathon Simmons PF Greg Monroe PG Milos Teodosic SG Andrew Harrison",NA,"Serge Ibaka","PF","6.44%",43.75
29,955905098,"Fireball21 (1/51)",0,327.5,"PF DeMarcus Cousins SG Chris Paul F Khris Middleton UTIL Eric Bledsoe C Greg Monroe SF Wilson Chandler G Mario Hezonja PG Andrew Harrison",NA,"Kyrie Irving","G","6.32%",51.25
29,955905099,"Fireball21 (2/51)",0,327.5,"PF DeMarcus Cousins SG Chris Paul F Khris Middleton UTIL Eric Bledsoe C Greg Monroe SF Wilson Chandler G Mario Hezonja PG Andrew Harrison",NA,"Wes Iwundu","SG","5.86%",12.75
