"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,955934246,"mrgoodseats (10/75)",0,359.5,"C Nikola Vucevic SG Chris Paul UTIL DeAndre Jordan G Khris Middleton F Jonathon Simmons PF Greg Monroe PG Mario Hezonja SF Wayne Ellington",NA,"Greg Monroe","F","37.91%",37.25
1,956515417,"RSandersRX",0,359.5,"F Giannis Antetokounmpo SG Chris Paul C DeAndre Jordan SF Khris Middleton PF Greg Monroe G Milos Teodosic UTIL Mario Hezonja PG Andrew Harrison",NA,"Nikola Vucevic","C","34.82%",46
3,955980296,"high_v (10/10)",0,359.25,"PF DeMarcus Cousins PG Chris Paul C Dwight Howard UTIL DeAndre Jordan F Alex Len SG Milos Teodosic G Andrew Harrison SF Wayne Ellington",NA,"Khris Middleton","F","31.78%",38.25
4,955936428,"mrgoodseats (24/75)",0,357.25,"C Nikola Vucevic PG Chris Paul UTIL DeAndre Jordan F Khris Middleton G Jonathon Simmons PF Greg Monroe SF Mario Hezonja SG Andrew Harrison",NA,"Marc Gasol","C","31.25%",32
5,955943841,"mrgoodseats (49/75)",0,357,"C Nikola Vucevic PG Chris Paul UTIL DeAndre Jordan F Khris Middleton G Kris Dunn PF Greg Monroe SF Mario Hezonja SG Andrew Harrison",NA,"Andrew Harrison","SG","28.04%",35.75
5,956027297,"CasBrM (1/60)",0,357,"C Nikola Vucevic SG Chris Paul UTIL DeAndre Jordan F Khris Middleton G Kris Dunn PF Greg Monroe SF Mario Hezonja PG Andrew Harrison",NA,"Aron Baynes","C","25.95%",26.5
7,956609188,"chadparma",0,353.5,"UTIL Dwight Howard C DeAndre Jordan F Khris Middleton SF Jonathon Simmons G Gary Harris PG Kris Dunn PF James Johnson SG Andrew Harrison",NA,"Milos Teodosic","SG","23.59%",28.5
8,956250726,"mray6288 (13/20)",0,353.25,"SG Chris Paul PG Lou Williams UTIL Marc Gasol C DeAndre Jordan F Khris Middleton PF Greg Monroe G Mario Hezonja SF Wayne Ellington",NA,"Mario Hezonja","SF","23.09%",41.75
9,955949058,"petteytheft89 (3/50)",0,352.5,"PG Russell Westbrook G Chris Paul C DeAndre Jordan F Khris Middleton PF Greg Monroe UTIL Aron Baynes SF Mario Hezonja SG Andrew Harrison",NA,"Goran Dragic","G","23.03%",22.25
9,956442662,"mariob888 (3/3)",0,352.5,"C Nikola Vucevic SG Chris Paul G Lou Williams UTIL Dwight Howard F Serge Ibaka PF Mike Scott SF Mario Hezonja PG Andrew Harrison",NA,"DeAndre Jordan","UTIL","22.77%",54.5
11,956027342,"CasBrM (46/60)",0,352,"SF DeMar DeRozan G Kyrie Irving C DeAndre Jordan SG Jonathon Simmons PG Kris Dunn F E'Twaun Moore PF Greg Monroe UTIL Mario Hezonja",NA,"Jonathon Simmons","SG","22.44%",41
12,956334087,"dahladino (4/5)",0,350.5,"PF DeMarcus Cousins G Chris Paul UTIL Dwight Howard SG Khris Middleton F Greg Monroe C Aron Baynes SF Mario Hezonja PG Andrew Harrison",NA,"Eric Bledsoe","G","22.39%",32.25
13,956292211,"bquicksix (2/25)",0,346.5,"PF Giannis Antetokounmpo PG Russell Westbrook UTIL Lou Williams C Greg Monroe G Milos Teodosic SF Mario Hezonja SG Andrew Harrison F Wayne Ellington",NA,"DeMarcus Cousins","PF","21.30%",52.75
14,955934192,"mrgoodseats (8/75)",0,346.25,"C Nikola Vucevic PG Chris Paul UTIL DeAndre Jordan SF Khris Middleton F Jonathon Simmons PF Greg Monroe G Milos Teodosic SG Wayne Ellington",NA,"Paul George","SF","20.24%",27
15,956264138,"fjbourne (2/7)",0,343.5,"PF DeMarcus Cousins PG Chris Paul C DeAndre Jordan G Eric Bledsoe F Greg Monroe UTIL Aron Baynes SF Mario Hezonja SG Andrew Harrison",NA,"Mario Chalmers","PG","17.29%",14.25
16,956056574,"pianoclub (77/101)",0,343.25,"PF Giannis Antetokounmpo G Chris Paul C DeAndre Jordan SF Jonathon Simmons UTIL Malcolm Brogdon PG Tyler Ulis SG Milos Teodosic F Mario Hezonja",NA,"Dion Waiters","SF","16.35%",24.5
16,956056578,"pianoclub (81/101)",0,343.25,"UTIL Nikola Vucevic SG Chris Paul G Lou Williams C DeAndre Jordan SF Jonathon Simmons PG Tyler Ulis F Mario Hezonja PF Zach Collins",NA,"Chris Paul","UTIL","15.61%",62.75
18,956292227,"bquicksix (18/25)",0,341.5,"SF Giannis Antetokounmpo SG Lou Williams UTIL Marc Gasol C DeAndre Jordan PF Greg Monroe G Milos Teodosic PG Mario Hezonja F Wayne Ellington",NA,"Myles Turner","C","13.99%",24
19,956027348,"CasBrM (52/60)",0,341,"G Chris Paul C DeAndre Jordan UTIL Donovan Mitchell F Khris Middleton PF Carmelo Anthony PG Kris Dunn SG Milos Teodosic SF Mario Hezonja",NA,"Russell Westbrook","PG","13.81%",55.75
20,956187609,"petteytheft89 (50/50)",0,339.5,"G Chris Paul SF Paul George SG Lou Williams C DeAndre Jordan F Jonathon Simmons PF Greg Monroe UTIL Aron Baynes PG Mario Hezonja",NA,"Giannis Antetokounmpo","PF","13.73%",60.75
