"","2017-11-27","2017-11-28","2017-11-29","2017-11-30","2017-12-01","2017-12-02","2017-12-04","2017-12-05","2017-12-06","2017-12-12"
"James Harden_HOU",NA,NA,59,NA,NA,NA,NA,NA,NA,NA
"Giannis Antetokounmpo_MIL",NA,57.25,NA,50.75,NA,65.25,55.25,NA,49,NA
"Russell Westbrook_OKC",NA,NA,69.75,NA,49.25,NA,NA,77.25,NA,NA
"DeMarcus Cousins_NO",NA,NA,42.5,NA,49.25,50,58.75,NA,81,NA
"Anthony Davis_NO",NA,NA,22.25,NA,39.5,0,0,NA,0,NA
"Victor Oladipo_IND",NA,NA,43.75,NA,65.75,NA,33.75,NA,45.5,NA
"Damian Lillard_POR",NA,NA,NA,35.75,NA,50.75,NA,53,NA,NA
"Nikola Vucevic_ORL",NA,NA,34.25,NA,17.75,NA,34.5,NA,61.5,NA
"Chris Paul_HOU",NA,NA,31,NA,NA,NA,NA,NA,NA,NA
"Kyle Lowry_TOR",NA,NA,55.75,NA,31.75,NA,NA,48.5,NA,NA
"DeMar DeRozan_TOR",NA,NA,43.5,NA,44.75,NA,NA,46.75,NA,NA
"Kyrie Irving_BOS",NA,NA,NA,47,NA,30,42,NA,35.5,NA
"Aaron Gordon_ORL",NA,NA,78.75,NA,46.25,NA,30,NA,48.25,NA
"Nikola Jokic_DEN",NA,27,NA,19,NA,0,0,NA,0,0
"John Wall_WAS",NA,0,0,NA,0,NA,0,0,NA,0
"Devin Booker_PHO",NA,54,26.5,NA,NA,50.5,64.5,43.25,NA,0
"Blake Griffin_LAC",50.25,NA,NA,0,NA,0,NA,NA,0,NA
"Paul George_OKC",NA,NA,37.75,NA,62,NA,NA,28.25,NA,NA
"Lou Williams_LAC",0,NA,NA,0,NA,0,NA,NA,0,NA
"Bradley Beal_WAS",NA,21,31.5,NA,18,NA,13.25,59.25,NA,39.5
"Marc Gasol_MEM",NA,NA,27,NA,45.25,49.5,38.75,NA,34.5,NA
"Dwight Howard_CHA",NA,NA,42,NA,18.75,NA,24.25,NA,26.75,NA
"Kemba Walker_CHA",NA,NA,0,NA,0,NA,50.5,NA,44,NA
"Hassan Whiteside_MIA",NA,35.5,0,NA,0,NA,NA,NA,0,NA
"DeAndre Jordan_LAC",19.75,NA,NA,31,NA,40.25,NA,NA,47.25,NA
"Tyreke Evans_MEM",NA,NA,32.75,NA,14.25,63.25,43.25,NA,22.25,NA
"Elfrid Payton_ORL",NA,NA,43.25,NA,33.5,NA,27.5,NA,25.25,NA
"Jrue Holiday_NO",NA,NA,42.75,NA,24.5,33.75,50,NA,40.25,NA
"Al Horford_BOS",NA,NA,NA,42.5,NA,40.75,44.75,NA,50.5,NA
"Donovan Mitchell_UTA",NA,26.75,NA,36.5,53.5,NA,27.75,48.25,NA,NA
"Will Barton_DEN",NA,14.5,NA,51.5,NA,34.5,46,NA,28.25,30
"Otto Porter_WAS",NA,33.5,21,NA,38.25,NA,24,22,NA,21.75
"Jusuf Nurkic_POR",NA,NA,NA,46.75,NA,14,NA,34.25,NA,NA
"Khris Middleton_MIL",NA,22,NA,43.75,NA,30.5,42.5,NA,36.75,NA
"Eric Bledsoe_MIL",NA,42.25,NA,37.75,NA,30.5,28.75,NA,36.75,NA
"TJ Warren_PHO",NA,38.75,11,NA,NA,37.25,43,10.75,NA,27.75
"Clint Capela_HOU",NA,NA,44.25,NA,NA,NA,NA,NA,NA,NA
"CJ McCollum_POR",NA,NA,NA,31.5,NA,26.5,NA,28,NA,NA
"Rudy Gobert_UTA",NA,0,NA,0,0,NA,26,16,NA,NA
"Paul Millsap_DEN",NA,0,NA,0,NA,0,0,NA,0,0
"Carmelo Anthony_OKC",NA,NA,30.75,NA,18,NA,NA,31.5,NA,NA
"Steven Adams_OKC",NA,NA,20,NA,38,NA,NA,33.75,NA,NA
"Jonathon Simmons_ORL",NA,NA,8,NA,27.25,NA,24.5,NA,27,NA
"Gary Harris_DEN",NA,26.25,NA,39.25,NA,32,37.75,NA,38.75,36.5
"Kris Dunn_CHI",NA,48.5,NA,34.75,26,NA,31.5,NA,37,NA
"Myles Turner_IND",NA,NA,36.5,NA,28.5,NA,22.25,NA,35.25,NA
"Mike Conley_MEM",NA,NA,0,NA,0,0,0,NA,0,NA
"Rajon Rondo_NO",NA,NA,15.75,NA,40.5,38.5,38.75,NA,28.5,NA
"Goran Dragic_MIA",NA,17.5,13,NA,17,NA,NA,NA,22.5,NA
"Jayson Tatum_BOS",NA,NA,NA,25.5,NA,33.5,26,NA,34,NA
"Evan Fournier_ORL",NA,NA,23.75,NA,33.75,NA,25.75,NA,37.5,NA
"Nicolas Batum_CHA",NA,NA,19.75,NA,25.75,NA,36.25,NA,30.25,NA
"Jaylen Brown_BOS",NA,NA,NA,8.75,NA,27,19.25,NA,0,NA
"Thaddeus Young_IND",NA,NA,30.5,NA,26.75,NA,33,NA,28.75,NA
"Austin Rivers_LAC",39,NA,NA,36.5,NA,19.75,NA,NA,35.5,NA
