"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG/SG","James Harden",11600,"CHA@HOU 12/13/2017 09:30PM ET",58.09,"HOU"
"PG/SG","Chris Paul",8400,"CHA@HOU 12/13/2017 09:30PM ET",40.795,"HOU"
"PG","Kyle Lowry",8300,"TOR@PHO 12/13/2017 09:00PM ET",37.95,"TOR"
"SG/SF","DeMar DeRozan",8300,"TOR@PHO 12/13/2017 09:00PM ET",38.65,"TOR"
"SG/SF","Devin Booker",7800,"TOR@PHO 12/13/2017 09:00PM ET",38.3,"PHO"
"C","Dwight Howard",7600,"CHA@HOU 12/13/2017 09:30PM ET",35.827,"CHA"
"PG","Kemba Walker",7500,"CHA@HOU 12/13/2017 09:30PM ET",38.552,"CHA"
"SF/PF","T.J. Warren",6700,"TOR@PHO 12/13/2017 09:00PM ET",30.536,"PHO"
"C","Clint Capela",6700,"CHA@HOU 12/13/2017 09:30PM ET",34.46,"HOU"
"SG/SF","Nicolas Batum",6000,"CHA@HOU 12/13/2017 09:30PM ET",24.167,"CHA"
"PF/C","Serge Ibaka",5700,"TOR@PHO 12/13/2017 09:00PM ET",24.826,"TOR"
"SG/SF","Jeremy Lamb",5400,"CHA@HOU 12/13/2017 09:30PM ET",27.77,"CHA"
"SG/SF","Trevor Ariza",4900,"CHA@HOU 12/13/2017 09:30PM ET",24.424,"HOU"
"SF/PF","Marvin Williams",4900,"CHA@HOU 12/13/2017 09:30PM ET",20,"CHA"
"SG","Eric Gordon",4900,"CHA@HOU 12/13/2017 09:30PM ET",27.707,"HOU"
"PF/C","Greg Monroe",4800,"TOR@PHO 12/13/2017 09:00PM ET",22.219,"PHO"
"C","Jonas Valanciunas",4700,"TOR@PHO 12/13/2017 09:00PM ET",22.143,"TOR"
"C","Tyson Chandler",4400,"TOR@PHO 12/13/2017 09:00PM ET",22.763,"PHO"
"PF/C","Alex Len",4400,"TOR@PHO 12/13/2017 09:00PM ET",23.489,"PHO"
"SF","Michael Kidd-Gilchrist",4400,"CHA@HOU 12/13/2017 09:30PM ET",19.413,"CHA"
"PG","Mike James",4300,"TOR@PHO 12/13/2017 09:00PM ET",21.973,"PHO"
"PF/C","Ryan Anderson",4300,"CHA@HOU 12/13/2017 09:30PM ET",21.854,"HOU"
"PG","Tyler Ulis",4200,"TOR@PHO 12/13/2017 09:00PM ET",17.769,"PHO"
