"","2017-11-27","2017-11-28","2017-11-29","2017-11-30","2017-12-01","2017-12-02","2017-12-04","2017-12-05","2017-12-06","2017-12-12"
"James Harden_HOU",NA,NA,59,NA,NA,NA,NA,NA,NA,NA
"Chris Paul_HOU",NA,NA,31,NA,NA,NA,NA,NA,NA,NA
"Kyle Lowry_TOR",NA,NA,55.75,NA,31.75,NA,NA,48.5,NA,NA
"DeMar DeRozan_TOR",NA,NA,43.5,NA,44.75,NA,NA,46.75,NA,NA
"Devin Booker_PHO",NA,54,26.5,NA,NA,50.5,64.5,43.25,NA,0
"Dwight Howard_CHA",NA,NA,42,NA,18.75,NA,24.25,NA,26.75,NA
"Kemba Walker_CHA",NA,NA,0,NA,0,NA,50.5,NA,44,NA
"TJ Warren_PHO",NA,38.75,11,NA,NA,37.25,43,10.75,NA,27.75
"Clint Capela_HOU",NA,NA,44.25,NA,NA,NA,NA,NA,NA,NA
"Nicolas Batum_CHA",NA,NA,19.75,NA,25.75,NA,36.25,NA,30.25,NA
"Serge Ibaka_TOR",NA,NA,22.5,NA,29.5,NA,NA,37,NA,NA
"Jeremy Lamb_CHA",NA,NA,30.75,NA,24.5,NA,17.5,NA,14,NA
"Trevor Ariza_HOU",NA,NA,24.5,NA,NA,NA,NA,NA,NA,NA
"Marvin Williams_CHA",NA,NA,15.25,NA,29.5,NA,17.25,NA,14.25,NA
"Eric Gordon_HOU",NA,NA,16.75,NA,NA,NA,NA,NA,NA,NA
"Greg Monroe_PHO",NA,0,32.75,NA,NA,20,0,34,NA,0
"Jonas Valanciunas_TOR",NA,NA,20.25,NA,24.75,NA,NA,17,NA,NA
"Tyson Chandler_PHO",NA,12.25,0,NA,NA,42.5,37.5,0,NA,25
"Alex Len_PHO",NA,37.5,11.25,NA,NA,0,10.75,25.25,NA,25
"Michael Kidd-Gilchrist_CHA",NA,NA,14.75,NA,25.25,NA,26.5,NA,11.75,NA
"Mike James_PHO",NA,18.25,22,NA,NA,20.75,8.25,15.5,NA,25.75
"Ryan Anderson_HOU",NA,NA,34.25,NA,NA,NA,NA,NA,NA,NA
"Tyler Ulis_PHO",NA,32.5,23,NA,NA,10,32.75,11.75,NA,19.75
"Josh Jackson_PHO",NA,1.25,35.25,NA,NA,7.75,13.75,16.25,NA,16.75
"Marquese Chriss_PHO",NA,12.5,23,NA,NA,9.5,17.5,9,NA,21.5
"Frank Kaminsky_CHA",NA,NA,30.75,NA,10.25,NA,29.25,NA,1.25,NA
"CJ Miles_TOR",NA,NA,11,NA,17.25,NA,NA,19.25,NA,NA
"Troy Daniels_PHO",NA,13.25,3,NA,NA,5,6.75,18,NA,16.5
"Fred VanVleet_TOR",NA,NA,23.75,NA,27.5,NA,NA,21.5,NA,NA
"Cody Zeller_CHA",NA,NA,12,NA,26.75,NA,14.75,NA,21,NA
"Jared Dudley_PHO",NA,0,12.5,NA,NA,8.75,0,25.75,NA,0
"Jakob Poeltl_TOR",NA,NA,10,NA,31.5,NA,NA,21.25,NA,NA
"Pascal Siakam_TOR",NA,NA,15,NA,10.75,NA,NA,19.5,NA,NA
"Norman Powell_TOR",NA,NA,15.5,NA,22.25,NA,NA,6.75,NA,NA
