"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG/SG","James Harden",11600,"CHA@HOU 12/13/2017 09:30PM ET",58.09,"HOU"
"SF/PF","Giannis Antetokounmpo",11300,"MIL@NO 12/13/2017 08:00PM ET",55.667,"MIL"
"PG","Russell Westbrook",11200,"OKC@IND 12/13/2017 07:00PM ET",53.692,"OKC"
"PF/C","DeMarcus Cousins",11000,"MIL@NO 12/13/2017 08:00PM ET",55.554,"NO"
"PF/C","Anthony Davis",10200,"MIL@NO 12/13/2017 08:00PM ET",48.37,"NO"
"PG/SG","Victor Oladipo",9200,"OKC@IND 12/13/2017 07:00PM ET",42.817,"IND"
"PG","Damian Lillard",9000,"POR@MIA 12/13/2017 07:30PM ET",45.308,"POR"
"C","Nikola Vucevic",8800,"LAC@ORL 12/13/2017 07:00PM ET",38.884,"ORL"
"PG/SG","Chris Paul",8400,"CHA@HOU 12/13/2017 09:30PM ET",40.795,"HOU"
"PG","Kyle Lowry",8300,"TOR@PHO 12/13/2017 09:00PM ET",37.95,"TOR"
"SG/SF","DeMar DeRozan",8300,"TOR@PHO 12/13/2017 09:00PM ET",38.65,"TOR"
"PG","Kyrie Irving",8200,"DEN@BOS 12/13/2017 07:30PM ET",38.148,"BOS"
"SF/PF","Aaron Gordon",8100,"LAC@ORL 12/13/2017 07:00PM ET",36.34,"ORL"
"C","Nikola Jokic",8000,"DEN@BOS 12/13/2017 07:30PM ET",39.881,"DEN"
"PG","John Wall",7900,"MEM@WAS 12/13/2017 07:00PM ET",42.313,"WAS"
"SG/SF","Devin Booker",7800,"TOR@PHO 12/13/2017 09:00PM ET",38.3,"PHO"
"PF/C","Blake Griffin",7800,"LAC@ORL 12/13/2017 07:00PM ET",43.763,"LAC"
"SF","Paul George",7700,"OKC@IND 12/13/2017 07:00PM ET",38.833,"OKC"
"PG/SG","Lou Williams",7700,"LAC@ORL 12/13/2017 07:00PM ET",32.2,"LAC"
"SG","Bradley Beal",7600,"MEM@WAS 12/13/2017 07:00PM ET",36.788,"WAS"
"C","Marc Gasol",7600,"MEM@WAS 12/13/2017 07:00PM ET",39.824,"MEM"
"C","Dwight Howard",7600,"CHA@HOU 12/13/2017 09:30PM ET",35.827,"CHA"
"PG","Kemba Walker",7500,"CHA@HOU 12/13/2017 09:30PM ET",38.552,"CHA"
"C","Hassan Whiteside",7400,"POR@MIA 12/13/2017 07:30PM ET",36.95,"MIA"
"C","DeAndre Jordan",7300,"LAC@ORL 12/13/2017 07:00PM ET",33.5,"LAC"
"SG/SF","Tyreke Evans",7300,"MEM@WAS 12/13/2017 07:00PM ET",33.259,"MEM"
"PG","Elfrid Payton",7200,"LAC@ORL 12/13/2017 07:00PM ET",27.987,"ORL"
"PG/SG","Jrue Holiday",7200,"MIL@NO 12/13/2017 08:00PM ET",34.473,"NO"
