"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,956545108,"redpossom",0,359.5,"C Nikola Vucevic PG Chris Paul G DeMar DeRozan SF Jonathon Simmons F Serge Ibaka PF Greg Monroe UTIL Mario Hezonja SG Andrew Harrison",NA,"Greg Monroe","PF","63.09%",37.25
1,956550711,"RSandersRX (1/2)",0,359.5,"F Giannis Antetokounmpo SG Chris Paul C DeAndre Jordan SF Khris Middleton PF Greg Monroe G Milos Teodosic UTIL Mario Hezonja PG Andrew Harrison",NA,"Khris Middleton","SF","50.79%",38.25
1,956570024,"RSandersRX (2/2)",0,359.5,"F Giannis Antetokounmpo SG Chris Paul C DeAndre Jordan SF Khris Middleton PF Greg Monroe G Milos Teodosic UTIL Mario Hezonja PG Andrew Harrison",NA,"Nikola Vucevic","C","49.78%",46
4,956146784,"ryan7962 (1/4)",0,357.5,"SF Giannis Antetokounmpo PG Chris Paul C DeAndre Jordan SG Khris Middleton PF Greg Monroe UTIL Aron Baynes F Mario Hezonja G Andrew Harrison",NA,"Andrew Harrison","SG","47.38%",35.75
4,956146790,"ryan7962 (2/4)",0,357.5,"SF Giannis Antetokounmpo PG Chris Paul C DeAndre Jordan SG Khris Middleton PF Greg Monroe UTIL Aron Baynes F Mario Hezonja G Andrew Harrison",NA,"Aron Baynes","UTIL","42.27%",26.5
4,956146798,"ryan7962 (3/4)",0,357.5,"SF Giannis Antetokounmpo PG Chris Paul C DeAndre Jordan SG Khris Middleton PF Greg Monroe UTIL Aron Baynes F Mario Hezonja G Andrew Harrison",NA,"Mario Hezonja","PG","38.99%",41.75
4,956153192,"ryan7962 (4/4)",0,357.5,"SF Giannis Antetokounmpo PG Chris Paul C DeAndre Jordan SG Khris Middleton PF Greg Monroe UTIL Aron Baynes F Mario Hezonja G Andrew Harrison",NA,"Jonathon Simmons","SF","35.81%",41
4,956356505,"dwalke16",0,357.5,"F Giannis Antetokounmpo PG Chris Paul UTIL DeAndre Jordan G Khris Middleton PF Greg Monroe C Aron Baynes SF Mario Hezonja SG Andrew Harrison",NA,"Marc Gasol","UTIL","32.75%",32
9,956223008,"MillionaireMatt89",0,357.25,"C Nikola Vucevic SG Chris Paul UTIL DeAndre Jordan F Khris Middleton G Jonathon Simmons PF Greg Monroe SF Mario Hezonja PG Andrew Harrison",NA,"DeMarcus Cousins","F","30.75%",52.75
9,956242682,"dswilin (1/16)",0,357.25,"UTIL Nikola Vucevic SG Chris Paul C DeAndre Jordan G Khris Middleton F Jonathon Simmons PF Greg Monroe SF Mario Hezonja PG Andrew Harrison",NA,"Eric Bledsoe","SG","29.30%",32.25
9,956244489,"dswilin (2/16)",0,357.25,"UTIL Nikola Vucevic SG Chris Paul C DeAndre Jordan G Khris Middleton F Jonathon Simmons PF Greg Monroe SF Mario Hezonja PG Andrew Harrison",NA,"Milos Teodosic","PG","29.09%",28.5
9,956244513,"dswilin (3/16)",0,357.25,"UTIL Nikola Vucevic SG Chris Paul C DeAndre Jordan G Khris Middleton F Jonathon Simmons PF Greg Monroe SF Mario Hezonja PG Andrew Harrison",NA,"Paul George","F","20.10%",27
9,956244562,"dswilin (4/16)",0,357.25,"UTIL Nikola Vucevic SG Chris Paul C DeAndre Jordan G Khris Middleton F Jonathon Simmons PF Greg Monroe SF Mario Hezonja PG Andrew Harrison",NA,"Goran Dragic","G","19.78%",22.25
9,956244574,"dswilin (5/16)",0,357.25,"UTIL Nikola Vucevic SG Chris Paul C DeAndre Jordan G Khris Middleton F Jonathon Simmons PF Greg Monroe SF Mario Hezonja PG Andrew Harrison",NA,"Giannis Antetokounmpo","SF","18.57%",60.75
9,956244600,"dswilin (6/16)",0,357.25,"UTIL Nikola Vucevic SG Chris Paul C DeAndre Jordan G Khris Middleton F Jonathon Simmons PF Greg Monroe SF Mario Hezonja PG Andrew Harrison",NA,"Mario Chalmers","PG","18.51%",14.25
9,956244709,"dswilin (7/16)",0,357.25,"UTIL Nikola Vucevic SG Chris Paul C DeAndre Jordan G Khris Middleton F Jonathon Simmons PF Greg Monroe SF Mario Hezonja PG Andrew Harrison",NA,"Chris Paul","SG","17.40%",62.75
