"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SF/PF","LeBron James",11900,"LAL@CLE 12/14/2017 08:00PM ET",57.411,"CLE"
"SF/PF","Kevin Durant",11300,"DAL@GS 12/14/2017 10:30PM ET",47.793,"GS"
"PG/SG","Stephen Curry",9300,"DAL@GS 12/14/2017 10:30PM ET",46.924,"GS"
"C","Karl-Anthony Towns",9100,"SAC@MIN 12/14/2017 08:00PM ET",42.295,"MIN"
"SG","Jimmy Butler",8700,"SAC@MIN 12/14/2017 08:00PM ET",37.76,"MIN"
"PF/C","Kevin Love",7900,"LAL@CLE 12/14/2017 08:00PM ET",38.037,"CLE"
"PF/C","Draymond Green",7700,"DAL@GS 12/14/2017 10:30PM ET",35.94,"GS"
"PG","Lonzo Ball",7000,"LAL@CLE 12/14/2017 08:00PM ET",32.644,"LAL"
"SG","Klay Thompson",6900,"DAL@GS 12/14/2017 10:30PM ET",33.402,"GS"
"PF/C","Zach Randolph",6800,"SAC@MIN 12/14/2017 08:00PM ET",29.26,"SAC"
"SF/PF","Harrison Barnes",6700,"DAL@GS 12/14/2017 10:30PM ET",32.313,"DAL"
"PG","Isaiah Thomas",6500,"LAL@CLE 12/14/2017 08:00PM ET",0,"CLE"
"SG/SF","Brandon Ingram",6500,"LAL@CLE 12/14/2017 08:00PM ET",29.75,"LAL"
"PG","Jeff Teague",6400,"SAC@MIN 12/14/2017 08:00PM ET",31.365,"MIN"
"SF/PF","Andrew Wiggins",6200,"SAC@MIN 12/14/2017 08:00PM ET",29.571,"MIN"
"SG","Kentavious Caldwell-Pope",6000,"LAL@CLE 12/14/2017 08:00PM ET",28.052,"LAL"
"PF/C","Taj Gibson",5900,"SAC@MIN 12/14/2017 08:00PM ET",26.902,"MIN"
"PG/SG","J.J. Barea",5600,"DAL@GS 12/14/2017 10:30PM ET",25.375,"DAL"
"SF/PF","Kyle Kuzma",5500,"LAL@CLE 12/14/2017 08:00PM ET",28.3,"LAL"
"PG/SG","Dwyane Wade",5300,"LAL@CLE 12/14/2017 08:00PM ET",24.635,"CLE"
"SG/SF","Buddy Hield",5200,"SAC@MIN 12/14/2017 08:00PM ET",22.42,"SAC"
"PF/C","Julius Randle",5100,"LAL@CLE 12/14/2017 08:00PM ET",24.721,"LAL"
"PF/C","Willie Cauley-Stein",5100,"SAC@MIN 12/14/2017 08:00PM ET",23.927,"SAC"
"PG/SG","Jordan Clarkson",5000,"LAL@CLE 12/14/2017 08:00PM ET",24.269,"LAL"
"PG/SG","Dennis Smith Jr.",4900,"DAL@GS 12/14/2017 10:30PM ET",26.967,"DAL"
"C","Brook Lopez",4700,"LAL@CLE 12/14/2017 08:00PM ET",25.529,"LAL"
"SG/SF","Wesley Matthews",4600,"DAL@GS 12/14/2017 10:30PM ET",23.393,"DAL"
"PG/SG","Yogi Ferrell",4600,"DAL@GS 12/14/2017 10:30PM ET",18.232,"DAL"
"SF/PF","Larry Nance Jr.",4500,"LAL@CLE 12/14/2017 08:00PM ET",23.283,"LAL"
"PF/C","Dirk Nowitzki",4400,"DAL@GS 12/14/2017 10:30PM ET",22.643,"DAL"
"PG","De'Aaron Fox",4400,"SAC@MIN 12/14/2017 08:00PM ET",20.852,"SAC"
"SF/PF","Jeff Green",4300,"LAL@CLE 12/14/2017 08:00PM ET",19.054,"CLE"
"SG/SF","Andre Iguodala",4200,"DAL@GS 12/14/2017 10:30PM ET",18.125,"GS"
"PG/SG","George Hill",4200,"SAC@MIN 12/14/2017 08:00PM ET",19.26,"SAC"
"SG/SF","J.R. Smith",4100,"LAL@CLE 12/14/2017 08:00PM ET",18.036,"CLE"
"PG/SG","Seth Curry",4000,"DAL@GS 12/14/2017 10:30PM ET",0,"DAL"
"PG/SG","Frank Mason III",3900,"SAC@MIN 12/14/2017 08:00PM ET",15.95,"SAC"
"SG/SF","Bogdan Bogdanovic",3900,"SAC@MIN 12/14/2017 08:00PM ET",18.594,"SAC"
"PG/SG","Shaun Livingston",3800,"DAL@GS 12/14/2017 10:30PM ET",11.09,"GS"
"SG/SF","Kyle Korver",3800,"LAL@CLE 12/14/2017 08:00PM ET",17.375,"CLE"
"PF/C","Gorgui Dieng",3800,"SAC@MIN 12/14/2017 08:00PM ET",15.76,"MIN"
"PF/C","Dwight Powell",3700,"DAL@GS 12/14/2017 10:30PM ET",16.398,"DAL"
"SF/PF","Jae Crowder",3700,"LAL@CLE 12/14/2017 08:00PM ET",15.938,"CLE"
"PF/C","Tristan Thompson",3700,"LAL@CLE 12/14/2017 08:00PM ET",12.25,"CLE"
"PF/C","David West",3600,"DAL@GS 12/14/2017 10:30PM ET",16.606,"GS"
"PF/C","Jordan Bell",3600,"DAL@GS 12/14/2017 10:30PM ET",12.534,"GS"
"PG","Derrick Rose",3600,"LAL@CLE 12/14/2017 08:00PM ET",19.786,"CLE"
"SG","Jamal Crawford",3600,"SAC@MIN 12/14/2017 08:00PM ET",14.875,"MIN"
"PG/SG","Garrett Temple",3600,"SAC@MIN 12/14/2017 08:00PM ET",15.74,"SAC"
"SF/PF","Omri Casspi",3500,"DAL@GS 12/14/2017 10:30PM ET",14.01,"GS"
"PF","Maxi Kleber",3500,"DAL@GS 12/14/2017 10:30PM ET",11.841,"DAL"
"PG/SG","Iman Shumpert",3500,"LAL@CLE 12/14/2017 08:00PM ET",12.192,"CLE"
"SF/PF","Nemanja Bjelica",3500,"SAC@MIN 12/14/2017 08:00PM ET",13.514,"MIN"
"SF/PF","Jakarr Sampson",3500,"SAC@MIN 12/14/2017 08:00PM ET",13.75,"SAC"
"SG/SF","Shabazz Muhammad",3500,"SAC@MIN 12/14/2017 08:00PM ET",7.25,"MIN"
"PG/SG","Tyus Jones",3500,"SAC@MIN 12/14/2017 08:00PM ET",12.589,"MIN"
"PG/SG","Devin Harris",3400,"DAL@GS 12/14/2017 10:30PM ET",16.239,"DAL"
