"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,957538657,"pandamanda (3/5)",0,368.25,"G Devin Harris PF Omri Casspi UTIL Jordan Bell F LeBron James PG José Calderón SF Brandon Ingram SG Jimmy Butler C Karl-Anthony Towns",NA,"LeBron James","PF","56.72%",68.5
2,957324575,"TxSportsGuy (2/4)",0,364,"G Andre Iguodala F Omri Casspi UTIL Jordan Bell SF LeBron James PG José Calderón PF Kevin Love SG Brandon Ingram C Karl-Anthony Towns",NA,"Kevin Love","UTIL","40.48%",54.75
3,956954668,"MrSteve83 (2/20)",0,358.75,"G Devin Harris SF Kevin Durant F Omri Casspi UTIL Jordan Bell PF LeBron James PG José Calderón SG Bogdan Bogdanovic C Karl-Anthony Towns",NA,"Jordan Bell","C","37.67%",30.5
3,956954670,"MrSteve83 (4/20)",0,358.75,"G Devin Harris SF Kevin Durant F Omri Casspi UTIL Jordan Bell PF LeBron James PG José Calderón SG Bogdan Bogdanovic C Karl-Anthony Towns",NA,"Kevin Durant","F","36.79%",65.25
3,957013991,"slamjunk45 (3/15)",0,358.75,"PG Devin Harris PF Kevin Durant F Omri Casspi UTIL Jordan Bell SF LeBron James G José Calderón SG Bogdan Bogdanovic C Karl-Anthony Towns",NA,"Klay Thompson","G","33.48%",31.75
3,957014047,"slamjunk45 (8/15)",0,358.75,"PG Devin Harris PF Kevin Durant F Omri Casspi UTIL Jordan Bell SF LeBron James G José Calderón SG Bogdan Bogdanovic C Karl-Anthony Towns",NA,"Jimmy Butler","SG","32.19%",51.25
3,957538656,"pandamanda (2/5)",0,358.75,"G Devin Harris F Kevin Durant PF Omri Casspi UTIL Jordan Bell SF LeBron James PG José Calderón SG Bogdan Bogdanovic C Karl-Anthony Towns",NA,"Jordan Clarkson","PG","30.03%",17.75
3,957696987,"jmw1976 (1/20)",0,358.75,"G Devin Harris UTIL Kevin Durant SF Omri Casspi F Jordan Bell PF LeBron James PG José Calderón SG Bogdan Bogdanovic C Karl-Anthony Towns",NA,"Wesley Matthews","F","30.02%",13.5
9,957399001,"lucastillo (17/20)",0,354.75,"G Devin Harris SG Andre Iguodala F Kevin Durant UTIL Omri Casspi PF Jordan Bell SF LeBron James PG Josh Hart C Karl-Anthony Towns",NA,"J.J. Barea","PG","27.14%",25.5
10,957227919,"Flatline (11/20)",0,354.5,"PF David West SF Kevin Durant UTIL Omri Casspi F Jordan Bell G Josh Hart PG Lonzo Ball SG Jimmy Butler C Karl-Anthony Towns",NA,"Karl-Anthony Towns","C","26.96%",69.5
11,957572544,"maggsl01 (8/9)",0,353,"SG Devin Harris PF Kevin Durant F Omri Casspi UTIL Jordan Bell G Kyle Korver SF LeBron James PG José Calderón C Karl-Anthony Towns",NA,"Yogi Ferrell","SG","26.01%",18.75
11,957747378,"knumani (1/4)",0,353,"G Devin Harris SF Kevin Durant UTIL Omri Casspi PF Jordan Bell SG Kyle Korver F LeBron James PG José Calderón C Karl-Anthony Towns",NA,"Kyle Kuzma","UTIL","22.36%",28.75
13,957704082,"jmw1976 (2/20)",0,352.75,"G Devin Harris UTIL Kevin Durant SF Omri Casspi F Jordan Bell PF LeBron James PG José Calderón SG Frank Mason III C Karl-Anthony Towns",NA,"Harrison Barnes","SF","20.58%",29.25
