"LeBron James_CLE","Kevin Durant_GS","Stephen Curry_GS","Karl-Anthony Towns_MIN","Jimmy Butler_MIN","Kevin Love_CLE","Draymond Green_GS","Lonzo Ball_LAL","Klay Thompson_GS","Zach Randolph_SAC","Harrison Barnes_DAL","Isaiah Thomas_CLE","Brandon Ingram_LAL","Jeff Teague_MIN","Andrew Wiggins_MIN","Kentavious Caldwell-Pope_LAL","Taj Gibson_MIN","JJ Barea_DAL","Kyle Kuzma_LAL","Dwyane Wade_CLE","Buddy Hield_SAC","Julius Randle_LAL","Willie Cauley-Stein_SAC","Jordan Clarkson_LAL","Dennis Smith_DAL","Brook Lopez_LAL","Wesley Matthews_DAL","Yogi Ferrell_DAL","Larry Nance_LAL","Dirk Nowitzki_DAL","De'Aaron Fox_SAC","Jeff Green_CLE","Andre Iguodala_GS","George Hill_SAC","JR Smith_CLE","Seth Curry_DAL","Frank Mason III_SAC","Bogdan Bogdanovic_SAC","Shaun Livingston_GS","Kyle Korver_CLE","Gorgui Dieng_MIN","Dwight Powell_DAL","Jae Crowder_CLE","Tristan Thompson_CLE","David West_GS","Jordan Bell_GS","Derrick Rose_CLE","Jamal Crawford_MIN","Garrett Temple_SAC","Omri Casspi_GS","Maxi Kleber_DAL","Iman Shumpert_CLE","Nemanja Bjelica_MIN","Jakarr Sampson_SAC","Shabazz Muhammad_MIN","Tyus Jones_MIN","Devin Harris_DAL","Nick Young_GS","Patrick McCaw_GS","Ivica Zubac_LAL","Skal Labissiere_SAC","Zaza Pachulia_GS","Quinn Cook_GS","Jose Calderon_CLE","Kosta Koufos_SAC","Justin Jackson_SAC","Channing Frye_CLE","Salah Mejri_DAL","Josh McRoberts_DAL","JaVale McGee_GS","Jeff Withey_DAL","Dorian Finney-Smith_DAL","Nerlens Noel_DAL","Damian Jones_GS","Johnathan Motley_DAL","Antonius Cleveland_DAL","Kevon Looney_GS","Chris Boucher_GS","Luol Deng_LAL","Andrew Bogut_LAL","Corey Brewer_LAL","John Holland_CLE","Vander Blue_LAL","Alex Caruso_LAL","London Perrantes_CLE","Josh Hart_LAL","Tyler Ennis_LAL","Cedi Osman_CLE","Thomas Bryant_LAL","Ante Zizic_CLE","Vince Carter_SAC","Aaron Brooks_MIN","Cole Aldrich_MIN","Jack Cooley_SAC","Anthony Brown_MIN","Marcus Georges-Hunt_MIN","Justin Patton_MIN","Malachi Richardson_SAC","Georgios Papagiannis_SAC","Harry Giles_SAC"
72.81875,0,0,0,0,-21.3625,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.8375,0,0,0,0,0,0,0,0,0,0,0,-8.30625,0,0,10.11875,0,0,0,0,25.94375,0,0,-14.94375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00625,0,0,25.09375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.08125,0,-10.44375,0,0,0,0,0,0,0,0,0,0
0,682.65625,102.1875,0,0,0,-242.734375,0,-39.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.265625,0,0,0,0,0,-74.546875,0,0,0,0,0,-62.8125,76.578125,0,0,0,-38.15625,0,0,0,0,0,0,0,42.203125,-392.75,0,0,-46.328125,131.90625,0,0,0,0,0,0,-38.40625,0,0,0,0,0,0,53.96875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,102.1875,829.21875,0,0,0,487.8125,0,-6.84375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-156.4375,0,0,0,0,0,-120.515625,0,0,0,0,0,-104.40625,12.265625,0,0,0,-92.390625,0,0,0,0,0,0,0,-65.546875,-165.28125,0,0,67.875,-129.8125,0,0,0,0,0,0,-45.125,0,0,0,0,0,0,4.109375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,158.335416666667,49.2083333333333,0,0,0,0,0,0,0,0,107.433333333333,-31.1104166666667,0,49.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-102.458333333333,0,0,0,0,0,0,10.9395833333333,0,0,0,0,0,0,0.34375,-62.09375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20.4625,0,0,0,0,0,0,0,0
0,0,0,49.2083333333333,61.5416666666667,0,0,0,0,0,0,0,0,44.8041666666667,-37.1708333333333,0,-12.2875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-67.0166666666667,0,0,0,0,0,0,-20.1333333333333,0,0,0,0,0,0,0.2375,-67.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19.8375,0,0,0,0,0,0,0,0
-21.3625,0,0,0,0,56.0916666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,74.1416666666667,0,0,0,0,0,0,0,0,0,0,0,-17.1416666666667,0,0,-11.8,0,0,0,0,-28.3666666666667,0,0,-13.5041666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.8875,0,0,-13.1916666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.76666666666667,0,-5.26666666666667,0,0,0,0,0,0,0,0,0,0
0,-242.734375,487.8125,0,0,0,456.96875,0,-6.265625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-104.609375,0,0,0,0,0,-38.09375,0,0,0,0,0,-78.5625,-45.0625,0,0,0,-80.015625,0,0,0,0,0,0,0,-48.59375,38.109375,0,0,80.625,-149.703125,0,0,0,0,0,0,-21.421875,0,0,0,0,0,0,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,90.625,0,0,0,0,27.2291666666667,0,0,-6.25,0,0,4.5,0,0,24.6875,0,-14.4375,0,29.9583333333333,0,0,-31.0833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-45.5833333333333,0,0,0,0,-37.9583333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-39.3125,-6.84375,0,0,0,-6.265625,0,19.1125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32.346875,0,0,0,0,0,5.76875,0,0,0,0,0,16.98125,22.9375,0,0,0,32.784375,0,0,0,0,0,0,0,-13.3125,50.6125,0,0,16.053125,-6.7,0,0,0,0,0,0,-5.8875,0,0,0,0,0,0,-12.534375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,153.441666666667,0,0,0,0,0,0,0,0,0,0,19.1875,0,-89,0,0,0,0,0,0,0,23.3625,0,0,67.1208333333333,0,0,-21.1375,54.925,0,0,0,0,0,0,0,0,0,0,-16.5541666666667,0,0,0,0,0,0,0,0,0,0,0,-58.3833333333333,0,0,0,32.5208333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.07083333333333,0,0,0,0,0,0,-12.5333333333333,0,0
