"Place_lo","Place_hi","Payout"
"1","1","5000"
"2","2","4000"
"3","3","3000"
"4","4","2000"
"5","5","1500"
"6","6","1000"
"7","10","750"
"11","15","500"
"16","20","350"
"21","30","250"
"31","45","200"
"46","60","150"
"61","75","100"
"76","100","80"
"101","125","60"
"126","150","50"
"151","175","40"
"176","225","35"
"226","275","30"
"276","325","25"
"326","425","20"
"426","525","15"
"526","775","12"
"776","1275","10"
"1276","2025","9"
"2026","3025","8"
"3026","5025","7"
"5026","8525","6"
"8526","14625","5"
