"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"SF/PF","LeBron James",11900,"LAL@CLE 12/14/2017 08:00PM ET",57.411,"CLE","LAL",60.43,60.3,68.5
"SF/PF","Kevin Durant",11300,"DAL@GS 12/14/2017 10:30PM ET",47.793,"GS","DAL",52.39,53,65.25
"PF/C","Kristaps Porzingis",9600,"NY@BKN 12/14/2017 07:30PM ET",41.815,"NY","BKN",0,0,0
"C","Andre Drummond",9300,"DET@ATL 12/14/2017 07:30PM ET",43.157,"DET","ATL",45.14,44,55.75
"PG/SG","Stephen Curry",9300,"DAL@GS 12/14/2017 10:30PM ET",46.924,"GS","DAL",0,0,0
"C","Karl-Anthony Towns",9100,"SAC@MIN 12/14/2017 08:00PM ET",42.295,"MIN","SAC",46.01,46.6,69.5
"SG","Jimmy Butler",8700,"SAC@MIN 12/14/2017 08:00PM ET",37.76,"MIN","SAC",43.45,43.8,51.25
"PF/C","Kevin Love",7900,"LAL@CLE 12/14/2017 08:00PM ET",38.037,"CLE","LAL",39.75,40.7,54.75
"PF/C","Draymond Green",7700,"DAL@GS 12/14/2017 10:30PM ET",35.94,"GS","DAL",0,0,0
"PG","Dennis Schroder",7200,"DET@ATL 12/14/2017 07:30PM ET",34.7,"ATL","DET",36.13,36.5,29.25
"PG","Lonzo Ball",7000,"LAL@CLE 12/14/2017 08:00PM ET",32.644,"LAL","CLE",35.62,34.2,43.5
"SG","Klay Thompson",6900,"DAL@GS 12/14/2017 10:30PM ET",33.402,"GS","DAL",36.41,35.6,31.75
"PG/SG","D'Angelo Russell",6800,"NY@BKN 12/14/2017 07:30PM ET",36.458,"BKN","NY",0,0,0
"PF/C","Zach Randolph",6800,"SAC@MIN 12/14/2017 08:00PM ET",29.26,"SAC","MIN",30.95,28.5,28.75
"SF/PF","Harrison Barnes",6700,"DAL@GS 12/14/2017 10:30PM ET",32.313,"DAL","GS",33.56,31.7,29.25
"PG/SG","Spencer Dinwiddie",6700,"NY@BKN 12/14/2017 07:30PM ET",28.048,"BKN","NY",35.95,34.5,50.25
"PF/C","Enes Kanter",6600,"NY@BKN 12/14/2017 07:30PM ET",30.292,"NY","BKN",0,0,0
"SG/SF","Brandon Ingram",6500,"LAL@CLE 12/14/2017 08:00PM ET",29.75,"LAL","CLE",32.88,32.2,45
"PG","Isaiah Thomas",6500,"LAL@CLE 12/14/2017 08:00PM ET",0,"CLE","LAL",0,0,0
"PG","Jeff Teague",6400,"SAC@MIN 12/14/2017 08:00PM ET",31.365,"MIN","SAC",30.76,31.4,24.5
"SF/PF","Tobias Harris",6300,"DET@ATL 12/14/2017 07:30PM ET",30.083,"DET","ATL",32.97,31.3,29
"SG/SF","Tim Hardaway",6300,"NY@BKN 12/14/2017 07:30PM ET",31.238,"NY","BKN",0,0,0
"SF/PF","Andrew Wiggins",6200,"SAC@MIN 12/14/2017 08:00PM ET",29.571,"MIN","SAC",29.67,28.9,24.25
"SF/PF","Rondae Hollis-Jefferson",6100,"NY@BKN 12/14/2017 07:30PM ET",27.522,"BKN","NY",29.92,31.3,48.25
"SG","Kentavious Caldwell-Pope",6000,"LAL@CLE 12/14/2017 08:00PM ET",28.052,"LAL","CLE",0,0,0
"PF/C","Taj Gibson",5900,"SAC@MIN 12/14/2017 08:00PM ET",26.902,"MIN","SAC",29.79,29.1,22.5
"PG","Reggie Jackson",5800,"DET@ATL 12/14/2017 07:30PM ET",28.139,"DET","ATL",30.62,28,17
"SG/SF","Kent Bazemore",5700,"DET@ATL 12/14/2017 07:30PM ET",27.731,"ATL","DET",26.87,25.5,26.25
"SG/SF","Taurean Prince",5700,"DET@ATL 12/14/2017 07:30PM ET",26.574,"ATL","DET",26.78,25.4,14.5
"PG/SG","JJ Barea",5600,"DAL@GS 12/14/2017 10:30PM ET",25.375,"DAL","GS",29.67,27.6,0
"PF/C","John Collins",5500,"DET@ATL 12/14/2017 07:30PM ET",24.202,"ATL","DET",23.49,20.1,29.25
"SG/SF","Courtney Lee",5500,"NY@BKN 12/14/2017 07:30PM ET",24.435,"NY","BKN",0,0,0
"SF/PF","Kyle Kuzma",5500,"LAL@CLE 12/14/2017 08:00PM ET",28.3,"LAL","CLE",24.87,25.4,28.75
"SG/SF","Caris LeVert",5400,"NY@BKN 12/14/2017 07:30PM ET",24.423,"BKN","NY",27.76,27.2,34.25
"SF/PF","Ersan Ilyasova",5300,"DET@ATL 12/14/2017 07:30PM ET",19.781,"ATL","DET",16.45,21.1,28.75
"SF/PF","DeMarre Carroll",5300,"NY@BKN 12/14/2017 07:30PM ET",27.813,"BKN","NY",27.58,26.5,25.25
"PG/SG","Dwyane Wade",5300,"LAL@CLE 12/14/2017 08:00PM ET",24.635,"CLE","LAL",25.37,24.2,21
"C","Dewayne Dedmon",5200,"DET@ATL 12/14/2017 07:30PM ET",25.038,"ATL","DET",0,0,0
"SG/SF","Buddy Hield",5200,"SAC@MIN 12/14/2017 08:00PM ET",22.42,"SAC","MIN",24.17,23.5,14.25
"PG/SG","Avery Bradley",5100,"DET@ATL 12/14/2017 07:30PM ET",24.194,"DET","ATL",23.86,24.5,26.25
"PF/C","Julius Randle",5100,"LAL@CLE 12/14/2017 08:00PM ET",24.721,"LAL","CLE",26.71,26.7,23.5
"PF/C","Willie Cauley-Stein",5100,"SAC@MIN 12/14/2017 08:00PM ET",23.927,"SAC","MIN",25.94,26,17.25
"PG/SG","Jordan Clarkson",5000,"LAL@CLE 12/14/2017 08:00PM ET",24.269,"LAL","CLE",31.19,31.7,17.75
"PG/SG","Dennis Smith",4900,"DAL@GS 12/14/2017 10:30PM ET",26.967,"DAL","GS",0,0,0
"C","Brook Lopez",4700,"LAL@CLE 12/14/2017 08:00PM ET",25.529,"LAL","CLE",21.27,20.2,13.75
"SG/SF","Wesley Matthews",4600,"DAL@GS 12/14/2017 10:30PM ET",23.393,"DAL","GS",25.4,24.3,13.5
"PG/SG","Yogi Ferrell",4600,"DAL@GS 12/14/2017 10:30PM ET",18.232,"DAL","GS",24.81,22.8,18.75
"SF/PF","Larry Nance",4500,"LAL@CLE 12/14/2017 08:00PM ET",23.283,"LAL","CLE",20.46,21,29.5
