"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF/C","LaMarcus Aldridge",8000,"DAL@SA 12/16/2017 08:30PM ET",39.741,"SA"
"PG","Kyrie Irving",7800,"BOS@MEM 12/16/2017 09:00PM ET",38.616,"BOS"
"C","Marc Gasol",7500,"BOS@MEM 12/16/2017 09:00PM ET",39.545,"MEM"
"SF/PF","Kawhi Leonard",7100,"DAL@SA 12/16/2017 08:30PM ET",26.5,"SA"
"PG/SG","Tyreke Evans",7000,"BOS@MEM 12/16/2017 09:00PM ET",33.259,"MEM"
"PF/C","Al Horford",6600,"BOS@MEM 12/16/2017 09:00PM ET",35.139,"BOS"
"SF/PF","Harrison Barnes",6500,"DAL@SA 12/16/2017 08:30PM ET",32.207,"DAL"
"PG","Mike Conley",6300,"BOS@MEM 12/16/2017 09:00PM ET",28.771,"MEM"
"SF/PF","Rudy Gay",5900,"DAL@SA 12/16/2017 08:30PM ET",25.106,"SA"
"SF/PF","Jayson Tatum",5700,"BOS@MEM 12/16/2017 09:00PM ET",26.575,"BOS"
"PG/SG","J.J. Barea",5700,"DAL@SA 12/16/2017 08:30PM ET",25.379,"DAL"
"SG/SF","Jaylen Brown",5600,"BOS@MEM 12/16/2017 09:00PM ET",27.009,"BOS"
"PF/C","Pau Gasol",5500,"DAL@SA 12/16/2017 08:30PM ET",28.306,"SA"
"PG/SF","Kyle Anderson",5200,"DAL@SA 12/16/2017 08:30PM ET",24.489,"SA"
"SG/SF","Marcus Smart",5100,"BOS@MEM 12/16/2017 09:00PM ET",24.393,"BOS"
"SG/SF","Danny Green",5000,"DAL@SA 12/16/2017 08:30PM ET",21.683,"SA"
"PG/SG","Dennis Smith Jr.",5000,"DAL@SA 12/16/2017 08:30PM ET",26.967,"DAL"
"PG/SG","Yogi Ferrell",4800,"DAL@SA 12/16/2017 08:30PM ET",18.25,"DAL"
"SG/SF","Wesley Matthews",4700,"DAL@SA 12/16/2017 08:30PM ET",23.052,"DAL"
"SF/PF","Marcus Morris",4600,"BOS@MEM 12/16/2017 09:00PM ET",23.281,"BOS"
"PF/C","Dirk Nowitzki",4600,"DAL@SA 12/16/2017 08:30PM ET",23.009,"DAL"
"SF/PF","JaMychal Green",4500,"BOS@MEM 12/16/2017 09:00PM ET",20.625,"MEM"
"PG","Patty Mills",4500,"DAL@SA 12/16/2017 08:30PM ET",19.902,"SA"
"PG/SG","Terry Rozier",4400,"BOS@MEM 12/16/2017 09:00PM ET",20.458,"BOS"
"PG/SG","Andrew Harrison",4400,"BOS@MEM 12/16/2017 09:00PM ET",14.284,"MEM"
"PG","Tony Parker",4400,"DAL@SA 12/16/2017 08:30PM ET",18.857,"SA"
"PG","Dejounte Murray",4400,"DAL@SA 12/16/2017 08:30PM ET",17.25,"SA"
"C","Aron Baynes",4100,"BOS@MEM 12/16/2017 09:00PM ET",15.475,"BOS"
"SG/SF","Manu Ginobili",4100,"DAL@SA 12/16/2017 08:30PM ET",15.946,"SA"
"PG/SG","Seth Curry",4000,"DAL@SA 12/16/2017 08:30PM ET",0,"DAL"
"PG","Mario Chalmers",3900,"BOS@MEM 12/16/2017 09:00PM ET",18.222,"MEM"
