"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"SF/PF","LeBron James",11600,"UTA@CLE 12/16/2017 07:30PM ET",57.793,"CLE","UTA",0,55.5,62.25
"PG","Russell Westbrook",11500,"OKC@NY 12/16/2017 07:30PM ET",53.769,"OKC","NY",0,56.7,46.25
"PG/SG","James Harden",11100,"MIL@HOU 12/16/2017 08:00PM ET",57.471,"HOU","MIL",0,55.7,48.5
"SF/PF","Giannis Antetokounmpo",10800,"MIL@HOU 12/16/2017 08:00PM ET",55.87,"MIL","HOU",0,54.5,53.25
"C","Karl-Anthony Towns",9600,"PHO@MIN 12/16/2017 08:00PM ET",43.233,"MIN","PHO",0,45.8,56.75
"PG","Damian Lillard",9100,"POR@CHA 12/16/2017 07:00PM ET",44.769,"POR","CHA",0,43.8,45.75
"PF/C","Kristaps Porzingis",9000,"OKC@NY 12/16/2017 07:30PM ET",41.031,"NY","OKC",0,0,0
"SG","Jimmy Butler",9000,"PHO@MIN 12/16/2017 08:00PM ET",38.259,"MIN","PHO",0,43.5,26
"PG/SG","Chris Paul",8600,"MIL@HOU 12/16/2017 08:00PM ET",42.625,"HOU","MIL",0,45.3,40.75
"PF/C","LaMarcus Aldridge",8000,"DAL@SA 12/16/2017 08:30PM ET",39.741,"SA","DAL",0,36.7,43.5
"PF/C","Kevin Love",7900,"UTA@CLE 12/16/2017 07:30PM ET",38.634,"CLE","UTA",0,37.5,27.25
"PG","Kyrie Irving",7800,"BOS@MEM 12/16/2017 09:00PM ET",38.616,"BOS","MEM",0,38.7,32
"SG/SF","Devin Booker",7800,"PHO@MIN 12/16/2017 08:00PM ET",38.3,"PHO","MIN",0,0,0
"C","Dwight Howard",7700,"POR@CHA 12/16/2017 07:00PM ET",36.556,"CHA","POR",0,38.2,38.25
"PG/SG","Lou Williams",7700,"LAC@MIA 12/16/2017 08:00PM ET",32.837,"LAC","MIA",0,37.9,0
"SF","Paul George",7600,"OKC@NY 12/16/2017 07:30PM ET",38.36,"OKC","NY",0,36.3,42.25
"C","Marc Gasol",7500,"BOS@MEM 12/16/2017 09:00PM ET",39.545,"MEM","BOS",0,37.7,54
"PF/C","Blake Griffin",7500,"LAC@MIA 12/16/2017 08:00PM ET",43.763,"LAC","MIA",0,0,0
"C","DeAndre Jordan",7300,"LAC@MIA 12/16/2017 08:00PM ET",34.308,"LAC","MIA",0,38.2,43.5
"PG","Kemba Walker",7200,"POR@CHA 12/16/2017 07:00PM ET",38.12,"CHA","POR",0,36.7,33.5
"SF/PF","Kawhi Leonard",7100,"DAL@SA 12/16/2017 08:30PM ET",26.5,"SA","DAL",0,0,0
"SF/PF","Carmelo Anthony",7000,"OKC@NY 12/16/2017 07:30PM ET",31.702,"OKC","NY",0,30.5,21.25
"PG/SG","Tyreke Evans",7000,"BOS@MEM 12/16/2017 09:00PM ET",33.259,"MEM","BOS",0,33.6,41.75
"SG/SF","Khris Middleton",7000,"MIL@HOU 12/16/2017 08:00PM ET",35.683,"MIL","HOU",0,35.2,38
"C","Hassan Whiteside",7000,"LAC@MIA 12/16/2017 08:00PM ET",36.95,"MIA","LAC",0,0,0
"PG/SG","Donovan Mitchell",6900,"UTA@CLE 12/16/2017 07:30PM ET",30.357,"UTA","CLE",0,35.2,31.5
"PG/SG","Eric Bledsoe",6900,"MIL@HOU 12/16/2017 08:00PM ET",32.947,"MIL","HOU",0,34.9,27.25
"PF/C","Enes Kanter",6800,"OKC@NY 12/16/2017 07:30PM ET",30.21,"NY","OKC",0,0,0
"PG/SG","CJ McCollum",6800,"POR@CHA 12/16/2017 07:00PM ET",33.51,"POR","CHA",0,32.8,33
"C","Clint Capela",6700,"MIL@HOU 12/16/2017 08:00PM ET",34.356,"HOU","MIL",0,0,0
"PF/C","Al Horford",6600,"BOS@MEM 12/16/2017 09:00PM ET",35.139,"BOS","MEM",0,32.3,33.75
"C","Rudy Gobert",6500,"UTA@CLE 12/16/2017 07:30PM ET",32.338,"UTA","CLE",0,0,0
"PG","Isaiah Thomas",6500,"UTA@CLE 12/16/2017 07:30PM ET",0,"CLE","UTA",0,0,0
"C","Steven Adams",6500,"OKC@NY 12/16/2017 07:30PM ET",30.323,"OKC","NY",0,0,0
"PG","Jeff Teague",6500,"PHO@MIN 12/16/2017 08:00PM ET",31.09,"MIN","PHO",0,31.8,38.75
"SF/PF","Harrison Barnes",6500,"DAL@SA 12/16/2017 08:30PM ET",32.207,"DAL","SA",0,30.5,21.25
"C","Jusuf Nurkic",6400,"POR@CHA 12/16/2017 07:00PM ET",30.729,"POR","CHA",0,27.8,21.25
"SF/PF","TJ Warren",6400,"PHO@MIN 12/16/2017 08:00PM ET",30.15,"PHO","MIN",0,34.3,25.75
"SG/SF","Tim Hardaway",6300,"OKC@NY 12/16/2017 07:30PM ET",31.238,"NY","OKC",0,0,0
"PG","Mike Conley",6300,"BOS@MEM 12/16/2017 09:00PM ET",28.771,"MEM","BOS",0,0,0
"PG","Goran Dragic",6200,"LAC@MIA 12/16/2017 08:00PM ET",30.38,"MIA","LAC",0,28.4,19.5
"PF/C","Taj Gibson",6200,"PHO@MIN 12/16/2017 08:00PM ET",26.75,"MIN","PHO",0,27.8,37.5
