"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,959977839,"Flotastic (16/20)",0,339,"SF Giannis Antetokounmpo C Karl-Anthony Towns SG Chris Paul PG Milos Teodosic F Josh Richardson G Dejounte Murray PF Michael Beasley UTIL Ekpe Udoh",NA,"Chris Paul","G","44.87%",40.75
2,960216248,"samwisebu",0,335.5,"SF LeBron James C LaMarcus Aldridge PG Donovan Mitchell G CJ McCollum SG Milos Teodosic PF Alex Len F Michael Beasley UTIL Ekpe Udoh",NA,"Jonas Jerebko","SF","40.83%",13.75
3,960195272,"dean7434",0,329,"PG James Harden C Karl-Anthony Towns SG Chris Paul G Milos Teodosic UTIL Alex Len F Bam Adebayo SF Michael Beasley PF Ekpe Udoh",NA,"Giannis Antetokounmpo","PF","33.59%",53.25
4,959754449,"j4k3b (7/20)",0,322.75,"PF Giannis Antetokounmpo SG Chris Paul UTIL Marc Gasol PG Jeff Teague C Taj Gibson SF Michael Beasley G Jawun Evans F Ekpe Udoh",NA,"Michael Beasley","F","33.59%",46.25
5,960217953,"webdever (9/20)",0,321.5,"UTIL Karl-Anthony Towns PG Chris Paul PF LaMarcus Aldridge C DeAndre Jordan G Milos Teodosic SG Wesley Matthews SF Michael Beasley F Ekpe Udoh",NA,"Donovan Mitchell","SG","32.90%",31.5
6,960259725,"KearnDaddy (4/4)",0,319,"C Karl-Anthony Towns PG Chris Paul UTIL Marc Gasol PF Enes Kanter SG Courtney Lee G Milos Teodosic SF Michael Beasley F Ekpe Udoh",NA,"Ekpe Udoh","F","30.08%",40.25
7,959847713,"WCHPrime (1/20)",0,318.75,"PG James Harden SF Giannis Antetokounmpo F LaMarcus Aldridge SG Josh Richardson G Dejounte Murray UTIL Michael Beasley PF Jonas Jerebko C Ekpe Udoh",NA,"DeAndre Jordan","C","23.80%",43.5
8,959754450,"j4k3b (8/20)",0,318.5,"C Karl-Anthony Towns UTIL Damian Lillard SG Chris Paul PG Jeff Teague SF Nicolas Batum F Michael Beasley G Jawun Evans PF Ekpe Udoh",NA,"Karl-Anthony Towns","C","22.13%",56.75
8,960093964,"meekstradamus",0,318.5,"PF Giannis Antetokounmpo C Karl-Anthony Towns PG Chris Paul F Trevor Ariza SG Milos Teodosic G Dejounte Murray SF Michael Beasley UTIL Ekpe Udoh",NA,"Khris Middleton","SF","21.60%",38
10,959977842,"Flotastic (19/20)",0,316,"PG Russell Westbrook C Karl-Anthony Towns G Damian Lillard UTIL Ricky Rubio SG Josh Richardson SF Michael Beasley PF Ekpe Udoh F Jamil Wilson",NA,"James Johnson","UTIL","21.22%",7.75
11,960215794,"Juber16 (1/3)",0,315.5,"C Karl-Anthony Towns SG Chris Paul UTIL Kyrie Irving SF Paul George PG Yogi Ferrell G Tyler Johnson F Michael Beasley PF Ekpe Udoh",NA,"Jimmy Butler","SG","17.84%",26
12,960145906,"Steve2197",0,315,"C Karl-Anthony Towns PG Chris Paul UTIL DeAndre Jordan SG Khris Middleton F Al Horford SF Michael Beasley G Wayne Ellington PF Ekpe Udoh",NA,"T.J. Warren","SF","16.86%",25.75
12,960189008,"Big-mike75 (3/3)",0,315,"UTIL LeBron James C Karl-Anthony Towns PF Enes Kanter SG Courtney Lee PG Milos Teodosic G Dejounte Murray SF Michael Beasley F Ekpe Udoh",NA,"Russell Westbrook","PG","16.30%",46.25
14,959524296,"jpennino15",0,314.75,"PF Giannis Antetokounmpo PG Chris Paul UTIL DeAndre Jordan SF Khris Middleton SG Trevor Ariza G Dejounte Murray F Michael Beasley C Ekpe Udoh",NA,"Dejounte Murray","G","15.85%",28.5
14,960111261,"MrTile (17/20)",0,314.75,"SF Giannis Antetokounmpo G Chris Paul C DeAndre Jordan PG Jeff Teague PF Kelly Olynyk SG Eric Gordon UTIL Michael Beasley F Ekpe Udoh",NA,"Lou Williams","PG","15.37%",21.75
16,959076011,"sotnohc",0,313.75,"UTIL Karl-Anthony Towns PG Chris Paul PF LaMarcus Aldridge SF Khris Middleton SG Rodney Hood G Dejounte Murray F Michael Beasley C Ekpe Udoh",NA,"Ricky Rubio","PG","15.14%",18.5
16,959863954,"Dave_Finkle",0,313.75,"PF Giannis Antetokounmpo C Karl-Anthony Towns PG Chris Paul G Courtney Lee SG Milos Teodosic SF Michael Beasley UTIL Jonas Jerebko F Ekpe Udoh",NA,"Milos Teodosic","G","14.58%",28.5
16,960156436,"rvmpj10",0,313.75,"SF LeBron James F Giannis Antetokounmpo SG Donovan Mitchell G Nicolas Batum PG Dejounte Murray UTIL Michael Beasley PF Jonas Jerebko C Ekpe Udoh",NA,"Ryan Anderson","C","14.48%",12.5
19,959204450,"Sdotbrown24 (16/20)",0,313.25,"UTIL Giannis Antetokounmpo PG Kyrie Irving C Marc Gasol SG Tyreke Evans PF Al Horford SF Michael Beasley G Jawun Evans F Ekpe Udoh",NA,"Enes Kanter","C","14.03%",18.25
20,959668597,"Haj24",0,312.5,"SF Giannis Antetokounmpo SG Chris Paul C DeAndre Jordan G Donovan Mitchell UTIL Milos Teodosic PG Dejounte Murray F Michael Beasley PF Ekpe Udoh",NA,"Jawun Evans","PG","13.70%",12
20,959883209,"tarhokie3 (2/5)",0,312.5,"SF Giannis Antetokounmpo SG Chris Paul C DeAndre Jordan G Donovan Mitchell UTIL Milos Teodosic PG Dejounte Murray F Michael Beasley PF Ekpe Udoh",NA,"LeBron James","PF","11.78%",62.25
20,960177357,"mhacker1",0,312.5,"SF Giannis Antetokounmpo SG Chris Paul C DeAndre Jordan G Donovan Mitchell UTIL Milos Teodosic PG Dejounte Murray F Michael Beasley PF Ekpe Udoh",NA,"Rodney Hood","SG","11.48%",19.75
20,960205654,"tarhokie3 (4/5)",0,312.5,"SF Giannis Antetokounmpo SG Chris Paul C DeAndre Jordan G Donovan Mitchell UTIL Milos Teodosic PG Dejounte Murray F Michael Beasley PF Ekpe Udoh",NA,"Andrew Wiggins","SF","11.41%",23.25
20,960228806,"DaYungGun (2/2)",0,312.5,"SF Giannis Antetokounmpo SG Chris Paul C DeAndre Jordan G Donovan Mitchell UTIL Milos Teodosic PG Dejounte Murray F Michael Beasley PF Ekpe Udoh",NA,"Eric Gordon","UTIL","10.93%",18.75
25,959977841,"Flotastic (18/20)",0,312,"SF Giannis Antetokounmpo C Karl-Anthony Towns PG Lou Williams G Donovan Mitchell SG Josh Richardson F Michael Beasley PF Ekpe Udoh UTIL Jamil Wilson",NA,"Kyrie Irving","PG","9.99%",32
26,959337076,"onebucksfan",0,311.75,"SF Giannis Antetokounmpo PF LaMarcus Aldridge C DeAndre Jordan G Khris Middleton PG Ricky Rubio SG Milos Teodosic F Michael Beasley UTIL Ekpe Udoh",NA,"Kevin Love","PF","9.94%",27.25
26,959375697,"snakevandelay (4/5)",0,311.75,"F Giannis Antetokounmpo PG Chris Paul G Khris Middleton UTIL Donovan Mitchell PF Kelly Olynyk SG Milos Teodosic SF Michael Beasley C Ekpe Udoh",NA,"LaMarcus Aldridge","F","9.84%",43.5
26,959394318,"cklein0201 (4/20)",0,311.75,"F Giannis Antetokounmpo SG Chris Paul SF Khris Middleton PG Donovan Mitchell UTIL Kelly Olynyk G Milos Teodosic PF Michael Beasley C Ekpe Udoh",NA,"Kelly Olynyk","F","8.45%",33.25
