"","2017-11-27","2017-11-28","2017-11-29","2017-11-30","2017-12-01","2017-12-02","2017-12-04","2017-12-05","2017-12-06","2017-12-12","2017-12-13","2017-12-14"
"LeBron James_CLE",NA,58,NA,59,NA,55.5,44.75,NA,69.75,64.75,NA,68.5
"Russell Westbrook_OKC",NA,NA,69.75,NA,49.25,NA,NA,77.25,NA,NA,55.75,NA
"James Harden_HOU",NA,NA,59,NA,NA,NA,NA,NA,NA,NA,42,NA
"Giannis Antetokounmpo_MIL",NA,57.25,NA,50.75,NA,65.25,55.25,NA,49,NA,60.75,NA
"Karl-Anthony Towns_MIN",NA,43.75,27,NA,39.75,NA,27.75,NA,53.5,57,NA,69.5
"Damian Lillard_POR",NA,NA,NA,35.75,NA,50.75,NA,53,NA,NA,30.75,NA
"Kristaps Porzingis_NY",NA,NA,0,NA,NA,NA,0,NA,0,0,NA,0
"Jimmy Butler_MIN",NA,45.25,30,NA,45.25,NA,48,NA,40.5,53,NA,51.25
"Chris Paul_HOU",NA,NA,31,NA,NA,NA,NA,NA,NA,NA,62.75,NA
"LaMarcus Aldridge_SA",NA,NA,53,NA,32,NA,37.5,NA,24.5,42.25,NA,NA
"Kevin Love_CLE",NA,56.75,NA,49,NA,39.25,45.25,NA,38.75,37.5,NA,54.75
"Kyrie Irving_BOS",NA,NA,NA,47,NA,30,42,NA,35.5,NA,51.25,NA
"Devin Booker_PHO",NA,54,26.5,NA,NA,50.5,64.5,43.25,NA,0,0,NA
"Dwight Howard_CHA",NA,NA,42,NA,18.75,NA,24.25,NA,26.75,NA,55.5,NA
"Lou Williams_LAC",0,NA,NA,0,NA,0,NA,NA,0,NA,0,NA
"Paul George_OKC",NA,NA,37.75,NA,62,NA,NA,28.25,NA,NA,27,NA
"Marc Gasol_MEM",NA,NA,27,NA,45.25,49.5,38.75,NA,34.5,NA,32,NA
"Blake Griffin_LAC",50.25,NA,NA,0,NA,0,NA,NA,0,NA,0,NA
"DeAndre Jordan_LAC",19.75,NA,NA,31,NA,40.25,NA,NA,47.25,NA,54.5,NA
"Kemba Walker_CHA",NA,NA,0,NA,0,NA,50.5,NA,44,NA,27.75,NA
"Kawhi Leonard_SA",NA,NA,0,NA,0,NA,0,NA,0,26.5,NA,NA
"Carmelo Anthony_OKC",NA,NA,30.75,NA,18,NA,NA,31.5,NA,NA,24.75,NA
"Tyreke Evans_MEM",NA,NA,32.75,NA,14.25,63.25,43.25,NA,22.25,NA,0,NA
