"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,959128333,"mrcse13 (13/20)",0,298.25,"UTIL Al Horford C Marc Gasol PG Kyrie Irving SF Marcus Smart F Jayson Tatum PF LaMarcus Aldridge SG Yogi Ferrell G Dejounte Murray",NA,"Kyrie Irving","PG","94.37%",32
1,959410788,"zachdaddy (7/10)",0,298.25,"PF Al Horford C Marc Gasol PG Kyrie Irving SF Marcus Smart UTIL Jayson Tatum F LaMarcus Aldridge SG Yogi Ferrell G Dejounte Murray",NA,"LaMarcus Aldridge","PF","85.79%",43.5
1,960221379,"mr.OHIO (4/10)",0,298.25,"F Al Horford C Marc Gasol PG Kyrie Irving SF Jayson Tatum PF LaMarcus Aldridge SG Wesley Matthews UTIL Yogi Ferrell G Dejounte Murray",NA,"Marc Gasol","C","75.78%",54
4,960194928,"Vayp (1/10)",0,291.75,"PF Al Horford C Marc Gasol F JaMychal Green G Kyrie Irving SF Jayson Tatum UTIL LaMarcus Aldridge SG Yogi Ferrell PG Dejounte Murray",NA,"Al Horford","C","72.92%",33.75
4,960194929,"Vayp (2/10)",0,291.75,"PF Al Horford C Marc Gasol F JaMychal Green G Kyrie Irving SF Jayson Tatum UTIL LaMarcus Aldridge SG Yogi Ferrell PG Dejounte Murray",NA,"Harrison Barnes","F","61.90%",21.25
4,960194930,"Vayp (3/10)",0,291.75,"PF Al Horford C Marc Gasol F JaMychal Green G Kyrie Irving SF Jayson Tatum UTIL LaMarcus Aldridge SG Yogi Ferrell PG Dejounte Murray",NA,"Rudy Gay","SF","49.54%",16.5
4,960194931,"Vayp (4/10)",0,291.75,"PF Al Horford C Marc Gasol F JaMychal Green G Kyrie Irving SF Jayson Tatum UTIL LaMarcus Aldridge SG Yogi Ferrell PG Dejounte Murray",NA,"J.J. Barea","SG","45.08%",23.5
4,960194932,"Vayp (5/10)",0,291.75,"PF Al Horford C Marc Gasol F JaMychal Green G Kyrie Irving SF Jayson Tatum UTIL LaMarcus Aldridge SG Yogi Ferrell PG Dejounte Murray",NA,"Jaylen Brown","SF","33.64%",21.25
4,960194933,"Vayp (6/10)",0,291.75,"PF Al Horford C Marc Gasol F JaMychal Green G Kyrie Irving SF Jayson Tatum UTIL LaMarcus Aldridge SG Yogi Ferrell PG Dejounte Murray",NA,"Dejounte Murray","PG","33.14%",28.5
4,960194934,"Vayp (7/10)",0,291.75,"PF Al Horford C Marc Gasol F JaMychal Green G Kyrie Irving SF Jayson Tatum UTIL LaMarcus Aldridge SG Yogi Ferrell PG Dejounte Murray",NA,"JaMychal Green","UTIL","31.03%",15.5
4,960194935,"Vayp (8/10)",0,291.75,"PF Al Horford C Marc Gasol F JaMychal Green G Kyrie Irving SF Jayson Tatum UTIL LaMarcus Aldridge SG Yogi Ferrell PG Dejounte Murray",NA,"Wesley Matthews","UTIL","30.53%",22
4,960194936,"Vayp (9/10)",0,291.75,"PF Al Horford C Marc Gasol F JaMychal Green G Kyrie Irving SF Jayson Tatum UTIL LaMarcus Aldridge SG Yogi Ferrell PG Dejounte Murray",NA,"Marcus Smart","SG","26.24%",22
4,960194937,"Vayp (10/10)",0,291.75,"PF Al Horford C Marc Gasol F JaMychal Green G Kyrie Irving SF Jayson Tatum UTIL LaMarcus Aldridge SG Yogi Ferrell PG Dejounte Murray",NA,"Tyreke Evans","SG","21.95%",41.75
14,959911793,"MisterJ5 (3/20)",0,287.75,"UTIL Al Horford C Marc Gasol SG Tyreke Evans G Kyrie Irving SF Marcus Smart F LaMarcus Aldridge PG Dejounte Murray PF Maxi Kleber",NA,"Andrew Harrison","UTIL","21.70%",9
14,960150184,"tylerw9621 (6/10)",0,287.75,"UTIL Al Horford C Marc Gasol SG Tyreke Evans PG Kyrie Irving SF Marcus Smart PF LaMarcus Aldridge G Dejounte Murray F Maxi Kleber",NA,"Pau Gasol","F","16.74%",2.75
16,959411790,"QuietSauce (3/3)",0,285.25,"PF Al Horford UTIL Tyreke Evans PG Kyrie Irving SF Jaylen Brown F Jayson Tatum C LaMarcus Aldridge SG Yogi Ferrell G Dejounte Murray",NA,"Jayson Tatum","UTIL","16.40%",40.75
16,959439853,"patgorman25",0,285.25,"PF Al Horford UTIL Marc Gasol F JaMychal Green G Kyrie Irving SG Marcus Smart SF Jayson Tatum C LaMarcus Aldridge PG Yogi Ferrell",NA,"Yogi Ferrell","G","15.98%",43.75
18,959270534,"cjohnston2323",0,283.75,"PF Al Horford UTIL Marc Gasol SG Tyreke Evans G Kyrie Irving C Deyonta Davis SF Jayson Tatum F LaMarcus Aldridge PG Dejounte Murray",NA,"Mario Chalmers","PG","15.39%",11
19,958993445,"ShakeNBake75",0,280.75,"C Marc Gasol PG Kyrie Irving F Jaylen Brown SF Jayson Tatum SG J.J. Barea PF LaMarcus Aldridge UTIL Wesley Matthews G Yogi Ferrell",NA,"Dirk Nowitzki","UTIL","14.21%",27.5
20,958882598,"advan24r",0,280,"F Al Horford C Marc Gasol PG Kyrie Irving UTIL Dirk Nowitzki SG J.J. Barea PF LaMarcus Aldridge SF Wesley Matthews G Yogi Ferrell",NA,"Patty Mills","G","6.64%",13
20,959784650,"barb8",0,280,"F Al Horford UTIL Mario Chalmers C Marc Gasol G Kyrie Irving SG Jaylen Brown SF Jayson Tatum PF LaMarcus Aldridge PG Yogi Ferrell",NA,"Devin Harris","G","6.48%",4.75
22,960073616,"Spinzip",0,279.5,"C Al Horford UTIL Marc Gasol G Kyrie Irving F Dirk Nowitzki SF Rudy Gay PF LaMarcus Aldridge SG Yogi Ferrell PG Dejounte Murray",NA,"Bryn Forbes","PG","5.89%",14
23,959913867,"AGMoney23 (15/20)",0,278.75,"F Al Horford C Marc Gasol PG Kyrie Irving G Marcus Smart SF Jaylen Brown PF LaMarcus Aldridge SG Yogi Ferrell UTIL Dejounte Murray",NA,"Dwight Powell","F","3.20%",13.25
24,960142774,"braddog88 (18/20)",0,277.5,"PF Al Horford C Marc Gasol G Kyrie Irving SF Jayson Tatum SG J.J. Barea F Harrison Barnes UTIL Yogi Ferrell PG Dejounte Murray",NA,"Danny Green","UTIL","3.03%",0
25,959747129,"DrNickIsIn (14/20)",0,277,"PF Al Horford C Marc Gasol SG Tyreke Evans PG Kyrie Irving F Marcus Smart SF Harrison Barnes G Yogi Ferrell UTIL Dejounte Murray",NA,"Manu Ginobili","F","1.93%",24.75
26,959998929,"Slizo",0,276.25,"UTIL Al Horford C Marc Gasol SG Tyreke Evans PG Kyrie Irving SF Jayson Tatum G Devin Harris PF LaMarcus Aldridge F Davis Bertans",NA,"Terry Rozier","G","1.35%",21
26,960112084,"AmpStar88",0,276.25,"F Al Horford C Marc Gasol SF JaMychal Green G Kyrie Irving UTIL Jayson Tatum PF LaMarcus Aldridge PG Patty Mills SG Yogi Ferrell",NA,"Maxi Kleber","PF","1.35%",32.25
28,959545707,"jbiv (10/20)",0,275.5,"F Al Horford C Marc Gasol UTIL JaMychal Green SG Tyreke Evans G Marcus Smart PF LaMarcus Aldridge SF Harrison Barnes PG Yogi Ferrell",NA,"James Ennis III","UTIL","1.18%",2.5
29,959323672,"jgotgame",0,275.25,"PF Al Horford C Marc Gasol SG Tyreke Evans PG Kyrie Irving G Marcus Smart SF Jayson Tatum F Dirk Nowitzki UTIL J.J. Barea",NA,"Dillon Brooks","G","1.01%",18.75
29,959396387,"Lilbake22",0,275.25,"PF Al Horford C Marc Gasol SG Tyreke Evans PG Kyrie Irving G Marcus Smart SF Jayson Tatum F Dirk Nowitzki UTIL J.J. Barea",NA,"Aron Baynes","C","0.93%",20
31,959410772,"zachdaddy (5/10)",0,274.5,"PF Al Horford C Marc Gasol SF JaMychal Green PG Kyrie Irving G J.J. Barea F LaMarcus Aldridge SG Yogi Ferrell UTIL Dejounte Murray",NA,"Davis Bertans","UTIL","0.93%",25.75
32,959449169,"BertWins7",0,274,"F Al Horford C Marc Gasol G Kyrie Irving SF Rudy Gay PF LaMarcus Aldridge SG Wesley Matthews PG Yogi Ferrell UTIL Dejounte Murray",NA,"Kawhi Leonard","SF","0.84%",0
33,959176037,"HoustonTexans2017 (1/3)",0,273.75,"C Marc Gasol SF JaMychal Green G Tyreke Evans PG Kyrie Irving SG Jaylen Brown PF LaMarcus Aldridge F Wesley Matthews UTIL Yogi Ferrell",NA,"Ben McLemore","SG","0.67%",2
33,959180842,"HoustonTexans2017 (2/3)",0,273.75,"C Marc Gasol SF JaMychal Green G Tyreke Evans PG Kyrie Irving SG Jaylen Brown PF LaMarcus Aldridge F Wesley Matthews UTIL Yogi Ferrell",NA,"Brandon Paul","SG","0.59%",4.25
33,959180857,"HoustonTexans2017 (3/3)",0,273.75,"C Marc Gasol SF JaMychal Green G Tyreke Evans PG Kyrie Irving SG Jaylen Brown PF LaMarcus Aldridge F Wesley Matthews UTIL Yogi Ferrell",NA,"Shane Larkin","UTIL","0.42%",3.5
36,959395574,"QuietSauce (1/3)",0,272.75,"C Marc Gasol UTIL Kyrie Irving PF Jayson Tatum PG J.J. Barea F LaMarcus Aldridge SF Harrison Barnes G Yogi Ferrell SG Bryn Forbes",NA,"Chandler Parsons","UTIL","0.42%",0
37,959373680,"nhl2005 (18/20)",0,272.25,"F Al Horford C Marc Gasol SG Tyreke Evans G Marcus Smart UTIL Dirk Nowitzki PF LaMarcus Aldridge SF Harrison Barnes PG Dejounte Murray",NA,"Deyonta Davis","C","0.42%",9.5
37,959525100,"Nycsourdiesel",0,272.25,"UTIL Al Horford C Marc Gasol F JaMychal Green SG Tyreke Evans PG J.J. Barea SF Rudy Gay PF LaMarcus Aldridge G Yogi Ferrell",NA,"Salah Mejri","UTIL","0.17%",7.75
39,959035179,"thewickedestslam",0,272,"PF Al Horford C Marc Gasol PG Kyrie Irving SG Jaylen Brown SF Jayson Tatum F Manu Ginobili UTIL LaMarcus Aldridge G Wesley Matthews",NA,"Joffrey Lauvergne","F","0.17%",10.5
40,960079276,"playmaker86 (10/11)",0,271.25,"C Marc Gasol G Tyreke Evans SG Jaylen Brown SF Jayson Tatum F Pau Gasol PG J.J. Barea PF LaMarcus Aldridge UTIL Yogi Ferrell",NA,"Jarell Martin","UTIL","0.08%",23
41,959128334,"mrcse13 (14/20)",0,270.75,"F Al Horford C Marc Gasol PG Kyrie Irving PF LaMarcus Aldridge SF Harrison Barnes SG Yogi Ferrell G Bryn Forbes UTIL Dejounte Murray",NA,"","","",NA
42,959373671,"nhl2005 (9/20)",0,270.5,"C Marc Gasol SG Tyreke Evans PG Kyrie Irving UTIL Marcus Smart SF Jaylen Brown F Dirk Nowitzki PF LaMarcus Aldridge G Dejounte Murray",NA,"","","",NA
43,959373677,"nhl2005 (15/20)",0,270,"F Al Horford C Marc Gasol UTIL JaMychal Green PG Kyrie Irving SG Marcus Smart SF Jayson Tatum PF LaMarcus Aldridge G Dejounte Murray",NA,"","","",NA
43,960104947,"Miller421 (11/20)",0,270,"UTIL Al Horford C Marc Gasol SF JaMychal Green G Kyrie Irving SG Marcus Smart F Jayson Tatum PF LaMarcus Aldridge PG Dejounte Murray",NA,"","","",NA
45,959744340,"817ricky82 (2/3)",0,269.75,"C Marc Gasol SG Tyreke Evans PG Kyrie Irving F Jaylen Brown SF Rudy Gay UTIL LaMarcus Aldridge G Dejounte Murray PF Maxi Kleber",NA,"","","",NA
46,959208815,"ShoeLB50",0,269.5,"PF Al Horford C Marc Gasol SG Tyreke Evans PG Kyrie Irving F LaMarcus Aldridge SF Wesley Matthews UTIL Bryn Forbes G Dejounte Murray",NA,"","","",NA
47,959350708,"FordP8906 (1/2)",0,269,"C Al Horford UTIL Marc Gasol G Kyrie Irving SG Marcus Smart PG Terry Rozier PF Jayson Tatum F LaMarcus Aldridge SF Wesley Matthews",NA,"","","",NA
