"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,959914702,"jstuck52",0,293.25,"C Marc Gasol SF JaMychal Green G Tyreke Evans UTIL Kyrie Irving F Jayson Tatum PF LaMarcus Aldridge SG Wesley Matthews PG Yogi Ferrell",NA,"Kyrie Irving","PG","95.21%",32
2,960194923,"Vayp (1/5)",0,291.75,"PF Al Horford C Marc Gasol F JaMychal Green G Kyrie Irving SF Jayson Tatum UTIL LaMarcus Aldridge SG Yogi Ferrell PG Dejounte Murray",NA,"LaMarcus Aldridge","PF","87.89%",43.5
2,960194924,"Vayp (2/5)",0,291.75,"PF Al Horford C Marc Gasol F JaMychal Green G Kyrie Irving SF Jayson Tatum UTIL LaMarcus Aldridge SG Yogi Ferrell PG Dejounte Murray",NA,"Al Horford","C","72.92%",33.75
2,960194925,"Vayp (3/5)",0,291.75,"PF Al Horford C Marc Gasol F JaMychal Green G Kyrie Irving SF Jayson Tatum UTIL LaMarcus Aldridge SG Yogi Ferrell PG Dejounte Murray",NA,"Marc Gasol","C","71.66%",54
2,960194926,"Vayp (4/5)",0,291.75,"PF Al Horford C Marc Gasol F JaMychal Green G Kyrie Irving SF Jayson Tatum UTIL LaMarcus Aldridge SG Yogi Ferrell PG Dejounte Murray",NA,"Harrison Barnes","SF","62.15%",21.25
2,960194927,"Vayp (5/5)",0,291.75,"PF Al Horford C Marc Gasol F JaMychal Green G Kyrie Irving SF Jayson Tatum UTIL LaMarcus Aldridge SG Yogi Ferrell PG Dejounte Murray",NA,"Rudy Gay","SF","54.67%",16.5
7,959751788,"DrNickIsIn (10/20)",0,287.75,"PF Al Horford C Marc Gasol SG Tyreke Evans PG Kyrie Irving SF Marcus Smart F LaMarcus Aldridge G Dejounte Murray UTIL Maxi Kleber",NA,"J.J. Barea","SG","42.72%",23.5
8,959911779,"MisterJ5 (9/20)",0,285.25,"F Al Horford C Marc Gasol G Tyreke Evans SG J.J. Barea SF Rudy Gay PF LaMarcus Aldridge UTIL Yogi Ferrell PG Dejounte Murray",NA,"Jaylen Brown","F","35.74%",21.25
9,960315026,"shyne220",0,284.25,"F Al Horford C Marc Gasol PG Kyrie Irving SF Jaylen Brown UTIL Dirk Nowitzki PF LaMarcus Aldridge SG Yogi Ferrell G Dejounte Murray",NA,"Dejounte Murray","PG","34.82%",28.5
10,959373639,"nhl2005 (6/10)",0,281.25,"UTIL Al Horford C Marc Gasol SF JaMychal Green SG Tyreke Evans PG Kyrie Irving F LaMarcus Aldridge G Dejounte Murray PF Maxi Kleber",NA,"JaMychal Green","UTIL","30.11%",15.5
10,959751793,"DrNickIsIn (15/20)",0,281.25,"F Al Horford C Marc Gasol SF JaMychal Green SG Tyreke Evans PG Kyrie Irving PF LaMarcus Aldridge G Dejounte Murray UTIL Maxi Kleber",NA,"Wesley Matthews","G","28.85%",22
10,960293972,"Thill94",0,281.25,"C Marc Gasol G Kyrie Irving SG Jaylen Brown PF Jayson Tatum UTIL Manu Ginobili F LaMarcus Aldridge SF Harrison Barnes PG Yogi Ferrell",NA,"Marcus Smart","SG","23.89%",22
13,959420040,"santiago25",0,281,"F Al Horford C Marc Gasol PG Kyrie Irving SF Marcus Smart SG J.J. Barea PF LaMarcus Aldridge G Yogi Ferrell UTIL Dejounte Murray",NA,"Andrew Harrison","SG","22.37%",9
14,959961839,"Krame1992",0,280.5,"PF Al Horford C Marc Gasol G Kyrie Irving F Dirk Nowitzki SG Manu Ginobili UTIL LaMarcus Aldridge SF Harrison Barnes PG Yogi Ferrell",NA,"Jayson Tatum","UTIL","17.58%",40.75
15,959748191,"deemills",0,280.25,"C Marc Gasol PG Kyrie Irving UTIL Jaylen Brown SF Jayson Tatum F Rudy Gay PF LaMarcus Aldridge SG Yogi Ferrell G Dejounte Murray",NA,"Yogi Ferrell","UTIL","16.99%",43.75
