"LaMarcus Aldridge_SA","Kyrie Irving_BOS","Marc Gasol_MEM","Kawhi Leonard_SA","Tyreke Evans_MEM","Al Horford_BOS","Harrison Barnes_DAL","Mike Conley_MEM","Rudy Gay_SA","Jayson Tatum_BOS","JJ Barea_DAL","Jaylen Brown_BOS","Pau Gasol_SA","Kyle Anderson_SA","Marcus Smart_BOS","Danny Green_SA","Dennis Smith_DAL","Yogi Ferrell_DAL","Wesley Matthews_DAL","Marcus Morris_BOS","Dirk Nowitzki_DAL","JaMychal Green_MEM","Patty Mills_SA","Terry Rozier_BOS","Andrew Harrison_MEM","Tony Parker_SA","Dejounte Murray_SA","Aron Baynes_BOS","Manu Ginobili_SA","Seth Curry_DAL","Mario Chalmers_MEM","Chandler Parsons_MEM","Brandon Paul_SA","Bryn Forbes_SA","Davis Bertans_SA","Dillon Brooks_MEM","Dwight Powell_DAL","Devin Harris_DAL","Maxi Kleber_DAL","Daniel Theis_BOS","James Ennis III_MEM","Ben McLemore_MEM","Shane Larkin_BOS","Semi Ojeleye_BOS","Jarell Martin_MEM","Brandan Wright_MEM","Gordon Hayward_BOS","Abdel Nader_BOS","Jabari Bird_BOS","Vince Hunter_MEM","Wayne Selden_MEM","Kadeem Allen_BOS","Ivan Rabb_MEM","Deyonta Davis_MEM","Guerschon Yabusele_BOS","Kobi Simmons_MEM","Josh McRoberts_DAL","Jeff Withey_DAL","Salah Mejri_DAL","Darrun Hilliard_SA","Dorian Finney-Smith_DAL","Nerlens Noel_DAL","Matt Costello_SA","Joffrey Lauvergne_SA","Johnathan Motley_DAL","Antonius Cleveland_DAL","Derrick White_SA"
115.3625,0,0,29.15,0,0,0,0,-44.671875,0,0,0,-34.509375,79.03125,0,-47.59375,0,0,0,0,0,0,0,0,0,-23.4875,5.915625,0,-55.884375,0,0,0,-14.7375,-53.740625,-58.1125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.171875,0,0,0
0,73.3,0,0,0,-113.25625,0,0,0,-35.4625,0,41.99375,0,0,1.121875,0,0,0,0,-29.190625,0,0,0,-3.8125,0,0,0,39.2875,0,0,0,0,0,0,0,0,0,0,0,-1.54375,0,0,38.99375,-0.578125,0,0,0,-10.59375,0,0,0,0,0,0,-14.83125,0,0,0,0,0,0,0,0,0,0,0,0
0,0,70.8916666666667,0,90.8583333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.4583333333333,0,0,-30.1833333333333,0,0,0,0,0,12.7833333333333,-16.275,0,0,0,7.02916666666667,0,0,0,0,0,14.2625,0,0,5.85833333333333,2.96666666666667,0,0,0,0,0,0,0,13.1375,0,0,0,0,0,0,0,0,0,0,0,0,0
29.15,0,0,140.45,0,0,0,0,31.46875,0,0,0,-69.23125,-49.6875,0,-59.625,0,0,0,0,0,0,0,0,0,-5.9625,-13.58125,0,-49.35625,0,0,0,-9.275,-0.33125,-49.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.53125,0,0,0
0,0,90.8583333333333,0,498.760416666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.3270833333333,0,0,-73.3854166666667,0,0,0,0,0,-40.3833333333333,-190.7875,0,0,0,68.1208333333333,0,0,0,0,0,-9.11875,0,0,71.2104166666667,-6.01666666666667,0,0,0,0,0,0,0,-37.7375,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-113.25625,0,0,0,411.79375,0,0,0,47.14375,0,-262.253125,0,0,-81.0875,0,0,0,0,118.88125,0,0,0,13.984375,0,0,0,-120.653125,0,0,0,0,0,0,0,0,0,0,0,39.915625,0,0,-166.26875,-42.53125,0,0,0,27.75,0,0,0,0,0,0,38.85,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,41.7166666666667,0,0,0,0,0,0,0,0,0,24.3083333333333,3.8125,-0.945833333333333,0,-17.1666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.6166666666667,-4.77916666666667,17.1416666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.0666666666667,4.95,0,0,0,0,0,-4.83333333333333,-14.9791666666667,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-44.671875,0,0,31.46875,0,0,0,0,50.125,0,0,0,20.0625,-79.78125,0,25.671875,0,0,0,0,0,0,0,0,0,8.234375,-6.1875,0,1.5,0,0,0,3.90625,3.578125,42.328125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78125,0,0,0
0,-35.4625,0,0,0,47.14375,0,0,0,20.575,0,-26.73125,0,0,-10.975,0,0,0,0,-3.25625,0,0,0,8.96875,0,0,0,-20.70625,0,0,0,0,0,0,0,0,0,0,0,12.475,0,0,2.2375,1.375,0,0,0,9.75,0,0,0,0,0,0,13.65,0,0,0,0,0,0,0,0,0,0,0,0
