"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SF/PF","LeBron James",11600,"UTA@CLE 12/16/2017 07:30PM ET",57.793,"CLE"
"PG","Russell Westbrook",11500,"OKC@NY 12/16/2017 07:30PM ET",53.769,"OKC"
"PG/SG","James Harden",11100,"MIL@HOU 12/16/2017 08:00PM ET",57.471,"HOU"
"SF/PF","Giannis Antetokounmpo",10800,"MIL@HOU 12/16/2017 08:00PM ET",55.87,"MIL"
"C","Karl-Anthony Towns",9600,"PHO@MIN 12/16/2017 08:00PM ET",43.233,"MIN"
"PG","Damian Lillard",9100,"POR@CHA 12/16/2017 07:00PM ET",44.769,"POR"
"PF/C","Kristaps Porzingis",9000,"OKC@NY 12/16/2017 07:30PM ET",41.031,"NY"
"SG","Jimmy Butler",9000,"PHO@MIN 12/16/2017 08:00PM ET",38.259,"MIN"
"PG/SG","Chris Paul",8600,"MIL@HOU 12/16/2017 08:00PM ET",42.625,"HOU"
"PF/C","LaMarcus Aldridge",8000,"DAL@SA 12/16/2017 08:30PM ET",39.741,"SA"
"PF/C","Kevin Love",7900,"UTA@CLE 12/16/2017 07:30PM ET",38.634,"CLE"
"PG","Kyrie Irving",7800,"BOS@MEM 12/16/2017 09:00PM ET",38.616,"BOS"
"SG/SF","Devin Booker",7800,"PHO@MIN 12/16/2017 08:00PM ET",38.3,"PHO"
"C","Dwight Howard",7700,"POR@CHA 12/16/2017 07:00PM ET",36.556,"CHA"
"PG/SG","Lou Williams",7700,"LAC@MIA 12/16/2017 08:00PM ET",32.837,"LAC"
"SF","Paul George",7600,"OKC@NY 12/16/2017 07:30PM ET",38.36,"OKC"
"C","Marc Gasol",7500,"BOS@MEM 12/16/2017 09:00PM ET",39.545,"MEM"
"PF/C","Blake Griffin",7500,"LAC@MIA 12/16/2017 08:00PM ET",43.763,"LAC"
"C","DeAndre Jordan",7300,"LAC@MIA 12/16/2017 08:00PM ET",34.308,"LAC"
"PG","Kemba Walker",7200,"POR@CHA 12/16/2017 07:00PM ET",38.12,"CHA"
"SF/PF","Kawhi Leonard",7100,"DAL@SA 12/16/2017 08:30PM ET",26.5,"SA"
"SF/PF","Carmelo Anthony",7000,"OKC@NY 12/16/2017 07:30PM ET",31.702,"OKC"
"PG/SG","Tyreke Evans",7000,"BOS@MEM 12/16/2017 09:00PM ET",33.259,"MEM"
"SG/SF","Khris Middleton",7000,"MIL@HOU 12/16/2017 08:00PM ET",35.683,"MIL"
"C","Hassan Whiteside",7000,"LAC@MIA 12/16/2017 08:00PM ET",36.95,"MIA"
"PG/SG","Donovan Mitchell",6900,"UTA@CLE 12/16/2017 07:30PM ET",30.357,"UTA"
"PG/SG","Eric Bledsoe",6900,"MIL@HOU 12/16/2017 08:00PM ET",32.947,"MIL"
"PF/C","Enes Kanter",6800,"OKC@NY 12/16/2017 07:30PM ET",30.21,"NY"
"PG/SG","CJ McCollum",6800,"POR@CHA 12/16/2017 07:00PM ET",33.51,"POR"
"C","Clint Capela",6700,"MIL@HOU 12/16/2017 08:00PM ET",34.356,"HOU"
"PF/C","Al Horford",6600,"BOS@MEM 12/16/2017 09:00PM ET",35.139,"BOS"
"C","Rudy Gobert",6500,"UTA@CLE 12/16/2017 07:30PM ET",32.338,"UTA"
"PG","Isaiah Thomas",6500,"UTA@CLE 12/16/2017 07:30PM ET",0,"CLE"
"C","Steven Adams",6500,"OKC@NY 12/16/2017 07:30PM ET",30.323,"OKC"
"PG","Jeff Teague",6500,"PHO@MIN 12/16/2017 08:00PM ET",31.09,"MIN"
"SF/PF","Harrison Barnes",6500,"DAL@SA 12/16/2017 08:30PM ET",32.207,"DAL"
"C","Jusuf Nurkic",6400,"POR@CHA 12/16/2017 07:00PM ET",30.729,"POR"
"SF/PF","T.J. Warren",6400,"PHO@MIN 12/16/2017 08:00PM ET",30.15,"PHO"
"SG/SF","Tim Hardaway Jr.",6300,"OKC@NY 12/16/2017 07:30PM ET",31.238,"NY"
"PG","Mike Conley",6300,"BOS@MEM 12/16/2017 09:00PM ET",28.771,"MEM"
"PG","Goran Dragic",6200,"LAC@MIA 12/16/2017 08:00PM ET",30.38,"MIA"
"PF/C","Taj Gibson",6200,"PHO@MIN 12/16/2017 08:00PM ET",26.75,"MIN"
"SF/PF","Andrew Wiggins",6100,"PHO@MIN 12/16/2017 08:00PM ET",29.388,"MIN"
"SF/PF","James Johnson",6000,"LAC@MIA 12/16/2017 08:00PM ET",26.894,"MIA"
"SF/PF","Rudy Gay",5900,"DAL@SA 12/16/2017 08:30PM ET",25.106,"SA"
"PG/SG","Austin Rivers",5800,"LAC@MIA 12/16/2017 08:00PM ET",25.76,"LAC"
"SF/PF","Danilo Gallinari",5800,"LAC@MIA 12/16/2017 08:00PM ET",24.591,"LAC"
"SG/SF","Courtney Lee",5700,"OKC@NY 12/16/2017 07:30PM ET",25.045,"NY"
"SF/PF","Jayson Tatum",5700,"BOS@MEM 12/16/2017 09:00PM ET",26.575,"BOS"
"SG/SF","Nicolas Batum",5700,"POR@CHA 12/16/2017 07:00PM ET",24.288,"CHA"
"PG/SG","J.J. Barea",5700,"DAL@SA 12/16/2017 08:30PM ET",25.379,"DAL"
