"LeBron James_CLE","Russell Westbrook_OKC","James Harden_HOU","Giannis Antetokounmpo_MIL","Karl-Anthony Towns_MIN","Damian Lillard_POR","Kristaps Porzingis_NY","Jimmy Butler_MIN","Chris Paul_HOU","LaMarcus Aldridge_SA","Kevin Love_CLE","Kyrie Irving_BOS","Devin Booker_PHO","Dwight Howard_CHA","Lou Williams_LAC","Paul George_OKC","Marc Gasol_MEM","Blake Griffin_LAC","DeAndre Jordan_LAC","Kemba Walker_CHA","Kawhi Leonard_SA","Carmelo Anthony_OKC","Tyreke Evans_MEM","Khris Middleton_MIL","Hassan Whiteside_MIA","Donovan Mitchell_UTA","Eric Bledsoe_MIL","Enes Kanter_NY","CJ McCollum_POR","Clint Capela_HOU","Al Horford_BOS","Rudy Gobert_UTA","Isaiah Thomas_CLE","Steven Adams_OKC","Jeff Teague_MIN","Harrison Barnes_DAL","Jusuf Nurkic_POR","TJ Warren_PHO","Tim Hardaway_NY","Mike Conley_MEM","Goran Dragic_MIA","Taj Gibson_MIN","Andrew Wiggins_MIN","James Johnson_MIA","Rudy Gay_SA","Austin Rivers_LAC","Danilo Gallinari_LAC","Courtney Lee_NY","Jayson Tatum_BOS","Nicolas Batum_CHA","JJ Barea_DAL","Jaylen Brown_BOS","Pau Gasol_SA","Dion Waiters_MIA","Derrick Favors_UTA","Rodney Hood_UTA","Greg Monroe_PHO","Jabari Parker_MIL","Kyle Anderson_SA","Dwyane Wade_CLE","Marcus Smart_BOS","Ricky Rubio_UTA","Al-Farouq Aminu_POR","Jeremy Lamb_CHA","Danny Green_SA","Dennis Smith_DAL","Kelly Olynyk_MIA","Joe Ingles_UTA","Trevor Ariza_HOU","Yogi Ferrell_DAL","Eric Gordon_HOU","Milos Teodosic_LAC","Wesley Matthews_DAL","Alec Burks_UTA","Marcus Morris_BOS","Michael Kidd-Gilchrist_CHA","Alex Len_PHO","Dirk Nowitzki_DAL","Jarrett Jack_NY","JaMychal Green_MEM","Marvin Williams_CHA","Malcolm Brogdon_MIL","John Henson_MIL","Josh Richardson_MIA","Patty Mills_SA","Frank Ntilikina_NY","Terry Rozier_BOS","Andrew Harrison_MEM","Tyler Johnson_MIA","Tyson Chandler_PHO","Dejounte Murray_SA","Tony Parker_SA","Tyler Ulis_PHO","Mike James_PHO","Kyle O'Quinn_NY","Ryan Anderson_HOU","Bam Adebayo_MIA","Jeff Green_CLE","Michael Beasley_NY","Aron Baynes_BOS","Wesley Johnson_LAC","Troy Daniels_PHO","Manu Ginobili_SA","JR Smith_CLE","Ed Davis_POR","Seth Curry_DAL","Doug McDermott_NY","Mario Chalmers_MEM","Chandler Parsons_MEM","Frank Kaminsky_CHA","Justise Winslow_MIA","Bryn Forbes_SA","Brandon Paul_SA","Andre Roberson_OKC","Cody Zeller_CHA","Evan Turner_POR","Wayne Ellington_MIA","Gorgui Dieng_MIN","Marquese Chriss_PHO","Josh Jackson_PHO","Davis Bertans_SA","Kyle Korver_CLE","Dillon Brooks_MEM","PJ Tucker_HOU","Tony Snell_MIL","Sam Dekker_LAC","Dwight Powell_DAL","Jose Calderon_CLE","Derrick Rose_CLE","Joe Johnson_UTA","Thabo Sefolosha_UTA","Jae Crowder_CLE","Tristan Thompson_CLE","Alex Abrines_OKC","Zach Collins_POR","Meyers Leonard_POR","Thon Maker_MIL","Montrezl Harrell_LAC","Jamal Crawford_MIN","Jared Dudley_PHO","Devin Harris_DAL","Maxi Kleber_DAL","Iman Shumpert_CLE","Jonas Jerebko_UTA","Guillermo Hernangomez_NY","Jerami Grant_OKC","Daniel Theis_BOS","Noah Vonleh_POR","Shabazz Napier_POR","Tyus Jones_MIN","Nemanja Bjelica_MIN","Shabazz Muhammad_MIN","Raul Neto_UTA","Patrick Patterson_OKC","Damyean Dotson_NY","James Ennis III_MEM","Ben McLemore_MEM","Semi Ojeleye_BOS","Shane Larkin_BOS","Maurice Harkless_POR","Pat Connaughton_POR","Malik Monk_CHA","Michael Carter-Williams_CHA","Dragan Bender_PHO","Ron Baker_NY","Joakim Noah_NY","Caleb Swanigan_POR","Nene Hilario_HOU","DeAndre Liggins_MIL","Channing Frye_CLE","Lance Thomas_NY","Jarell Martin_MEM","Dwayne Bacon_CHA","Luc Richard Mbah a Moute_HOU","Matthew Dellavedova_MIL","Mirza Teletovic_MIL","Jawun Evans_LAC","Raymond Felton_OKC","Ramon Sessions_NY","Gary Payton II_MIL","Bobby Brown_HOU","Sindarius Thornwell_LAC","Ekpe Udoh_UTA","Royce O'Neale_UTA","Cedi Osman_CLE","Ante Zizic_CLE","John Holland_CLE","Tony Bradley_UTA","Nate Wolters_UTA","Dante Exum_UTA","London Perrantes_CLE","Eric Griffin_UTA","Josh Huestis_OKC","Dakari Johnson_OKC","Terrance Ferguson_OKC","PJ Dozier_OKC","Daniel Hamilton_OKC","Kyle Singler_OKC","Nick Collison_OKC","Luke Kornet_NY","Isaiah Hicks_NY","Brandan Wright_MEM","Deyonta Davis_MEM","Abdel Nader_BOS","Guerschon Yabusele_BOS","Wayne Selden_MEM","Gordon Hayward_BOS","Kobi Simmons_MEM","Jabari Bird_BOS","Ivan Rabb_MEM","Vince Hunter_MEM","Kadeem Allen_BOS","Treveon Graham_CHA","Johnny O'Bryant III_CHA","Jake Layman_POR","Julyan Stone_CHA","Wade Baldwin IV_POR","Mangok Mathiang_CHA","Marcus Paige_CHA","CJ Wilcox_POR","Tarik Black_HOU","Rashad Vaughn_MIL","Jason Terry_MIL","Zhou Qi_HOU","DJ Wilson_MIL","Joel Bolomboy_MIL","Sterling Brown_MIL","Demetrius Jackson_HOU","Briante Weber_HOU","Troy Williams_HOU","Chinanu Onuaku_HOU","Patrick Beverley_LAC","Willie Reed_LAC","CJ Williams_LAC","Jamil Wilson_LAC","Jordan Mickey_MIA","Brice Johnson_LAC","Okaro White_MIA","Rodney McGruder_MIA","Derrick Walton_MIA","Matt Williams_MIA","Udonis Haslem_MIA","AJ Hammons_MIA","Isaiah Canaan_PHO","Danuel House_PHO","Aaron Brooks_MIN","Marcus Georges-Hunt_MIN","Alec Peters_PHO","Cole Aldrich_MIN","Davon Reed_PHO","Brandon Knight_PHO","Anthony Brown_MIN","Justin Patton_MIN","Alan Williams_PHO","Nerlens Noel_DAL","Joffrey Lauvergne_SA","Antonius Cleveland_DAL","Jeff Withey_DAL","Dorian Finney-Smith_DAL","Derrick White_SA","Matt Costello_SA","Darrun Hilliard_SA","Johnathan Motley_DAL","Josh McRoberts_DAL","Salah Mejri_DAL"
74.6130952380952,0,0,0,0,0,0,0,0,0,-3.22470238095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74.9092261904762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15.327380952381,0,0,0,0,0,6.49255952380952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7410714285714,0,0,0,0,0,36.6354166666667,0,0,0,-10.6309523809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8005952380952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.55654761904762,-11.1130952380952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,163.416666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,-130.291666666667,0,0,0,0,0,76.5,0,0,0,0,0,0,0,0,0,0,0,-73.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.5625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-33.0625,0,0,0,0,0,0,0,0,0,0,0,-66.9791666666667,0,0,0,0,0,0,0,-24.4791666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-31.5833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-42.9166666666667,7.3125,-13.2916666666667,0,0,0,-19.4791666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,144.5,0,0,0,0,0,-269.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25,0,-31.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-38.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,37.19375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21.53125,0,0,-13.39375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,6.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.775,0,0,0,0,0,0,0,0,0,0,0,22.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.63125,0,0,0,0,0,0,0,0,0,0,16.3625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-28.60625,12.8,0,1.3125,5.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,244.279761904762,0,0,71.3854166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.901785714286,0,0,0,0,0,0,9.09821428571429,-52.1309523809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-57.6741071428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15.0863095238095,0,0,0,0,0,0,0,0,0,0,-85.2946428571429,0,-0.214285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.98214285714286,31.046130952381,0,16.0238095238095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,120.640625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64.2135416666667,0,0,0,0,0,0,0,51.2083333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-31.4427083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-44.8697916666667,0,0,0,0,0,0,0,0,0,0,-62.90625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-56.109375,71.9375,0,0,0,0,0,0,0,0,0,0,0,53.5625,6.65104166666667,0,0,0,0,0,0,0,0,0,0,-7.52604166666667,51.078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,71.3854166666667,0,0,59.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.7395833333333,0,0,0,0,0,0,-18.90625,-38.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-48.3541666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23.3229166666667,0,0,0,0,0,0,0,0,0,0,-65.3645833333333,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.3020833333333,8.39583333333333,0,4.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-269.875,0,0,0,0,0,504.03125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-198.4375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.9375,0,59.53125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-285.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.4375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.4375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,115.3625,0,0,0,0,0,0,0,0,0,0,29.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-44.671875,0,0,0,0,0,0,0,-34.509375,0,0,0,0,0,79.03125,0,0,0,0,0,-47.59375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.915625,-23.4875,0,0,0,0,0,0,0,0,0,0,-55.884375,0,0,0,0,0,0,0,0,-53.740625,-14.7375,0,0,0,0,0,0,0,-58.1125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.171875,0,0,0,0,0,0,0,0,0
