"Player","Pos","Team","Opp","Def v Pos","VegasPts","Salary","Floor","Ceiling","FPG","FPPM","USG","FGA","MPG","Proj Mins","FC Proj","My Proj","Exposure","Con.","Value","Mins","Score","Val"
"LeBron James","SF/PFSFPF","CLE","vs UTA","4th",109.75,11600,37,83.6,57.8,1.57,30.6,18.7,36.9,36.57,56.94,56.94,"%",77,4.9,36,62.25,5.4
"Russell Westbrook","PG","OKC","@ NYK","22nd",103,11500,36.8,78.9,54.7,1.52,33.8,20.6,36,35.44,54.86,54.86,"%",78,4.8,35,46.25,4
"James Harden","PG/SGPGSG","HOU","vs MIL","28th",115.75,11100,47,88.5,57.2,1.63,36.6,21.1,35.1,35,64.79,64.79,"%",79,5.8,39,48.5,4.4
"Giannis Antetokounmpo","SF/PFSFPF","MIL","@ HOU","22nd",105.75,10800,49.4,74.6,56,1.51,34.2,20.1,37.2,36.98,60.2,60.2,"%",87,5.6,42,53.25,4.9
"Karl-Anthony Towns","C","MIN","vs PHX","30th",115,9600,28.4,70.1,43.2,1.24,23.9,14.4,34.9,36.12,46.27,46.27,"%",72,4.8,40,56.75,5.9
"Damian Lillard","PG","POR","@ CHA","17th",101.25,9100,28.4,62.6,44.4,1.22,30.8,19.5,36.5,36,43.06,43.06,"%",78,4.7,37,45.75,5
"Jimmy Butler","SG","MIN","vs PHX","25th",115,9000,29.5,65,38.3,1.04,23.1,15.3,36.9,36.97,44.73,44.73,"%",73,5,36,26,2.9
"Chris Paul","PG/SGPGSG","HOU","vs MIL","3rd",115.75,8600,25.4,63.9,44.1,1.45,22.5,12.5,30.4,33,41.94,41.94,"%",75,4.9,36,40.75,4.7
"LaMarcus Aldridge","PF/CPFC","SAS","vs DAL","26th",101.75,8000,24.7,57.7,39.3,1.19,29.4,17.7,32.9,32.49,38.83,38.83,"%",76,4.9,34,43.5,5.4
"Kevin Love","PF/CPFC","CLE","vs UTA","13th",109.75,7900,22.8,62.7,38.6,1.34,27.4,13.2,28.9,30,39.9,39.9,"%",70,5.1,28,27.25,3.4
"Kyrie Irving","PG","BOS","@ MEM","7th",99.25,7800,22.5,61.7,38.9,1.23,32.3,18,31.7,33.09,39.34,39.34,"%",71,5,30,32,4.1
"Louis Williams","PG/SGPGSG","LAC","@ MIA","20th",100.25,7700,20.1,62.9,33,1.09,28.5,14.8,30.2,35.53,38.41,38.41,"%",63,5,36,21.75,2.8
"Dwight Howard","C","CHA","vs POR","7th",104.25,7700,20.3,63.9,36.6,1.23,26.5,11,29.7,32.12,38.96,38.96,"%",66,5.1,33,38.25,5
"Paul George","SF","OKC","@ NYK","19th",103,7600,21,65.8,38.4,1.05,25.9,17.2,36.7,35.9,40.21,40.21,"%",67,5.3,36,42.25,5.6
"Marc Gasol","C","MEM","vs BOS","8th",93.25,7500,22.4,57.5,39.3,1.14,28.3,15.4,34.4,34.54,37.44,37.44,"%",75,5,33,54,7.2
"DeAndre Jordan","C","LAC","@ MIA","17th",100.25,7300,20.2,58.8,34.4,1.07,14.1,7.2,32.2,33.82,36.76,36.76,"%",68,5,33,43.5,6
"Kemba Walker","PG","CHA","vs POR","4th",104.25,7200,18.6,53.9,38.3,1.1,26.8,16.9,34.8,34.7,33.69,33.69,"%",74,4.7,37,33.5,4.7
"Khris Middleton","SG/SFSGSF","MIL","@ HOU","21st",105.75,7000,16.1,60.1,36.3,0.99,24.6,15.7,36.6,36,34.96,34.96,"%",65,5,34,38,5.4
"Tyreke Evans","PG/SGPGSG","MEM","vs BOS","6th",93.25,7000,15.8,56.1,33.2,1.13,27.9,14.3,29.4,33,33.03,33.03,"%",65,4.7,38,41.75,6
"Carmelo Anthony","SF/PFSFPF","OKC","@ NYK","19th",103,7000,21.5,46.7,31.8,0.97,25.2,16.2,32.9,34.57,32.29,32.29,"%",77,4.6,32,21.25,3
"Eric Bledsoe","PG/SGPGSG","MIL","@ HOU","2nd",105.75,6900,19.2,53,32.5,1.06,27.6,13.8,30.6,33.37,33.7,33.7,"%",70,4.9,36,27.25,3.9
"Donovan Mitchell","PG/SGPGSG","UTA","@ CLE","24th",100.75,6900,22.6,63.8,30.6,1.03,29.4,15.7,29.6,36,40.25,40.25,"%",61,5.8,36,31.5,4.6
"C.J. McCollum","PG/SGPGSG","POR","@ CHA","18th",101.25,6800,21,46.7,33.4,0.93,25.8,17.6,36.1,36,31.97,31.97,"%",78,4.7,38,33,4.9
"Enes Kanter","PF/CPFC","NYK","vs OKC","2nd",99,6800,14.8,47,30.2,1.19,21.2,9.5,25.3,27.79,28.62,28.62,"%",70,4.2,23,18.25,2.7
"Clint Capela","C","HOU","vs MIL","27th",115.75,6700,23.5,58.8,34.3,1.39,20.8,8.6,24.6,25.8,38.65,38.65,"%",71,5.8,0,0,NA
"Al Horford","PF/CPFC","BOS","@ MEM","5th",99.25,6600,19.2,47.3,35.5,1.1,18.8,10.5,32.3,32.69,31.22,31.22,"%",77,4.7,32,33.75,5.1
"Harrison Barnes","SF/PFSFPF","DAL","@ SAS","26th",95.75,6500,26,50.5,32.2,0.93,25.1,15.3,34.5,35.29,36.45,36.45,"%",78,5.6,36,21.25,3.3
"Jeff Teague","PG","MIN","vs PHX","27th",115,6500,16.5,53,31.1,0.93,19.9,11,33.6,33.99,32.15,32.15,"%",67,4.9,34,38.75,6
"T.J. Warren","SF/PFSFPF","PHX","@ MIN","12th",103,6400,13.9,56.9,30.2,0.98,26.2,15.9,30.9,36.7,32.3,32.3,"%",59,5,31,25.75,4
"Jusuf Nurkic","C","POR","@ CHA","12th",101.25,6400,10,51.9,30.7,1.12,29.2,13.4,27.4,27.33,27.96,27.96,"%",61,4.4,25,21.25,3.3
"Taj Gibson","PF/CPFC","MIN","vs PHX","30th",115,6200,15,47.3,26.8,0.82,14.5,8.2,32.7,32.61,28.86,28.86,"%",66,4.7,40,37.5,6
"Goran Dragic","PG","MIA","vs LAC","5th",106.25,6200,14.7,42.1,30.2,0.97,26.3,13.8,31,30,26.46,26.46,"%",74,4.3,30,19.5,3.1
"Andrew Wiggins","SF/PFSFPF","MIN","vs PHX","18th",115,6100,15.7,45,29.4,0.81,24,15.8,36.3,36.93,28.25,28.25,"%",72,4.6,36,23.25,3.8
"James Johnson","SF/PFSFPF","MIA","vs LAC","16th",106.25,6000,15.6,52,27.1,0.97,20.1,8.6,27.8,34.2,31.19,31.19,"%",62,5.2,5,7.75,1.3
"Rudy Gay","SF/PFSFPF","SAS","vs DAL","10th",101.75,5900,17,44.9,25,1.09,25.4,9.7,22.9,30,28.92,28.92,"%",68,4.9,27,16.5,2.8
"Juan Jose Barea","PG/SGPGSG","DAL","@ SAS","6th",95.75,5700,17.6,42.1,25.4,1.15,26.9,10.2,22.1,26.04,28.1,28.1,"%",72,4.9,25,23.5,4.1
"Nicolas Batum","SG/SFSGSF","CHA","vs POR","4th",104.25,5700,11.9,44.6,24.5,0.82,17.9,9.6,29.9,32,25.89,25.89,"%",62,4.5,38,38,6.7
"Jayson Tatum","SF/PFSFPF","BOS","@ MEM","11th",99.25,5700,13.3,40.1,26.2,0.88,18,9,29.8,30.79,24.76,24.76,"%",71,4.3,34,40.75,7.1
"Courtney Lee","SG/SFSGSF","NYK","vs OKC","10th",99,5700,15.8,46.8,25,0.79,17.1,10.5,31.8,35.04,29.08,29.08,"%",65,5.1,31,34.25,6
"Jaylen Brown","SG/SFSGSF","BOS","@ MEM","11th",99.25,5600,14.3,41,27,0.88,21.5,11.5,30.8,32.51,25.75,25.75,"%",72,4.6,33,21.25,3.8
"Pau Gasol","PF/CPFC","SAS","vs DAL","13th",101.75,5500,9.3,42.8,27.7,1.13,20.1,8.3,24.5,22,23.67,23.67,"%",65,4.3,14,2.75,0.5
"Dion Waiters","SG/SFSGSF","MIA","vs LAC","26th",106.25,5400,12,45.8,25,0.82,25.9,14.2,30.5,30,26.49,26.49,"%",61,4.9,30,28,5.2
"Greg Monroe","PF/CPFC","PHX","@ MIN","29th",103,5300,7.6,50.5,23.1,1.13,20.8,7.5,20.4,21.46,25.97,25.97,"%",47,4.9,0,0,NA
