"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SF/PF","LeBron James",11600,"CLE@MIL 12/19/2017 08:00PM ET",58.073,"CLE"
"SF/PF","Giannis Antetokounmpo",11400,"CLE@MIL 12/19/2017 08:00PM ET",55.87,"MIL"
"PF/C","DeMarcus Cousins",10700,"NO@WAS 12/19/2017 07:00PM ET",55.008,"NO"
"PF/C","Anthony Davis",10100,"NO@WAS 12/19/2017 07:00PM ET",48.72,"NO"
"C","Joel Embiid",9900,"SAC@PHI 12/19/2017 07:00PM ET",47.554,"PHI"
"PG/SF","Ben Simmons",9500,"SAC@PHI 12/19/2017 07:00PM ET",45.231,"PHI"
"PG","John Wall",8800,"NO@WAS 12/19/2017 07:00PM ET",41.171,"WAS"
"PF/C","Kevin Love",7800,"CLE@MIL 12/19/2017 08:00PM ET",38.308,"CLE"
"SG","Bradley Beal",7700,"NO@WAS 12/19/2017 07:00PM ET",37.483,"WAS"
"SG/SF","Khris Middleton",7300,"CLE@MIL 12/19/2017 08:00PM ET",36.402,"MIL"
"PG/SG","Jrue Holiday",7100,"NO@WAS 12/19/2017 07:00PM ET",35.092,"NO"
"PG/SG","Eric Bledsoe",6700,"CLE@MIL 12/19/2017 08:00PM ET",32.298,"MIL"
"PF/C","Zach Randolph",6400,"SAC@PHI 12/19/2017 07:00PM ET",29.24,"SAC"
"PG","Isaiah Thomas",6300,"CLE@MIL 12/19/2017 08:00PM ET",0,"CLE"
"SF/PF","Robert Covington",6200,"SAC@PHI 12/19/2017 07:00PM ET",31.76,"PHI"
"PF/C","Dario Saric",6100,"SAC@PHI 12/19/2017 07:00PM ET",25.787,"PHI"
"PG","Rajon Rondo",6000,"NO@WAS 12/19/2017 07:00PM ET",27.344,"NO"
"SF/PF","Otto Porter Jr.",5800,"NO@WAS 12/19/2017 07:00PM ET",30.625,"WAS"
"SG/SF","JJ Redick",5400,"SAC@PHI 12/19/2017 07:00PM ET",27.712,"PHI"
"PF/C","Willie Cauley-Stein",5200,"SAC@PHI 12/19/2017 07:00PM ET",23.865,"SAC"
"SF/PF","Jabari Parker",5000,"CLE@MIL 12/19/2017 08:00PM ET",0,"MIL"
"PG/SG","Dwyane Wade",4800,"CLE@MIL 12/19/2017 08:00PM ET",24.429,"CLE"
"PG/SG","Malcolm Brogdon",4800,"CLE@MIL 12/19/2017 08:00PM ET",24.093,"MIL"
"SG/SF","Kelly Oubre Jr.",4700,"NO@WAS 12/19/2017 07:00PM ET",22.575,"WAS"
"C","Marcin Gortat",4700,"NO@WAS 12/19/2017 07:00PM ET",25.208,"WAS"
"SF/PF","Markieff Morris",4600,"NO@WAS 12/19/2017 07:00PM ET",18.977,"WAS"
"SG/SF","E'Twaun Moore",4600,"NO@WAS 12/19/2017 07:00PM ET",22.35,"NO"
"SG/SF","Buddy Hield",4600,"SAC@PHI 12/19/2017 07:00PM ET",21.731,"SAC"
"PG/SG","George Hill",4600,"SAC@PHI 12/19/2017 07:00PM ET",19.769,"SAC"
"PF","Mike Scott",4500,"NO@WAS 12/19/2017 07:00PM ET",15.777,"WAS"
"C","John Henson",4500,"CLE@MIL 12/19/2017 08:00PM ET",21.435,"MIL"
"PF/C","Richaun Holmes",4400,"SAC@PHI 12/19/2017 07:00PM ET",15.875,"PHI"
"PG","De'Aaron Fox",4300,"SAC@PHI 12/19/2017 07:00PM ET",20.25,"SAC"
"SG/SF","Bogdan Bogdanovic",4300,"SAC@PHI 12/19/2017 07:00PM ET",19.231,"SAC"
"SF/PF","Jeff Green",4300,"CLE@MIL 12/19/2017 08:00PM ET",19.282,"CLE"
"PF/C","Trevor Booker",4200,"SAC@PHI 12/19/2017 07:00PM ET",22.773,"PHI"
"PG","T.J. McConnell",4100,"SAC@PHI 12/19/2017 07:00PM ET",20.293,"PHI"
"SG/SF","J.R. Smith",4000,"CLE@MIL 12/19/2017 08:00PM ET",18.177,"CLE"
"PG/SG","Frank Mason III",3900,"SAC@PHI 12/19/2017 07:00PM ET",15.841,"SAC"
"PG/SG","Markelle Fultz",3800,"SAC@PHI 12/19/2017 07:00PM ET",12.438,"PHI"
"PF/C","Amir Johnson",3700,"SAC@PHI 12/19/2017 07:00PM ET",14.952,"PHI"
"PG","Jose Calderon",3700,"CLE@MIL 12/19/2017 08:00PM ET",10.693,"CLE"
"SG/SF","Tony Snell",3700,"CLE@MIL 12/19/2017 08:00PM ET",16.141,"MIL"
"PG/SG","Garrett Temple",3600,"SAC@PHI 12/19/2017 07:00PM ET",16,"SAC"
"SG/SF","Kyle Korver",3600,"CLE@MIL 12/19/2017 08:00PM ET",17.355,"CLE"
"PG/SG","Tomas Satoransky",3500,"NO@WAS 12/19/2017 07:00PM ET",13.31,"WAS"
"PG","Tim Frazier",3500,"NO@WAS 12/19/2017 07:00PM ET",13.422,"WAS"
"SF/PF","Dante Cunningham",3500,"NO@WAS 12/19/2017 07:00PM ET",13.784,"NO"
"PG/SG","Iman Shumpert",3500,"CLE@MIL 12/19/2017 08:00PM ET",12.192,"CLE"
"SF/PF","Jae Crowder",3500,"CLE@MIL 12/19/2017 08:00PM ET",15.734,"CLE"
"PF/C","Tristan Thompson",3500,"CLE@MIL 12/19/2017 08:00PM ET",11.341,"CLE"
"SF","Darius Miller",3400,"NO@WAS 12/19/2017 07:00PM ET",13.233,"NO"
