"LeBron James_CLE","Giannis Antetokounmpo_MIL","DeMarcus Cousins_NO","Anthony Davis_NO","Joel Embiid_PHI","Ben Simmons_PHI","John Wall_WAS","Kevin Love_CLE","Bradley Beal_WAS","Khris Middleton_MIL","Jrue Holiday_NO","Eric Bledsoe_MIL","Zach Randolph_SAC","Isaiah Thomas_CLE","Robert Covington_PHI","Dario Saric_PHI","Rajon Rondo_NO","Otto Porter_WAS","JJ Redick_PHI","Willie Cauley-Stein_SAC","Jabari Parker_MIL","Dwyane Wade_CLE","Malcolm Brogdon_MIL","Kelly Oubre_WAS","Marcin Gortat_WAS","Markieff Morris_WAS","E'Twaun Moore_NO","Buddy Hield_SAC","George Hill_SAC","Mike Scott_WAS","John Henson_MIL","Richaun Holmes_PHI","De'Aaron Fox_SAC","Bogdan Bogdanovic_SAC","Jeff Green_CLE","Trevor Booker_PHI","TJ McConnell_PHI","JR Smith_CLE","Frank Mason III_SAC","Markelle Fultz_PHI","Amir Johnson_PHI","Jose Calderon_CLE","Tony Snell_MIL","Garrett Temple_SAC","Kyle Korver_CLE","Tomas Satoransky_WAS","Tim Frazier_WAS","Dante Cunningham_NO","Iman Shumpert_CLE","Jae Crowder_CLE","Tristan Thompson_CLE","Darius Miller_NO","Jameer Nelson_NO","Ian Mahinmi_WAS","Jerryd Bayless_PHI","Kosta Koufos_SAC","Thon Maker_MIL","Derrick Rose_CLE","DeAndre Liggins_MIL","Jakarr Sampson_SAC","Skal Labissiere_SAC","Mirza Teletovic_MIL","Matthew Dellavedova_MIL","Channing Frye_CLE","Jodie Meeks_WAS","Tony Allen_NO","Vince Carter_SAC","Ian Clark_NO","Jason Smith_WAS","Sheldon Mac_WAS","Mike Young_WAS","Devin Robinson_WAS","Chris McCullough_WAS","Solomon Hill_NO","Alexis Ajinca_NO","Omer Asik_NO","Jalen Jones_NO","Charles Cooke_NO","Cheick Diallo_NO","Frank Jackson_NO","Timothe Luwawu-Cabarrot_PHI","Georgios Papagiannis_SAC","Harry Giles_SAC","Jack Cooley_SAC","Justin Jackson_SAC","Malachi Richardson_SAC","Furkan Korkmaz_PHI","Justin Anderson_PHI","James Michael McAdoo_PHI","Jacob Pullen_PHI","Gary Payton II_MIL","Rashad Vaughn_MIL","DJ Wilson_MIL","Sterling Brown_MIL","Joel Bolomboy_MIL","Jason Terry_MIL","John Holland_CLE","London Perrantes_CLE","Cedi Osman_CLE","Ante Zizic_CLE"
64.5669642857143,0,0,0,0,0,0,-7.92410714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,-64.78125,0,0,0,0,0,0,0,0,0,0,0,0,-13.7209821428571,0,0,3.50892857142857,0,0,0,31.6785714285714,0,0,14.1517857142857,0,0,0,0,-7.90625,2.90625,0,0,0,0,0,0,0,0,0,0,0,0,9.48214285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8236607142857,-9.93080357142857
0,32.3898809523809,0,0,0,0,0,0,0,-19.0029761904762,0,-7.83184523809524,0,0,0,0,0,0,0,0,0,0,-4.56398809523809,0,0,0,0,0,0,0,7.60416666666667,0,0,0,0,0,0,0,0,0,0,0,6.40476190476191,0,0,0,0,0,0,0,0,0,0,0,0,0,17.7901785714286,0,-10.6264880952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8452380952381,-25.1964285714286,1.65178571428571,-5.58035714285714,5.22321428571429,13.3452380952381,0,0,0,0
0,0,181.285416666667,-138.789583333333,0,0,0,0,0,0,29.3104166666667,0,0,0,0,0,19.0645833333333,0,0,0,0,0,0,0,0,0,24.7375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.1916666666667,0,0,0,-18.50625,16.0895833333333,0,0,0,0,0,0,0,0,0,0,0,0,1.1625,0,-12.5958333333333,0,0,0,0,0,0,0,34.8666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-138.789583333333,482.410416666667,0,0,0,0,0,0,-99.2895833333333,0,0,0,0,0,-96.5354166666667,0,0,0,0,0,0,0,0,0,31.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-161.208333333333,0,0,0,43.89375,30.2395833333333,0,0,0,0,0,0,0,0,0,0,0,0,-65.2625,0,-19.4958333333333,0,0,0,0,0,0,0,-101.520833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,589.325,61.3,0,0,0,0,0,0,0,0,-53.1,-45.51875,0,0,-85.96875,0,0,0,0,0,0,0,0,0,0,0,0,-31.625,0,0,0,0,110.5875,0,0,0,-184.3875,0,0,0,0,0,0,0,0,0,0,0,0,0,-40.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-91.68125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,61.3,317.6375,0,0,0,0,0,0,0,0,77.896875,56.6125,0,0,-114.03125,0,0,0,0,0,0,0,0,0,0,0,0,-179.703125,0,0,0,0,-44.86875,0,0,0,-7.1125,0,0,0,0,0,0,0,0,0,0,0,0,0,61.00625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.540625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,94.7232142857143,0,22.3779761904762,0,0,0,0,0,0,0,0,16.5535714285714,0,0,0,0,0,-15.0208333333333,26.9761904761905,-62.9955357142857,0,0,0,16.5535714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-51.0401785714286,-32.9538690476191,0,0,0,0,0,0,-39.2380952380952,0,0,0,0,0,0,0,0,0,0,12.4151785714286,0,0,0,26.2098214285714,0,0,0,-13.3348214285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-7.92410714285714,0,0,0,0,0,0,96.5848214285714,0,0,0,0,0,0,0,0,0,0,0,0,0,52.5133928571429,0,0,0,0,0,0,0,0,0,0,0,0,-14.8727678571429,0,0,7.14285714285714,0,0,0,23.4285714285714,0,0,-22.9732142857143,0,0,0,0,-18.1651785714286,-24.46875,0,0,0,0,0,0,0,0,0,0,0,0,-12.2678571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-30.4352678571429,-2.51116071428571
0,0,0,0,0,0,22.3779761904762,0,247.383928571429,0,0,0,0,0,0,0,0,-54.0476190476191,0,0,0,0,0,68.1770833333333,-4.21726190476191,-36.2366071428571,0,0,0,67.9523809523809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-39.1934523809524,28.5967261904762,0,0,0,0,0,0,-19.3497023809524,0,0,0,0,0,0,0,0,0,0,-9.93154761904762,0,0,0,21.702380952381,0,0,0,-27.358630952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-19.0029761904762,0,0,0,0,0,0,0,56.3630952380952,0,-19.4627976190476,0,0,0,0,0,0,0,0,0,0,-15.953869047619,0,0,0,0,0,0,0,-8.08333333333333,0,0,0,0,0,0,0,0,0,0,0,-29.1309523809524,0,0,0,0,0,0,0,0,0,0,0,0,0,-27.453869047619,0,1.74404761904762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.94345238095238,8.23511904761905,-17.4553571428571,4.24107142857143,2.47619047619048,-22.0357142857143,0,0,0,0
