"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,964102650,"Kobe4MVP (3/121)",0,300.25,"G John Wall F Kevin Love SG Bradley Beal PG Eric Bledsoe PF Willie Cauley-Stein UTIL Marcin Gortat SF Buddy Hield C John Henson",NA,"Dario Saric","PF","43.54%",27.75
2,964367471,"DannibalLecter (1/30)",0,296.75,"PF LeBron James SG Bradley Beal PG Eric Bledsoe F Zach Randolph C Marcin Gortat SF Buddy Hield UTIL Richaun Holmes G Frank Mason III",NA,"Bradley Beal","SG","42.11%",44.25
3,964355400,"Shaunders16",0,295.5,"SF LeBron James PF Kevin Love F Khris Middleton PG Eric Bledsoe UTIL Marcin Gortat C John Henson G José Calderón SG Garrett Temple",NA,"Kelly Oubre Jr.","F","41.03%",16.5
4,964246533,"breadline",0,293,"PF Giannis Antetokounmpo SF Khris Middleton G Jrue Holiday PG Eric Bledsoe SG Malcolm Brogdon C Marcin Gortat F Buddy Hield UTIL Jerryd Bayless",NA,"Robert Covington","F","34.19%",28.75
5,964475987,"Vendetta1313 (4/4)",0,292.75,"SF Giannis Antetokounmpo SG Bradley Beal G Khris Middleton PG Eric Bledsoe C Marcin Gortat PF Mike Scott UTIL Frank Mason III F Amir Johnson",NA,"Kevin Love","UTIL","32.81%",44.5
6,964387997,"jandreozzi (2/3)",0,292.25,"UTIL Anthony Davis PG John Wall F Kevin Love SF Robert Covington C Marcin Gortat SG Buddy Hield PF Trevor Booker G Garrett Temple",NA,"Richaun Holmes","UTIL","31.09%",18
7,964123115,"cronk12345 (1/2)",0,290.5,"SF Giannis Antetokounmpo C Kevin Love SG Bradley Beal PG Malcolm Brogdon UTIL Marcin Gortat G Buddy Hield PF Mike Scott F Bogdan Bogdanovic",NA,"Bogdan Bogdanovic","G","30.94%",8.75
8,964367479,"DannibalLecter (9/30)",0,289,"PF Giannis Antetokounmpo SF Khris Middleton G Eric Bledsoe C Zach Randolph F Dario Saric UTIL Buddy Hield PG Frank Mason III SG Garrett Temple",NA,"John Wall","PG","30.74%",43.5
9,964102682,"Kobe4MVP (35/121)",0,288.5,"C Anthony Davis PF Kevin Love SG Bradley Beal UTIL Eric Bledsoe G Dwyane Wade F Kelly Oubre Jr. SF Buddy Hield PG Garrett Temple",NA,"JJ Redick","SF","30.59%",12.5
10,964249324,"code_man_444 (9/10)",0,288.25,"G Ben Simmons PF Kevin Love SG Bradley Beal SF Khris Middleton C Marcin Gortat UTIL E'Twaun Moore F Mike Scott PG Frank Mason III",NA,"Khris Middleton","SF","28.35%",37
11,964036926,"rhino2300 (1/6)",0,288,"SF LeBron James F Kevin Love G Eric Bledsoe UTIL Zach Randolph PG Dwyane Wade SG Buddy Hield PF Mike Scott C Kosta Koufos",NA,"T.J. McConnell","UTIL","28.23%",13
11,964053001,"rhino2300 (6/6)",0,288,"SF LeBron James F Kevin Love G Eric Bledsoe UTIL Zach Randolph PG Dwyane Wade SG Buddy Hield PF Mike Scott C Kosta Koufos",NA,"Ben Simmons","SF","25.72%",47
11,964205489,"CoolhandLG",0,288,"SF LeBron James C Anthony Davis PF Dario Saric PG Dwyane Wade UTIL Marcin Gortat SG Buddy Hield F Trevor Booker G Frank Mason III",NA,"Willie Cauley-Stein","PF","25.40%",21.5
14,964268382,"nrmax88 (4/7)",0,287.75,"F Kevin Love SG Bradley Beal SF Khris Middleton PG Jrue Holiday UTIL Zach Randolph C Marcin Gortat G Buddy Hield PF Richaun Holmes",NA,"LeBron James","SF","25.38%",60.25
15,964239994,"code_man_444 (4/10)",0,287.5,"SF LeBron James PF Kevin Love SG Bradley Beal PG Eric Bledsoe C Marcin Gortat F Mike Scott G Frank Mason III UTIL Timothé Luwawu-Cabarrot",NA,"Frank Mason III","G","25.18%",24.5
16,963865191,"ThatStunna (7/20)",0,287.25,"PG Ben Simmons UTIL Kevin Love G Bradley Beal SF Robert Covington F Willie Cauley-Stein SG Buddy Hield C John Henson PF Mike Scott",NA,"Eric Bledsoe","G","24.98%",38.75
16,963956042,"pianoclub (60/121)",0,287.25,"F Giannis Antetokounmpo SG Bradley Beal PG Eric Bledsoe PF Zach Randolph SF Kelly Oubre Jr. C Marcin Gortat UTIL John Henson G Frank Mason III",NA,"Mike Scott","F","22.77%",31
16,964138378,"mazwa (18/50)",0,287.25,"SF Giannis Antetokounmpo SG Bradley Beal PG Eric Bledsoe PF Zach Randolph F Kelly Oubre Jr. UTIL Marcin Gortat C John Henson G Frank Mason III",NA,"Giannis Antetokounmpo","SF","22.67%",60.5
16,964289164,"smac3470 (3/4)",0,287.25,"PG John Wall C Kevin Love G Bradley Beal SF Khris Middleton SG Eric Bledsoe UTIL Marcin Gortat PF Jae Crowder F Tristan Thompson",NA,"Jrue Holiday","G","22.47%",33
16,964393946,"nrmax88 (7/7)",0,287.25,"SF Giannis Antetokounmpo G Bradley Beal PG Jrue Holiday PF Dario Saric C Marcin Gortat SG Buddy Hield F Richaun Holmes UTIL Garrett Temple",NA,"Zach Randolph","C","19.35%",34.25
16,964407364,"BrandonAdams",0,287.25,"SF Giannis Antetokounmpo PG John Wall PF Kevin Love F Robert Covington SG Buddy Hield G Frank Mason III C Amir Johnson UTIL Garrett Temple",NA,"Marcin Gortat","UTIL","17.20%",37.5
22,964009499,"Rotomania (3/3)",0,287,"PG Ben Simmons SG Bradley Beal SF Khris Middleton G Jrue Holiday C Marcin Gortat UTIL Buddy Hield PF Mike Scott F Richaun Holmes",NA,"Anthony Davis","PF","17.11%",51.25
22,964376455,"nrmax88 (5/7)",0,287,"SF LeBron James SG Bradley Beal PG Jrue Holiday PF Dario Saric C Marcin Gortat F Buddy Hield UTIL Richaun Holmes G Garrett Temple",NA,"E'Twaun Moore","UTIL","16.69%",22.5
22,964393924,"nrmax88 (6/7)",0,287,"SF LeBron James G Bradley Beal PG Jrue Holiday PF Dario Saric C Marcin Gortat SG Buddy Hield F Richaun Holmes UTIL Garrett Temple",NA,"DeMarcus Cousins","C","16.32%",49.25
25,964256103,"nrmax88 (3/7)",0,286.75,"UTIL Anthony Davis SG Bradley Beal SF Khris Middleton PG Jrue Holiday C Marcin Gortat F Buddy Hield PF Markieff Morris G Garrett Temple",NA,"Buddy Hield","SG","15.06%",39.25
25,964281802,"Williamsj18",0,286.75,"C Kevin Love SG Bradley Beal SF Khris Middleton PG Jrue Holiday PF Robert Covington UTIL Marcin Gortat F Buddy Hield G E'Twaun Moore",NA,"John Henson","C","14.05%",31
27,964320272,"ravenrotty52 (2/2)",0,286.25,"SF LeBron James PF Kevin Love G Bradley Beal PG Malcolm Brogdon C Marcin Gortat SG E'Twaun Moore F Mike Scott UTIL Jeff Green",NA,"Dwyane Wade","G","12.06%",27
28,964138382,"mazwa (22/50)",0,286,"PF Giannis Antetokounmpo SG Bradley Beal SF Khris Middleton PG Eric Bledsoe F Kelly Oubre Jr. C Marcin Gortat UTIL Frank Mason III G Garrett Temple",NA,"Markieff Morris","F","11.72%",17.5
29,963980547,"kglenn2986 (1/7)",0,285.25,"PF LeBron James C Kevin Love SF Khris Middleton SG Eric Bledsoe PG Malcolm Brogdon UTIL Mike Scott G Garrett Temple F Jae Crowder",NA,"De'Aaron Fox","G","11.10%",4.25
29,964490838,"Jeremy32",0,285.25,"PF Anthony Davis SF Ben Simmons G Bradley Beal C Dario Saric UTIL Marcin Gortat F Mike Scott PG José Calderón SG Garrett Temple",NA,"Rajon Rondo","UTIL","9.11%",6
31,964364345,"kglenn2986 (6/7)",0,285,"SF LeBron James PF Kevin Love G Jrue Holiday PG Eric Bledsoe SG Malcolm Brogdon C Marcin Gortat F Amir Johnson UTIL Garrett Temple",NA,"Garrett Temple","PG","8.15%",27
32,964396271,"jandreozzi (3/3)",0,284.75,"PG John Wall F Kevin Love G Eric Bledsoe SF Robert Covington PF Dario Saric UTIL Malcolm Brogdon C Marcin Gortat SG Buddy Hield",NA,"Malcolm Brogdon","G","7.33%",24.75
33,964367474,"DannibalLecter (4/30)",0,284.5,"SF LeBron James G Bradley Beal SG Khris Middleton PF Zach Randolph C Marcin Gortat F Buddy Hield UTIL J.R. Smith PG Garrett Temple",NA,"Trevor Booker","F","7.21%",20.5
34,964240021,"code_man_444 (5/10)",0,283.75,"SF LeBron James PF Kevin Love SG Bradley Beal F Khris Middleton C Marcin Gortat PG Frank Mason III UTIL Garrett Temple G Jameer Nelson",NA,"J.R. Smith","G","7.14%",5
35,964003927,"theOGking_tay (1/2)",0,283.25,"PF Anthony Davis G Bradley Beal PG Jrue Holiday SG Eric Bledsoe SF Kelly Oubre Jr. C Marcin Gortat UTIL John Henson F Mike Scott",NA,"Kosta Koufos","C","6.10%",13
35,964012689,"theOGking_tay (2/2)",0,283.25,"PF Anthony Davis G Bradley Beal PG Jrue Holiday SG Eric Bledsoe SF Kelly Oubre Jr. C Marcin Gortat UTIL John Henson F Mike Scott",NA,"Jameer Nelson","G","5.96%",8.75
37,964081519,"cheddabisque (17/121)",0,282.25,"PF DeMarcus Cousins G Bradley Beal PG Eric Bledsoe SF Robert Covington UTIL Dwyane Wade C Marcin Gortat SG Buddy Hield F Markieff Morris",NA,"Amir Johnson","UTIL","4.60%",19.25
38,964391427,"CUTboy11",0,282,"SF Giannis Antetokounmpo G Bradley Beal PG Eric Bledsoe F Dario Saric UTIL Buddy Hield SG E'Twaun Moore PF Mike Scott C Richaun Holmes",NA,"José Calderón","PG","4.55%",19.5
39,963980571,"kglenn2986 (3/7)",0,281.75,"PF Kevin Love G Bradley Beal F Khris Middleton UTIL Jrue Holiday SG Eric Bledsoe PG Malcolm Brogdon C Marcin Gortat SF Jae Crowder",NA,"Kyle Korver","F","4.50%",7.5
40,964367475,"DannibalLecter (5/30)",0,281.5,"C Kevin Love UTIL Bradley Beal SF Khris Middleton PG Eric Bledsoe PF Zach Randolph G Dwyane Wade F Kelly Oubre Jr. SG Buddy Hield",NA,"Jeff Green","SF","2.83%",21.5
41,964138398,"mazwa (38/50)",0,280.75,"PF Giannis Antetokounmpo SG Bradley Beal PG Eric Bledsoe F Dario Saric SF Kelly Oubre Jr. UTIL Marcin Gortat C John Henson G Frank Mason III",NA,"Jae Crowder","SF","2.34%",22
41,964142083,"papagates (38/121)",0,280.75,"C DeMarcus Cousins SG Bradley Beal UTIL Eric Bledsoe SF Robert Covington F Dario Saric G Buddy Hield PF Mike Scott PG Tomas Satoransky",NA,"Tomas Satoransky","PG","1.97%",21.75
41,964438244,"ddpensak107",0,280.75,"PG Ben Simmons PF Kevin Love SG Khris Middleton G Jrue Holiday SF Buddy Hield UTIL John Henson F Mike Scott C Richaun Holmes",NA,"Skal Labissiere","C","0.98%",5.5
44,964138388,"mazwa (28/50)",0,280.5,"PF LeBron James SG Bradley Beal PG Eric Bledsoe F Dario Saric SF Kelly Oubre Jr. UTIL Marcin Gortat C John Henson G Frank Mason III",NA,"Ian Mahinmi","UTIL","0.91%",14.25
45,964014711,"stu3313 (3/4)",0,280,"SF Giannis Antetokounmpo PF Anthony Davis SG Khris Middleton F Buddy Hield UTIL E'Twaun Moore C Richaun Holmes G Frank Mason III PG Garrett Temple",NA,"Jerryd Bayless","SG","0.91%",22.25
46,964397612,"allabout3837 (10/121)",0,279.75,"PF LeBron James F Ben Simmons UTIL Dario Saric PG Dwyane Wade G Kelly Oubre Jr. C Marcin Gortat SF Buddy Hield SG Frank Mason III",NA,"Matthew Dellavedova","PG","0.91%",8.5
47,963898466,"shawnzhan (86/121)",0,279.25,"UTIL LeBron James F Khris Middleton G Eric Bledsoe C Zach Randolph SF Robert Covington SG Buddy Hield PF Amir Johnson PG Tomas Satoransky",NA,"Vince Carter","G","0.69%",14.25
47,964093102,"bellaedward4eva (22/110)",0,279.25,"C Anthony Davis F Kevin Love SG Bradley Beal PG Eric Bledsoe SF Buddy Hield PF Mike Scott UTIL Jeff Green G Bogdan Bogdanovic",NA,"Darius Miller","SF","0.62%",4.75
47,964166708,"moebs13 (1/2)",0,279.25,"PF LeBron James SF Giannis Antetokounmpo UTIL Marcin Gortat SG Buddy Hield G E'Twaun Moore C John Henson F Bogdan Bogdanovic PG José Calderón",NA,"Dante Cunningham","SF","0.49%",3.25
47,964167665,"chess_is_ok (66/121)",0,279.25,"PG Ben Simmons UTIL Bradley Beal G Eric Bledsoe PF Robert Covington C Dario Saric SG Buddy Hield SF E'Twaun Moore F Mike Scott",NA,"Timothé Luwawu-Cabarrot","F","0.47%",6.75
47,964234186,"jaylox15 (2/2)",0,279.25,"F LeBron James UTIL Kevin Love SG Jrue Holiday C Dario Saric SF Kelly Oubre Jr. G Buddy Hield PF Mike Scott PG Garrett Temple",NA,"Joel Embiid","C","0.37%",0
