"Place_lo","Place_hi","Payout"
"1","1","50000"
"2","2","20000"
"3","3","10000"
"4","4","7000"
"5","5","5000"
"6","6","4000"
"7","8","3000"
"9","10","2000"
"11","12","1500"
"13","14","1000"
"15","20","700"
"21","30","600"
"31","40","500"
"41","50","400"
"51","70","300"
"71","100","250"
"101","130","200"
"131","160","150"
"161","210","100"
"211","310","70"
"311","460","60"
"461","660","50"
"661","1060","40"
"1061","1460","35"
"1461","1960","30"
"1961","2960","25"
"2961","5000","20"
"5001","8000","15"
"8001","15000","12"
