"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"C","Karl-Anthony Towns",9000,"MIN@DEN 12/20/2017 09:00PM ET",43.355,"MIN"
"SG","Jimmy Butler",8800,"MIN@DEN 12/20/2017 09:00PM ET",38.5,"MIN"
"PG","Damian Lillard",8500,"SA@POR 12/20/2017 10:00PM ET",44.583,"POR"
"C","Nikola Jokic",8100,"MIN@DEN 12/20/2017 09:00PM ET",39.239,"DEN"
"PF/C","LaMarcus Aldridge",7800,"SA@POR 12/20/2017 10:00PM ET",39.133,"SA"
"PF/C","Paul Millsap",6600,"MIN@DEN 12/20/2017 09:00PM ET",31.828,"DEN"
"PG/SG","CJ McCollum",6400,"SA@POR 12/20/2017 10:00PM ET",33.405,"POR"
"C","Jusuf Nurkic",6400,"SA@POR 12/20/2017 10:00PM ET",30.509,"POR"
"SG","Gary Harris",6300,"MIN@DEN 12/20/2017 09:00PM ET",29.357,"DEN"
"SG/SF","Will Barton",6200,"MIN@DEN 12/20/2017 09:00PM ET",30.784,"DEN"
"PG","Jeff Teague",6100,"MIN@DEN 12/20/2017 09:00PM ET",31.083,"MIN"
"SF/PF","Kawhi Leonard",6000,"SA@POR 12/20/2017 10:00PM ET",21.833,"SA"
"SF/PF","Andrew Wiggins",6000,"MIN@DEN 12/20/2017 09:00PM ET",28.903,"MIN"
"PF/C","Taj Gibson",5900,"MIN@DEN 12/20/2017 09:00PM ET",26.798,"MIN"
"PG/SG","Jamal Murray",5700,"MIN@DEN 12/20/2017 09:00PM ET",24.35,"DEN"
"SF/PF","Rudy Gay",5400,"SA@POR 12/20/2017 10:00PM ET",24.345,"SA"
"PF/C","Pau Gasol",5300,"SA@POR 12/20/2017 10:00PM ET",26.967,"SA"
"PG/SF","Kyle Anderson",5200,"SA@POR 12/20/2017 10:00PM ET",24.489,"SA"
"SG/SF","Danny Green",5000,"SA@POR 12/20/2017 10:00PM ET",21.361,"SA"
"SF/PF","Trey Lyles",4800,"MIN@DEN 12/20/2017 09:00PM ET",15.8,"DEN"
"SF/PF","Al-Farouq Aminu",4600,"SA@POR 12/20/2017 10:00PM ET",22.444,"POR"
"SF/PF","Wilson Chandler",4600,"MIN@DEN 12/20/2017 09:00PM ET",20.692,"DEN"
"PG","Tony Parker",4200,"SA@POR 12/20/2017 10:00PM ET",18.639,"SA"
"PG","Patty Mills",4200,"SA@POR 12/20/2017 10:00PM ET",19.46,"SA"
"PG","Dejounte Murray",4100,"SA@POR 12/20/2017 10:00PM ET",17.808,"SA"
"PF/C","Mason Plumlee",4100,"MIN@DEN 12/20/2017 09:00PM ET",18.608,"DEN"
"SG/SF","Manu Ginobili",4000,"SA@POR 12/20/2017 10:00PM ET",16.106,"SA"
