"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,964977488,"hylden21",0,318.5,"F Pau Gasol PG CJ McCollum SF Wilson Chandler G Jeff Teague SG Jimmy Butler PF Mason Plumlee C Karl-Anthony Towns UTIL Jamal Murray",NA,"Damian Lillard","PG","61.02%",30.5
1,965502380,"wart816",0,318.5,"F Pau Gasol G CJ McCollum SF Wilson Chandler PG Jeff Teague SG Jimmy Butler PF Mason Plumlee C Karl-Anthony Towns UTIL Jamal Murray",NA,"Karl-Anthony Towns","C","53.69%",48.5
3,965333542,"Money-ballAs (4/4)",0,312.5,"F Pau Gasol SF Wilson Chandler UTIL Jeff Teague SG Jimmy Butler PF Mason Plumlee G Will Barton C Karl-Anthony Towns PG Jamal Murray",NA,"Jimmy Butler","UTIL","50.21%",36.5
4,965500014,"Bumper2le (6/9)",0,310,"C Pau Gasol F LaMarcus Aldridge SF Al-Farouq Aminu PG Shabazz Napier G Jeff Teague PF Mason Plumlee UTIL Karl-Anthony Towns SG Jamal Murray",NA,"LaMarcus Aldridge","F","49.59%",37
5,964687348,"meetseeya (5/6)",0,306.75,"F Pau Gasol PF LaMarcus Aldridge PG CJ McCollum SF Wilson Chandler UTIL Mason Plumlee SG Will Barton C Karl-Anthony Towns G Jamal Murray",NA,"CJ McCollum","SG","45.82%",30.25
6,965120155,"tugnutt11",0,305.25,"F Pau Gasol SF Al-Farouq Aminu PG CJ McCollum PF Taj Gibson G Jimmy Butler C Mason Plumlee UTIL Karl-Anthony Towns SG Jamal Murray",NA,"Will Barton","G","44.56%",24.25
7,965115873,"robzuckerman76 (4/5)",0,305,"F Pau Gasol G Dejounte Murray SF Wilson Chandler SG Jimmy Butler PF Mason Plumlee UTIL Nikola Jokic C Karl-Anthony Towns PG Jamal Murray",NA,"Jamal Murray","PG","39.82%",45
7,965496933,"willthekid (2/2)",0,305,"F Pau Gasol PF LaMarcus Aldridge G CJ McCollum UTIL Jamal Crawford PG Jeff Teague SF Andrew Wiggins C Karl-Anthony Towns SG Jamal Murray",NA,"Jeff Teague","G","37.26%",36.5
9,965452987,"Srock13",0,303.5,"G Manu Ginobili PF Pau Gasol PG Damian Lillard SF Wilson Chandler SG Jimmy Butler F Mason Plumlee C Karl-Anthony Towns UTIL Jamal Murray",NA,"Taj Gibson","PF","36.63%",22.25
10,965015156,"shammmy",0,302.25,"UTIL Pau Gasol G Jeff Teague SG Jimmy Butler PF Mason Plumlee F Will Barton C Karl-Anthony Towns SF Trey Lyles PG Jamal Murray",NA,"Mason Plumlee","F","34.76%",40.5
11,965288565,"ccissme23 (2/2)",0,301.75,"F Pau Gasol G Jamal Crawford SF Wilson Chandler PF Taj Gibson PG Jeff Teague UTIL Nikola Jokic C Karl-Anthony Towns SG Jamal Murray",NA,"Andrew Wiggins","SF","33.35%",22.25
12,965390869,"hawk8353 (2/4)",0,300.5,"PF Pau Gasol SF Evan Turner PG Damian Lillard F Wilson Chandler SG Jimmy Butler UTIL Mason Plumlee C Karl-Anthony Towns G Jamal Murray",NA,"Trey Lyles","SF","31.83%",18.25
12,965390921,"hawk8353 (3/4)",0,300.5,"F Pau Gasol UTIL Evan Turner PG Damian Lillard SF Wilson Chandler G Jimmy Butler PF Mason Plumlee C Karl-Anthony Towns SG Jamal Murray",NA,"Nikola Jokic","C","31.02%",35.5
14,965463725,"DJohnson2425 (3/3)",0,300.25,"F Pau Gasol PF LaMarcus Aldridge UTIL Al-Farouq Aminu PG Damian Lillard SF Wilson Chandler SG Jimmy Butler C Mason Plumlee G Jamal Murray",NA,"Rudy Gay","SF","28.39%",10.75
15,965501043,"BlkPantherX (3/3)",0,299.75,"UTIL Pau Gasol PF LaMarcus Aldridge SG CJ McCollum G Jeff Teague F Mason Plumlee SF Andrew Wiggins C Nikola Jokic PG Jamal Murray",NA,"Dejounte Murray","G","28.33%",17.75
16,965217813,"ERYKBBOY (6/8)",0,298.75,"PF LaMarcus Aldridge SF Kyle Anderson SG Jamal Crawford PG Jeff Teague F Mason Plumlee C Nikola Jokic UTIL Karl-Anthony Towns G Jamal Murray",NA,"Al-Farouq Aminu","SF","26.91%",29.5
17,965113867,"mastermoneyman (13/20)",0,298.25,"F Pau Gasol PF LaMarcus Aldridge UTIL Jusuf Nurkic G Jamal Crawford PG Jeff Teague SF Andrew Wiggins C Karl-Anthony Towns SG Jamal Murray",NA,"Wilson Chandler","PF","26.28%",28.5
18,964595006,"dsmith2k9",0,297.75,"F Pau Gasol G Jamal Crawford PF Wilson Chandler SG Jimmy Butler UTIL Nikola Jokic C Karl-Anthony Towns SF Trey Lyles PG Jamal Murray",NA,"Jusuf Nurkic","C","23.42%",23.5
18,965467707,"LocoteXaveChi24 (2/3)",0,297.75,"F Pau Gasol G Jamal Crawford SF Wilson Chandler SG Jimmy Butler UTIL Nikola Jokic C Karl-Anthony Towns PF Trey Lyles PG Jamal Murray",NA,"Evan Turner","UTIL","20.86%",18.25
20,964625359,"Goob54650 (2/10)",0,296.5,"SF Manu Ginobili PF Pau Gasol F LaMarcus Aldridge PG Jeff Teague G Torrey Craig UTIL Nikola Jokic C Karl-Anthony Towns SG Jamal Murray",NA,"Pau Gasol","PF","17.97%",52.75
