"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,964576275,"mr_hailes",0,284.75,"UTIL Marc Gasol SG Klay Thompson PG Tyreke Evans PF Omri Casspi C DeAndre Jordan G Austin Rivers SF T.J. Warren F Josh Jackson",NA,"Kevin Durant","PF","82.42%",38
1,964644430,"mgduke81 (8/20)",0,284.75,"C Marc Gasol SG Klay Thompson G Tyreke Evans PF Omri Casspi UTIL DeAndre Jordan PG Austin Rivers SF T.J. Warren F Josh Jackson",NA,"Tyreke Evans","PG","58.47%",30
1,964647174,"The_Black_Hole (1/3)",0,284.75,"C Marc Gasol SG Klay Thompson G Tyreke Evans SF Omri Casspi UTIL DeAndre Jordan PG Austin Rivers PF T.J. Warren F Josh Jackson",NA,"DeAndre Jordan","C","52.90%",39.5
1,964992558,"Lthoward",0,284.75,"UTIL Marc Gasol G Klay Thompson SG Tyreke Evans SF Omri Casspi C DeAndre Jordan PG Austin Rivers PF T.J. Warren F Josh Jackson",NA,"Klay Thompson","SG","51.09%",43
1,965053782,"robzuckerman76 (9/20)",0,284.75,"UTIL Marc Gasol G Klay Thompson SG Tyreke Evans PF Omri Casspi C DeAndre Jordan PG Austin Rivers SF T.J. Warren F Josh Jackson",NA,"Alex Len","PF","50.93%",24.25
1,965077200,"DodgerDad721 (12/12)",0,284.75,"UTIL Marc Gasol SG Klay Thompson G Tyreke Evans PF Omri Casspi C DeAndre Jordan PG Austin Rivers SF T.J. Warren F Josh Jackson",NA,"Austin Rivers","PG","45.07%",35.5
1,965370987,"shouldawouldacoulda (2/2)",0,284.75,"UTIL Marc Gasol SG Klay Thompson PG Tyreke Evans PF Omri Casspi C DeAndre Jordan G Austin Rivers SF T.J. Warren F Josh Jackson",NA,"Isaiah Canaan","G","44.93%",18.5
1,965386960,"elato65 (2/2)",0,284.75,"UTIL Marc Gasol SG Klay Thompson PG Tyreke Evans PF Omri Casspi C DeAndre Jordan G Austin Rivers SF T.J. Warren F Josh Jackson",NA,"T.J. Warren","SF","44.20%",45.5
1,965411634,"ejgunner (2/4)",0,284.75,"C Marc Gasol SG Klay Thompson G Tyreke Evans SF Omri Casspi UTIL DeAndre Jordan PG Austin Rivers PF T.J. Warren F Josh Jackson",NA,"Omri Casspi","F","43.94%",22
1,965511311,"SmokeyZone (11/20)",0,284.75,"C Marc Gasol SG Klay Thompson PG Tyreke Evans PF Omri Casspi UTIL DeAndre Jordan G Austin Rivers SF T.J. Warren F Josh Jackson",NA,"Marc Gasol","C","40.78%",43.25
1,965533234,"slabarena (3/6)",0,284.75,"UTIL Marc Gasol SG Klay Thompson G Tyreke Evans SF Omri Casspi C DeAndre Jordan PG Austin Rivers PF T.J. Warren F Josh Jackson",NA,"Milos Teodosic","SG","29.25%",24.25
12,965163605,"Elmatador25",0,283.25,"UTIL Marc Gasol SG Klay Thompson PG Tyreke Evans F Omri Casspi SF Patrick McCaw C DeAndre Jordan G Austin Rivers PF T.J. Warren",NA,"Greg Monroe","F","29.10%",0
12,965519278,"mikn (2/2)",0,283.25,"UTIL Marc Gasol G Klay Thompson SG Tyreke Evans SF Omri Casspi F Patrick McCaw C DeAndre Jordan PG Austin Rivers PF T.J. Warren",NA,"Lou Williams","PG","27.59%",21.75
14,964993566,"coletodd",0,281.25,"UTIL Marc Gasol SG Klay Thompson C DeAndre Jordan G Milos Teodosic PG Austin Rivers PF Alex Len SF T.J. Warren F Josh Jackson",NA,"JaMychal Green","PF","26.60%",14.5
14,965449910,"tiny1958",0,281.25,"UTIL Marc Gasol SG Klay Thompson C DeAndre Jordan PG Milos Teodosic G Austin Rivers F Alex Len PF T.J. Warren SF Josh Jackson",NA,"Jordan Bell","UTIL","25.80%",18
16,965485875,"fairyfingerz (2/4)",0,280.75,"C Marc Gasol SG Klay Thompson PG Tyreke Evans PF Jordan Bell UTIL DeAndre Jordan G Austin Rivers SF T.J. Warren F Josh Jackson",NA,"David West","F","14.26%",19.5
16,965535068,"NascarDad123 (20/20)",0,280.75,"C Marc Gasol SG Klay Thompson PG Tyreke Evans F Jordan Bell UTIL DeAndre Jordan G Austin Rivers PF T.J. Warren SF Josh Jackson",NA,"Andrew Harrison","SG","13.06%",13.5
18,964769624,"solid72768 (6/8)",0,280.25,"C Marc Gasol G Klay Thompson PG Tyreke Evans SF Omri Casspi UTIL DeAndre Jordan PF Jamil Wilson SG Austin Rivers F T.J. Warren",NA,"Josh Jackson","F","12.60%",26
18,964827292,"renza4699",0,280.25,"UTIL Marc Gasol G Klay Thompson SG Tyreke Evans PF Omri Casspi C DeAndre Jordan F Jamil Wilson PG Austin Rivers SF T.J. Warren",NA,"Patrick McCaw","G","12.14%",24.5
18,965116725,"b1gmdub (3/4)",0,280.25,"UTIL Marc Gasol G Klay Thompson PG Tyreke Evans SF Omri Casspi C DeAndre Jordan F Jamil Wilson SG Austin Rivers PF T.J. Warren",NA,"Jamil Wilson","F","10.60%",21.5
18,965169416,"martin1307",0,280.25,"UTIL Marc Gasol G Klay Thompson PG Tyreke Evans PF Omri Casspi C DeAndre Jordan F Jamil Wilson SG Austin Rivers SF T.J. Warren",NA,"Tyson Chandler","C","10.41%",10
