"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,964829281,"IA2016 (5/6)",0,356,"SG James Harden C Karl-Anthony Towns UTIL DeAndre Jordan PF Kyle Kuzma PG Tyler Johnson F Trevor Ariza SF P.J. Tucker G Josh Hart",NA,"Josh Hart","SG","33.89%",27.5
2,965137027,"AusGeeked",0,349.75,"PG James Harden C DeAndre Jordan UTIL Harrison Barnes PF Zach Randolph F Kyle Kuzma G Dennis Smith Jr. SF Trevor Ariza SG Josh Hart",NA,"Chris Paul","PG","26.52%",20.75
3,964903492,"Jazz12man (10/20)",0,338.5,"SG James Harden C Karl-Anthony Towns PG Lonzo Ball UTIL Kelly Olynyk G Tyler Johnson F Trevor Ariza SF Allen Crabbe PF P.J. Tucker",NA,"James Harden","PG","25.50%",71.25
4,964843108,"Glaze (1/17)",0,333,"PG James Harden C Andre Drummond F Harrison Barnes UTIL Kyle Kuzma PF Kelly Olynyk G Tyler Johnson SF Stanley Johnson SG Josh Hart",NA,"Jordan Mickey","F","21.79%",19.5
4,964852293,"Glaze (4/17)",0,333,"PG James Harden C Andre Drummond F Harrison Barnes UTIL Kyle Kuzma PF Kelly Olynyk G Tyler Johnson SF Stanley Johnson SG Josh Hart",NA,"Julius Randle","PF","21.74%",6.25
4,964852298,"Glaze (7/17)",0,333,"PG James Harden C Andre Drummond F Harrison Barnes UTIL Kyle Kuzma PF Kelly Olynyk G Tyler Johnson SF Stanley Johnson SG Josh Hart",NA,"Victor Oladipo","PG","21.06%",34.75
4,964852316,"Glaze (10/17)",0,333,"PG James Harden C Andre Drummond F Harrison Barnes UTIL Kyle Kuzma PF Kelly Olynyk G Tyler Johnson SF Stanley Johnson SG Josh Hart",NA,"Kevin Durant","SF","20.48%",38
4,964852321,"Glaze (13/17)",0,333,"PG James Harden C Andre Drummond F Harrison Barnes UTIL Kyle Kuzma PF Kelly Olynyk G Tyler Johnson SF Stanley Johnson SG Josh Hart",NA,"Nikola Vucevic","UTIL","18.53%",38.5
9,964771338,"ladystarfire",0,332.25,"SG James Harden G Brandon Ingram PF T.J. Warren UTIL Jeff Teague PG Elfrid Payton C Pau Gasol F Lauri Markkanen SF Denzel Valentine",NA,"DeAndre Jordan","C","18.09%",39.5
9,964910978,"mpr3eagle2 (8/20)",0,332.25,"SG James Harden C Karl-Anthony Towns UTIL Jeff Teague F Kyle Kuzma PF Julius Randle PG Tyler Johnson SF Trevor Ariza G Josh Hart",NA,"Kyle Kuzma","SF","17.09%",58.25
11,965308605,"brizliz",0,328,"PG James Harden C DeAndre Jordan UTIL Lonzo Ball G Brandon Ingram SF Kyle Kuzma F Trevor Ariza PF Jordan Mickey SG Torrey Craig",NA,"P.J. Tucker","F","15.96%",27
12,964338100,"David956",0,326.5,"PG James Harden SG Victor Oladipo F Jayson Tatum PF Pau Gasol G Eric Gordon SF Trevor Ariza UTIL Jeremy Lamb C Dirk Nowitzki",NA,"Nikola Mirotic","UTIL","15.33%",33
13,964733510,"ItsTechTron (4/4)",0,325.5,"G Russell Westbrook UTIL Jimmy Butler C DeAndre Jordan PF Kyle Kuzma SG Eric Gordon F Trevor Ariza SF P.J. Tucker PG Josh Hart",NA,"Isaiah Canaan","SG","15.14%",18.5
14,965428874,"adifiore42",0,321,"PG Kyrie Irving SF Harrison Barnes F Nikola Mirotic C Zach Randolph UTIL Kyle Kuzma G Jamal Murray PF Jayson Tatum SG Tyler Johnson",NA,"Brandon Ingram","SF","14.85%",33
15,965082399,"Waffles2003 (1/15)",0,320.75,"SG James Harden UTIL Nikola Vucevic PF Nikola Mirotic SF Josh Richardson F Kyle Kuzma PG George Hill C Jordan Mickey G Josh Hart",NA,"Mario Hezonja","SG","14.25%",15
15,965091821,"Waffles2003 (6/15)",0,320.75,"SG James Harden UTIL Nikola Vucevic PF Nikola Mirotic SF Josh Richardson F Kyle Kuzma PG George Hill C Jordan Mickey G Josh Hart",NA,"Justin Holiday","UTIL","12.25%",22.5
