"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SF/PF","Kevin Durant",11600,"MEM@GS 12/20/2017 10:30PM ET",49.47,"GS"
"PG/SG","Stephen Curry",9300,"MEM@GS 12/20/2017 10:30PM ET",46.924,"GS"
"SG/SF","Devin Booker",7800,"PHO@LAC 12/20/2017 10:30PM ET",38.3,"PHO"
"C","Marc Gasol",7700,"MEM@GS 12/20/2017 10:30PM ET",39.742,"MEM"
"PG/SG","Lou Williams",7600,"PHO@LAC 12/20/2017 10:30PM ET",32.58,"LAC"
"PF/C","Draymond Green",7500,"MEM@GS 12/20/2017 10:30PM ET",35.94,"GS"
"C","DeAndre Jordan",7500,"PHO@LAC 12/20/2017 10:30PM ET",34.69,"LAC"
"PF/C","Blake Griffin",7500,"PHO@LAC 12/20/2017 10:30PM ET",43.763,"LAC"
"SG","Klay Thompson",7200,"MEM@GS 12/20/2017 10:30PM ET",33.4,"GS"
"PG/SG","Tyreke Evans",7000,"MEM@GS 12/20/2017 10:30PM ET",33.526,"MEM"
"PG","Mike Conley",6300,"MEM@GS 12/20/2017 10:30PM ET",28.771,"MEM"
"SF/PF","T.J. Warren",6200,"PHO@LAC 12/20/2017 10:30PM ET",30.094,"PHO"
"SF/PF","Danilo Gallinari",5700,"PHO@LAC 12/20/2017 10:30PM ET",24.591,"LAC"
"PG/SG","Austin Rivers",5700,"PHO@LAC 12/20/2017 10:30PM ET",25.611,"LAC"
"PF/C","Alex Len",5600,"PHO@LAC 12/20/2017 10:30PM ET",25.407,"PHO"
"PG/SG","Milos Teodosic",5200,"PHO@LAC 12/20/2017 10:30PM ET",20.708,"LAC"
"SF/PF","Omri Casspi",4700,"MEM@GS 12/20/2017 10:30PM ET",15.769,"GS"
"PF/C","Jordan Bell",4700,"MEM@GS 12/20/2017 10:30PM ET",13.5,"GS"
"SF/PF","JaMychal Green",4500,"MEM@GS 12/20/2017 10:30PM ET",20.722,"MEM"
"PF/C","Greg Monroe",4500,"PHO@LAC 12/20/2017 10:30PM ET",23.103,"PHO"
"PG/SG","Isaiah Canaan",4500,"PHO@LAC 12/20/2017 10:30PM ET",22.833,"PHO"
"SG/SF","Andre Iguodala",4300,"MEM@GS 12/20/2017 10:30PM ET",18.644,"GS"
"C","Tyson Chandler",4300,"PHO@LAC 12/20/2017 10:30PM ET",22.37,"PHO"
"PG/SG","Andrew Harrison",4100,"MEM@GS 12/20/2017 10:30PM ET",14.469,"MEM"
"SG/SF","Wesley Johnson",4100,"PHO@LAC 12/20/2017 10:30PM ET",17.045,"LAC"
"PG","Mike James",4000,"PHO@LAC 12/20/2017 10:30PM ET",21.524,"PHO"
"PG","Tyler Ulis",4000,"PHO@LAC 12/20/2017 10:30PM ET",17.968,"PHO"
"SF/PF","Chandler Parsons",3900,"MEM@GS 12/20/2017 10:30PM ET",18.076,"MEM"
"SG","Troy Daniels",3900,"PHO@LAC 12/20/2017 10:30PM ET",11.453,"PHO"
"SG/SF","Josh Jackson",3900,"PHO@LAC 12/20/2017 10:30PM ET",17.172,"PHO"
"PG","Mario Chalmers",3800,"MEM@GS 12/20/2017 10:30PM ET",18.371,"MEM"
"SF/PF","Sam Dekker",3800,"PHO@LAC 12/20/2017 10:30PM ET",8.92,"LAC"
"PG","Jawun Evans",3800,"PHO@LAC 12/20/2017 10:30PM ET",11.432,"LAC"
"SG/SF","Dillon Brooks",3700,"MEM@GS 12/20/2017 10:30PM ET",15.85,"MEM"
"SF/PF","Jamil Wilson",3700,"PHO@LAC 12/20/2017 10:30PM ET",11.659,"LAC"
"PF/C","Marquese Chriss",3700,"PHO@LAC 12/20/2017 10:30PM ET",16.406,"PHO"
"PG/SG","Shaun Livingston",3600,"MEM@GS 12/20/2017 10:30PM ET",11.038,"GS"
"PF/C","Montrezl Harrell",3600,"PHO@LAC 12/20/2017 10:30PM ET",12.935,"LAC"
"PF/C","David West",3500,"MEM@GS 12/20/2017 10:30PM ET",16.875,"GS"
"PF/C","Jarell Martin",3400,"MEM@GS 12/20/2017 10:30PM ET",10.973,"MEM"
"SF/PF","Kevon Looney",3400,"MEM@GS 12/20/2017 10:30PM ET",8.663,"GS"
"PG/SF","Patrick McCaw",3400,"MEM@GS 12/20/2017 10:30PM ET",9.18,"GS"
"SF/PF","Dragan Bender",3400,"PHO@LAC 12/20/2017 10:30PM ET",12.914,"PHO"
"C","Zaza Pachulia",3300,"MEM@GS 12/20/2017 10:30PM ET",14.6,"GS"
"SG","Nick Young",3300,"MEM@GS 12/20/2017 10:30PM ET",10.821,"GS"
"SG/SF","James Ennis III",3300,"MEM@GS 12/20/2017 10:30PM ET",14.25,"MEM"
"SG/SF","Ben McLemore",3300,"MEM@GS 12/20/2017 10:30PM ET",12.263,"MEM"
"SG","C.J. Williams",3300,"PHO@LAC 12/20/2017 10:30PM ET",8.656,"LAC"
"C","JaVale McGee",3200,"MEM@GS 12/20/2017 10:30PM ET",8.769,"GS"
"PF","Jared Dudley",3200,"PHO@LAC 12/20/2017 10:30PM ET",11.5,"PHO"
"PG","Quinn Cook",3100,"MEM@GS 12/20/2017 10:30PM ET",6.781,"GS"
"PF/C","Brandan Wright",3000,"MEM@GS 12/20/2017 10:30PM ET",13.234,"MEM"
"C","Damian Jones",3000,"MEM@GS 12/20/2017 10:30PM ET",0,"GS"
"PF","Vince Hunter",3000,"MEM@GS 12/20/2017 10:30PM ET",3,"MEM"
"PG/SG","Wayne Selden Jr.",3000,"MEM@GS 12/20/2017 10:30PM ET",8.25,"MEM"
"PF/C","Ivan Rabb",3000,"MEM@GS 12/20/2017 10:30PM ET",0.75,"MEM"
"PF/C","Deyonta Davis",3000,"MEM@GS 12/20/2017 10:30PM ET",10.574,"MEM"
"PF","Chris Boucher",3000,"MEM@GS 12/20/2017 10:30PM ET",0,"GS"
"SG","Kobi Simmons",3000,"MEM@GS 12/20/2017 10:30PM ET",3.25,"MEM"
"PG/SG","Patrick Beverley",3000,"PHO@LAC 12/20/2017 10:30PM ET",25.977,"LAC"
"C","Willie Reed",3000,"PHO@LAC 12/20/2017 10:30PM ET",9.927,"LAC"
"PG/SG","Brandon Knight",3000,"PHO@LAC 12/20/2017 10:30PM ET",0,"PHO"
"C","Alan Williams",3000,"PHO@LAC 12/20/2017 10:30PM ET",0,"PHO"
"SG/SF","Danuel House",3000,"PHO@LAC 12/20/2017 10:30PM ET",6.313,"PHO"
"PF/C","Brice Johnson",3000,"PHO@LAC 12/20/2017 10:30PM ET",5.969,"LAC"
"SG/SF","Davon Reed",3000,"PHO@LAC 12/20/2017 10:30PM ET",0,"PHO"
"SG","Sindarius Thornwell",3000,"PHO@LAC 12/20/2017 10:30PM ET",8.629,"LAC"
"PF","Alec Peters",3000,"PHO@LAC 12/20/2017 10:30PM ET",3.75,"PHO"
