"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"SF/PF","Kevin Durant",11600,"MEM@GS 12/20/2017 10:30PM ET",49.47,"GS","MEM",0,55.1,38
"PG/SG","Stephen Curry",9300,"MEM@GS 12/20/2017 10:30PM ET",46.924,"GS","MEM",0,0,0
"SG/SF","Devin Booker",7800,"PHO@LAC 12/20/2017 10:30PM ET",38.3,"PHO","LAC",0,0,0
"C","Marc Gasol",7700,"MEM@GS 12/20/2017 10:30PM ET",39.742,"MEM","GS",0,37.6,43.25
"PG/SG","Lou Williams",7600,"PHO@LAC 12/20/2017 10:30PM ET",32.58,"LAC","PHO",0,40.1,0
"PF/C","Draymond Green",7500,"MEM@GS 12/20/2017 10:30PM ET",35.94,"GS","MEM",0,0,0
"C","DeAndre Jordan",7500,"PHO@LAC 12/20/2017 10:30PM ET",34.69,"LAC","PHO",0,39.1,39.5
"PF/C","Blake Griffin",7500,"PHO@LAC 12/20/2017 10:30PM ET",43.763,"LAC","PHO",0,0,0
"SG","Klay Thompson",7200,"MEM@GS 12/20/2017 10:30PM ET",33.4,"GS","MEM",0,34.9,43
"PG/SG","Tyreke Evans",7000,"MEM@GS 12/20/2017 10:30PM ET",33.526,"MEM","GS",0,35.3,30
"PG","Mike Conley",6300,"MEM@GS 12/20/2017 10:30PM ET",28.771,"MEM","GS",0,0,0
"SF/PF","TJ Warren",6200,"PHO@LAC 12/20/2017 10:30PM ET",30.094,"PHO","LAC",0,31.1,45.5
"SF/PF","Danilo Gallinari",5700,"PHO@LAC 12/20/2017 10:30PM ET",24.591,"LAC","PHO",0,0,0
"PG/SG","Austin Rivers",5700,"PHO@LAC 12/20/2017 10:30PM ET",25.611,"LAC","PHO",0,30.7,35.5
"PF/C","Alex Len",5600,"PHO@LAC 12/20/2017 10:30PM ET",25.407,"PHO","LAC",0,27.9,24.25
