"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"SF/PF","Kevin Durant",11600,"MEM@GS 12/20/2017 10:30PM ET",49.47,"GS","MEM",0,55.1,38
"PG","Russell Westbrook",11400,"UTA@OKC 12/20/2017 08:00PM ET",54.725,"OKC","UTA",0,55.2,56
"PG/SG","James Harden",11000,"LAL@HOU 12/20/2017 08:00PM ET",56.586,"HOU","LAL",0,58.7,71.25
"PG/SG","Chris Paul",9800,"LAL@HOU 12/20/2017 08:00PM ET",44.433,"HOU","LAL",0,52.9,20.75
"C","Nikola Vucevic",9400,"ORL@CHI 12/20/2017 08:00PM ET",40.169,"ORL","CHI",0,44.6,38.5
"PG/SG","Stephen Curry",9300,"MEM@GS 12/20/2017 10:30PM ET",46.924,"GS","MEM",0,0,0
"PG/SG","Victor Oladipo",9200,"IND@ATL 12/20/2017 07:30PM ET",43.167,"IND","ATL",0,46.6,34.75
"C","Andre Drummond",9100,"DET@DAL 12/20/2017 08:30PM ET",43.308,"DET","DAL",0,43.1,31.25
"C","Karl-Anthony Towns",9000,"MIN@DEN 12/20/2017 09:00PM ET",43.355,"MIN","DEN",0,47.3,48.5
"SG","Jimmy Butler",8800,"MIN@DEN 12/20/2017 09:00PM ET",38.5,"MIN","DEN",0,40.8,36.5
"PG","Damian Lillard",8500,"SA@POR 12/20/2017 10:00PM ET",44.583,"POR","SA",0,41.6,30.5
"SG/SF","DeMar DeRozan",8300,"TOR@CHA 12/20/2017 07:00PM ET",38.946,"TOR","CHA",0,39.4,41.5
"PG","Kyle Lowry",8200,"TOR@CHA 12/20/2017 07:00PM ET",38.143,"TOR","CHA",0,40.1,26.75
"C","Nikola Jokic",8100,"MIN@DEN 12/20/2017 09:00PM ET",39.239,"DEN","MIN",0,42.9,35.5
"PG","Kyrie Irving",8000,"MIA@BOS 12/20/2017 07:30PM ET",38.661,"BOS","MIA",0,38.8,49.5
"PF/C","LaMarcus Aldridge",7800,"SA@POR 12/20/2017 10:00PM ET",39.133,"SA","POR",0,33.8,37
"SG/SF","Devin Booker",7800,"PHO@LAC 12/20/2017 10:30PM ET",38.3,"PHO","LAC",0,0,0
"C","Marc Gasol",7700,"MEM@GS 12/20/2017 10:30PM ET",39.742,"MEM","GS",0,37.6,43.25
"C","Dwight Howard",7600,"TOR@CHA 12/20/2017 07:00PM ET",36.408,"CHA","TOR",0,38.4,26.75
"PG/SG","Lou Williams",7600,"PHO@LAC 12/20/2017 10:30PM ET",32.58,"LAC","PHO",0,40.1,0
"SF/PF","Aaron Gordon",7500,"ORL@CHI 12/20/2017 08:00PM ET",35.904,"ORL","CHI",0,0,0
