"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,965231886,"BIGNEWT",0,310.5,"UTIL Pau Gasol SF Wilson Chandler PF Taj Gibson PG Jeff Teague SG Jimmy Butler F Mason Plumlee C Karl-Anthony Towns G Jamal Murray",NA,"Damian Lillard","PG","62.21%",30.5
2,965152916,"dwill52",0,305,"F Pau Gasol PF LaMarcus Aldridge SG CJ McCollum UTIL Jamal Crawford G Jeff Teague SF Andrew Wiggins C Karl-Anthony Towns PG Jamal Murray",NA,"Karl-Anthony Towns","C","55.71%",48.5
3,964758194,"rakeriffin (1/2)",0,303.5,"G Manu Ginobili PF Pau Gasol PG Damian Lillard SF Wilson Chandler UTIL Jimmy Butler F Mason Plumlee C Karl-Anthony Towns SG Jamal Murray",NA,"LaMarcus Aldridge","PF","51.89%",37
4,965175607,"sweendineen",0,301,"F Pau Gasol PF LaMarcus Aldridge SF Kyle Anderson G Dejounte Murray SG Jimmy Butler C Mason Plumlee UTIL Karl-Anthony Towns PG Jamal Murray",NA,"Jimmy Butler","SG","51.42%",36.5
5,964756334,"ChopChamp1222",0,300.25,"F Pau Gasol G Damian Lillard UTIL CJ McCollum SF Wilson Chandler PF Mason Plumlee SG Will Barton C Karl-Anthony Towns PG Jamal Murray",NA,"Will Barton","SF","44.07%",24.25
6,965071604,"jrodjr918",0,297.75,"F Pau Gasol G Jamal Crawford SF Wilson Chandler SG Jimmy Butler UTIL Nikola Jokic C Karl-Anthony Towns PF Trey Lyles PG Jamal Murray",NA,"CJ McCollum","SG","43.23%",30.25
7,965466075,"asquillace (2/2)",0,296.75,"UTIL Pau Gasol PF LaMarcus Aldridge PG CJ McCollum F Wilson Chandler G Jeff Teague C Karl-Anthony Towns SF Trey Lyles SG Jamal Murray",NA,"Jamal Murray","SG","43.09%",45
8,965488236,"bjbuc",0,296.5,"C Pau Gasol PF LaMarcus Aldridge SF Al-Farouq Aminu PG Kyle Anderson G Jeff Teague F Will Barton UTIL Karl-Anthony Towns SG Jamal Murray",NA,"Mason Plumlee","UTIL","36.02%",40.5
9,965437254,"CGilbert88 (2/2)",0,296.25,"UTIL Pau Gasol F LaMarcus Aldridge PG Dejounte Murray SG Jimmy Butler PF Mason Plumlee C Karl-Anthony Towns SF Trey Lyles G Jamal Murray",NA,"Taj Gibson","PF","35.30%",22.25
10,965339704,"trillamaine",0,295.5,"PF Pau Gasol SG Jamal Crawford F Taj Gibson PG Jeff Teague SF Andrew Wiggins UTIL Nikola Jokic C Karl-Anthony Towns G Jamal Murray",NA,"Jeff Teague","PG","35.04%",36.5
10,965393985,"jsmith261987",0,295.5,"PF Pau Gasol SF Al-Farouq Aminu G Damian Lillard F Wilson Chandler PG Jeff Teague UTIL Will Barton C Karl-Anthony Towns SG Jamal Murray",NA,"Trey Lyles","SF","34.62%",18.25
10,965478294,"mmmfriedchicken",0,295.5,"F Pau Gasol UTIL CJ McCollum G Dejounte Murray SG Jimmy Butler PF Mason Plumlee SF Will Barton C Karl-Anthony Towns PG Jamal Murray",NA,"Dejounte Murray","PG","32.74%",17.75
13,964629336,"writdog (1/2)",0,294.75,"F Pau Gasol PF LaMarcus Aldridge C Taj Gibson PG Jeff Teague SG Jimmy Butler UTIL Mason Plumlee SF Will Barton G Jamal Murray",NA,"Andrew Wiggins","PF","29.91%",22.25
13,964924401,"trustyct (1/3)",0,294.75,"F Pau Gasol SF Al-Farouq Aminu PG Damian Lillard UTIL Jeff Teague SG Jimmy Butler PF Mason Plumlee G Torrey Craig C Karl-Anthony Towns",NA,"Rudy Gay","SF","29.46%",10.75
13,965252263,"kday17",0,294.75,"PF Pau Gasol G Dejounte Murray SG Jimmy Butler F Mason Plumlee UTIL Nikola Jokic C Karl-Anthony Towns SF Trey Lyles PG Jamal Murray",NA,"Nikola Jokic","UTIL","28.93%",35.5
16,964600540,"Kunu22 (1/2)",0,294.5,"UTIL Pau Gasol F LaMarcus Aldridge SF Al-Farouq Aminu G Kyle Anderson PF Taj Gibson PG Jeff Teague C Karl-Anthony Towns SG Jamal Murray",NA,"Wilson Chandler","F","27.98%",28.5
17,965037046,"Aztec09",0,294,"UTIL Pau Gasol G CJ McCollum PF Taj Gibson SG Jimmy Butler F Mason Plumlee C Karl-Anthony Towns SF Trey Lyles PG Jamal Murray",NA,"Al-Farouq Aminu","UTIL","27.05%",29.5
18,965008691,"HisExcellency",0,293.5,"PF Pau Gasol UTIL Al-Farouq Aminu PG Damian Lillard SF Wilson Chandler F Taj Gibson G Jeff Teague C Karl-Anthony Towns SG Jamal Murray",NA,"Jusuf Nurkic","C","22.37%",23.5
19,965048590,"RobbAllen215",0,293.25,"PF Pau Gasol SF Al-Farouq Aminu PG Damian Lillard G Jamal Crawford SG Jimmy Butler F Mason Plumlee UTIL Andrew Wiggins C Karl-Anthony Towns",NA,"Evan Turner","SG","20.41%",18.25
20,965464785,"phish41 (1/2)",0,292.75,"SF Manu Ginobili UTIL Pau Gasol PF LaMarcus Aldridge SG Jimmy Butler F Mason Plumlee G Will Barton C Nikola Jokic PG Jamal Murray",NA,"Torrey Craig","F","16.96%",20
21,964602988,"Blackmoney247 (3/8)",0,292.5,"PF LaMarcus Aldridge SF Wilson Chandler G Jeff Teague SG Jimmy Butler F Mason Plumlee UTIL Torrey Craig C Karl-Anthony Towns PG Jamal Murray",NA,"Pau Gasol","PF","14.89%",52.75
21,964603034,"Blackmoney247 (5/8)",0,292.5,"PF LaMarcus Aldridge SF Wilson Chandler G Jeff Teague SG Jimmy Butler F Mason Plumlee UTIL Torrey Craig C Karl-Anthony Towns PG Jamal Murray",NA,"Patty Mills","G","11.24%",12.75
21,965158645,"moneylu",0,292.5,"C LaMarcus Aldridge SF Wilson Chandler G Jeff Teague SG Jimmy Butler PF Mason Plumlee F Torrey Craig UTIL Karl-Anthony Towns PG Jamal Murray",NA,"Manu Ginobili","SG","7.93%",21.25
