"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG/SG","Victor Oladipo",9200,"IND@ATL 12/20/2017 07:30PM ET",43.167,"IND"
"PG","Kyrie Irving",8000,"MIA@BOS 12/20/2017 07:30PM ET",38.661,"BOS"
"PG","Dennis Schroder",7300,"IND@ATL 12/20/2017 07:30PM ET",35.089,"ATL"
"PF/C","Al Horford",7300,"MIA@BOS 12/20/2017 07:30PM ET",35.767,"BOS"
"C","Hassan Whiteside",7000,"MIA@BOS 12/20/2017 07:30PM ET",36.95,"MIA"
"PG/SG","D'Angelo Russell",6800,"SAC@BKN 12/20/2017 07:30PM ET",36.458,"BKN"
"PG/SG","Spencer Dinwiddie",6700,"SAC@BKN 12/20/2017 07:30PM ET",28.25,"BKN"
"C","Myles Turner",6600,"IND@ATL 12/20/2017 07:30PM ET",30.677,"IND"
"SG/SF","Kent Bazemore",6500,"IND@ATL 12/20/2017 07:30PM ET",28.717,"ATL"
"SG/SF","Taurean Prince",6400,"IND@ATL 12/20/2017 07:30PM ET",26.825,"ATL"
"SF/PF","Thaddeus Young",6200,"IND@ATL 12/20/2017 07:30PM ET",28.194,"IND"
"SF/PF","James Johnson",6200,"MIA@BOS 12/20/2017 07:30PM ET",26.455,"MIA"
"SG/SF","Dion Waiters",6200,"MIA@BOS 12/20/2017 07:30PM ET",25.509,"MIA"
"PF/C","Zach Randolph",6200,"SAC@BKN 12/20/2017 07:30PM ET",29.24,"SAC"
"PG","Goran Dragic",6100,"MIA@BOS 12/20/2017 07:30PM ET",29.862,"MIA"
"SF/PF","Rondae Hollis-Jefferson",6100,"SAC@BKN 12/20/2017 07:30PM ET",27.663,"BKN"
"SG/SF","Josh Richardson",5900,"MIA@BOS 12/20/2017 07:30PM ET",22.117,"MIA"
"PG","Darren Collison",5600,"IND@ATL 12/20/2017 07:30PM ET",28.233,"IND"
"SF/PF","Jayson Tatum",5600,"MIA@BOS 12/20/2017 07:30PM ET",26.811,"BOS"
"SG/SF","Caris LeVert",5600,"SAC@BKN 12/20/2017 07:30PM ET",24.25,"BKN"
"PF/C","Domantas Sabonis",5500,"IND@ATL 12/20/2017 07:30PM ET",26.336,"IND"
"PF/C","Kelly Olynyk",5400,"MIA@BOS 12/20/2017 07:30PM ET",21.142,"MIA"
"SG/SF","Jaylen Brown",5400,"MIA@BOS 12/20/2017 07:30PM ET",26.54,"BOS"
"PF/C","Willie Cauley-Stein",5400,"SAC@BKN 12/20/2017 07:30PM ET",23.865,"SAC"
"PF/C","John Collins",5300,"IND@ATL 12/20/2017 07:30PM ET",24.302,"ATL"
"C","Dewayne Dedmon",5200,"IND@ATL 12/20/2017 07:30PM ET",25.038,"ATL"
"SF/PF","Ersan Ilyasova",5100,"IND@ATL 12/20/2017 07:30PM ET",20.303,"ATL"
"SG/SF","Marcus Smart",5100,"MIA@BOS 12/20/2017 07:30PM ET",24.363,"BOS"
"PG/SG","Tyler Johnson",4900,"MIA@BOS 12/20/2017 07:30PM ET",20.866,"MIA"
"SF/PF","DeMarre Carroll",4900,"SAC@BKN 12/20/2017 07:30PM ET",27.029,"BKN"
"PG/SG","George Hill",4800,"SAC@BKN 12/20/2017 07:30PM ET",19.769,"SAC"
"SG/SF","Buddy Hield",4700,"SAC@BKN 12/20/2017 07:30PM ET",21.731,"SAC"
"SF/PF","Marcus Morris",4600,"MIA@BOS 12/20/2017 07:30PM ET",23.281,"BOS"
"PF/C","Bam Adebayo",4600,"MIA@BOS 12/20/2017 07:30PM ET",15.393,"MIA"
"SG/SF","Bogdan Bogdanovic",4500,"SAC@BKN 12/20/2017 07:30PM ET",19.231,"SAC"
"SG/SF","Bojan Bogdanovic",4400,"IND@ATL 12/20/2017 07:30PM ET",21.758,"IND"
"SG/SF","Allen Crabbe",4400,"SAC@BKN 12/20/2017 07:30PM ET",21.61,"BKN"
"SG/SF","Lance Stephenson",4300,"IND@ATL 12/20/2017 07:30PM ET",19.75,"IND"
"PG/SG","Terry Rozier",4300,"MIA@BOS 12/20/2017 07:30PM ET",19.909,"BOS"
"PG","De'Aaron Fox",4300,"SAC@BKN 12/20/2017 07:30PM ET",20.25,"SAC"
"SG/SF","Wayne Ellington",4000,"MIA@BOS 12/20/2017 07:30PM ET",15.95,"MIA"
"PG/SG","Frank Mason III",4000,"SAC@BKN 12/20/2017 07:30PM ET",15.841,"SAC"
"PG","Cory Joseph",3900,"IND@ATL 12/20/2017 07:30PM ET",17.871,"IND"
"C","Aron Baynes",3900,"MIA@BOS 12/20/2017 07:30PM ET",15.152,"BOS"
"SF/PF","Justise Winslow",3900,"MIA@BOS 12/20/2017 07:30PM ET",18,"MIA"
"SG/SF","Joe Harris",3900,"SAC@BKN 12/20/2017 07:30PM ET",17.407,"BKN"
"PF","Tyler Cavanaugh",3800,"IND@ATL 12/20/2017 07:30PM ET",12.145,"ATL"
"C","Jahlil Okafor",3800,"SAC@BKN 12/20/2017 07:30PM ET",13.75,"BKN"
"SG","Marco Belinelli",3700,"IND@ATL 12/20/2017 07:30PM ET",20.042,"ATL"
"SG/SF","Glenn Robinson III",3700,"IND@ATL 12/20/2017 07:30PM ET",0,"IND"
"PF/C","Jordan Mickey",3700,"MIA@BOS 12/20/2017 07:30PM ET",12.889,"MIA"
"PG/SG","Garrett Temple",3600,"SAC@BKN 12/20/2017 07:30PM ET",16,"SAC"
"C","Kosta Koufos",3600,"SAC@BKN 12/20/2017 07:30PM ET",16.302,"SAC"
"PG/SG","Nik Stauskas",3600,"SAC@BKN 12/20/2017 07:30PM ET",6.563,"BKN"
"PG/SG","Malcolm Delaney",3500,"IND@ATL 12/20/2017 07:30PM ET",11.682,"ATL"
"SG/SF","DeAndre' Bembry",3500,"IND@ATL 12/20/2017 07:30PM ET",12.078,"ATL"
"C","Tyler Zeller",3500,"SAC@BKN 12/20/2017 07:30PM ET",16.881,"BKN"
"PF/C","Daniel Theis",3400,"MIA@BOS 12/20/2017 07:30PM ET",11.734,"BOS"
"PF/C","Jarrett Allen",3400,"SAC@BKN 12/20/2017 07:30PM ET",13.175,"BKN"
"C","Miles Plumlee",3300,"IND@ATL 12/20/2017 07:30PM ET",10.568,"ATL"
"PG","Isaiah Taylor",3300,"IND@ATL 12/20/2017 07:30PM ET",11.565,"ATL"
"PG","Shane Larkin",3300,"MIA@BOS 12/20/2017 07:30PM ET",8.135,"BOS"
"PF/C","Quincy Acy",3300,"SAC@BKN 12/20/2017 07:30PM ET",12.063,"BKN"
"SF/PF","Jakarr Sampson",3300,"SAC@BKN 12/20/2017 07:30PM ET",13.75,"SAC"
"PF/C","Skal Labissiere",3300,"SAC@BKN 12/20/2017 07:30PM ET",14.796,"SAC"
"PF/C","Al Jefferson",3200,"IND@ATL 12/20/2017 07:30PM ET",15.5,"IND"
"SG/SF","Semi Ojeleye",3200,"MIA@BOS 12/20/2017 07:30PM ET",6.32,"BOS"
"PG/SG","Isaiah Whitehead",3200,"SAC@BKN 12/20/2017 07:30PM ET",13.75,"BKN"
"SF/PF","Luke Babbitt",3100,"IND@ATL 12/20/2017 07:30PM ET",12.796,"ATL"
"SG/SF","Vince Carter",3100,"SAC@BKN 12/20/2017 07:30PM ET",8.263,"SAC"
"SG/SF","Damien Wilkins",3000,"IND@ATL 12/20/2017 07:30PM ET",2.893,"IND"
"C","Mike Muscala",3000,"IND@ATL 12/20/2017 07:30PM ET",16.333,"ATL"
"PG/SG","Joe Young",3000,"IND@ATL 12/20/2017 07:30PM ET",4.141,"IND"
"SF","Alex Poythress",3000,"IND@ATL 12/20/2017 07:30PM ET",1.929,"IND"
"PG","Josh Magette",3000,"IND@ATL 12/20/2017 07:30PM ET",6.188,"ATL"
"PG","Edmond Sumner",3000,"IND@ATL 12/20/2017 07:30PM ET",0,"IND"
"PG/SG","Tyler Dorsey",3000,"IND@ATL 12/20/2017 07:30PM ET",4.05,"ATL"
"PF/C","Ike Anigbogu",3000,"IND@ATL 12/20/2017 07:30PM ET",2,"IND"
"SF/PF","TJ Leaf",3000,"IND@ATL 12/20/2017 07:30PM ET",6.39,"IND"
"PF/C","Udonis Haslem",3000,"MIA@BOS 12/20/2017 07:30PM ET",1.875,"MIA"
"SG/SF","Gordon Hayward",3000,"MIA@BOS 12/20/2017 07:30PM ET",3.25,"BOS"
"SG/SF","Rodney McGruder",3000,"MIA@BOS 12/20/2017 07:30PM ET",0,"MIA"
"SF/PF","Okaro White",3000,"MIA@BOS 12/20/2017 07:30PM ET",8.45,"MIA"
"PF","Abdel Nader",3000,"MIA@BOS 12/20/2017 07:30PM ET",3.911,"BOS"
"C","A.J. Hammons",3000,"MIA@BOS 12/20/2017 07:30PM ET",0,"MIA"
"SG","Matt Williams Jr.",3000,"MIA@BOS 12/20/2017 07:30PM ET",0,"MIA"
"PG/SG","Derrick Walton Jr.",3000,"MIA@BOS 12/20/2017 07:30PM ET",1.929,"MIA"
