"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"PG/SG","Victor Oladipo",9200,"IND@ATL 12/20/2017 07:30PM ET",43.167,"IND","ATL",0,46.6,34.75
"PG","Kyrie Irving",8000,"MIA@BOS 12/20/2017 07:30PM ET",38.661,"BOS","MIA",0,38.8,49.5
"PG","Dennis Schroder",7300,"IND@ATL 12/20/2017 07:30PM ET",35.089,"ATL","IND",0,37,27.25
"PF/C","Al Horford",7300,"MIA@BOS 12/20/2017 07:30PM ET",35.767,"BOS","MIA",0,34.3,18.5
"C","Hassan Whiteside",7000,"MIA@BOS 12/20/2017 07:30PM ET",36.95,"MIA","BOS",0,0,0
"PG/SG","D'Angelo Russell",6800,"SAC@BKN 12/20/2017 07:30PM ET",36.458,"BKN","SAC",0,0,0
"PG/SG","Spencer Dinwiddie",6700,"SAC@BKN 12/20/2017 07:30PM ET",28.25,"BKN","SAC",0,33.1,28.25
"C","Myles Turner",6600,"IND@ATL 12/20/2017 07:30PM ET",30.677,"IND","ATL",0,31.5,38
"SG/SF","Kent Bazemore",6500,"IND@ATL 12/20/2017 07:30PM ET",28.717,"ATL","IND",0,28.8,26.25
"SG/SF","Taurean Prince",6400,"IND@ATL 12/20/2017 07:30PM ET",26.825,"ATL","IND",0,26.3,21.5
"SF/PF","Thaddeus Young",6200,"IND@ATL 12/20/2017 07:30PM ET",28.194,"IND","ATL",0,29.1,20
"SF/PF","James Johnson",6200,"MIA@BOS 12/20/2017 07:30PM ET",26.455,"MIA","BOS",0,0,0
"SG/SF","Dion Waiters",6200,"MIA@BOS 12/20/2017 07:30PM ET",25.509,"MIA","BOS",0,30.1,23.75
"PF/C","Zach Randolph",6200,"SAC@BKN 12/20/2017 07:30PM ET",29.24,"SAC","BKN",0,29.5,36.5
"PG","Goran Dragic",6100,"MIA@BOS 12/20/2017 07:30PM ET",29.862,"MIA","BOS",0,0,0
"SF/PF","Rondae Hollis-Jefferson",6100,"SAC@BKN 12/20/2017 07:30PM ET",27.663,"BKN","SAC",0,32.2,31.5
"SG/SF","Josh Richardson",5900,"MIA@BOS 12/20/2017 07:30PM ET",22.117,"MIA","BOS",0,28.2,35.5
"PG","Darren Collison",5600,"IND@ATL 12/20/2017 07:30PM ET",28.233,"IND","ATL",0,26.9,13.75
"SF/PF","Jayson Tatum",5600,"MIA@BOS 12/20/2017 07:30PM ET",26.811,"BOS","MIA",0,25.6,24.25
"SG/SF","Caris LeVert",5600,"SAC@BKN 12/20/2017 07:30PM ET",24.25,"BKN","SAC",0,25.3,26.5
"PF/C","Domantas Sabonis",5500,"IND@ATL 12/20/2017 07:30PM ET",26.336,"IND","ATL",0,22.6,15.5
"PF/C","Kelly Olynyk",5400,"MIA@BOS 12/20/2017 07:30PM ET",21.142,"MIA","BOS",0,26.8,48.75
"SG/SF","Jaylen Brown",5400,"MIA@BOS 12/20/2017 07:30PM ET",26.54,"BOS","MIA",0,25.4,29
"PF/C","Willie Cauley-Stein",5400,"SAC@BKN 12/20/2017 07:30PM ET",23.865,"SAC","BKN",0,27.5,26.25
"PF/C","John Collins",5300,"IND@ATL 12/20/2017 07:30PM ET",24.302,"ATL","IND",0,24.8,29.25
"C","Dewayne Dedmon",5200,"IND@ATL 12/20/2017 07:30PM ET",25.038,"ATL","IND",0,0,0
"SF/PF","Ersan Ilyasova",5100,"IND@ATL 12/20/2017 07:30PM ET",20.303,"ATL","IND",0,25.9,17.75
"SG/SF","Marcus Smart",5100,"MIA@BOS 12/20/2017 07:30PM ET",24.363,"BOS","MIA",0,24.7,29
"PG/SG","Tyler Johnson",4900,"MIA@BOS 12/20/2017 07:30PM ET",20.866,"MIA","BOS",0,28.7,35.25
"SF/PF","DeMarre Carroll",4900,"SAC@BKN 12/20/2017 07:30PM ET",27.029,"BKN","SAC",0,25.2,29.75
"PG/SG","George Hill",4800,"SAC@BKN 12/20/2017 07:30PM ET",19.769,"SAC","BKN",0,23.9,37.25
"SG/SF","Buddy Hield",4700,"SAC@BKN 12/20/2017 07:30PM ET",21.731,"SAC","BKN",0,24.5,6
"SF/PF","Marcus Morris",4600,"MIA@BOS 12/20/2017 07:30PM ET",23.281,"BOS","MIA",0,0,0
"PF/C","Bam Adebayo",4600,"MIA@BOS 12/20/2017 07:30PM ET",15.393,"MIA","BOS",0,24.6,11.75
"SG/SF","Bogdan Bogdanovic",4500,"SAC@BKN 12/20/2017 07:30PM ET",19.231,"SAC","BKN",0,21.3,20.25
"SG/SF","Bojan Bogdanovic",4400,"IND@ATL 12/20/2017 07:30PM ET",21.758,"IND","ATL",0,20.8,23.75
"SG/SF","Allen Crabbe",4400,"SAC@BKN 12/20/2017 07:30PM ET",21.61,"BKN","SAC",0,22.8,21.25
"SG/SF","Lance Stephenson",4300,"IND@ATL 12/20/2017 07:30PM ET",19.75,"IND","ATL",0,22.2,30
"PG/SG","Terry Rozier",4300,"MIA@BOS 12/20/2017 07:30PM ET",19.909,"BOS","MIA",0,17.9,9.25
"PG","De'Aaron Fox",4300,"SAC@BKN 12/20/2017 07:30PM ET",20.25,"SAC","BKN",0,0,0
"SG/SF","Wayne Ellington",4000,"MIA@BOS 12/20/2017 07:30PM ET",15.95,"MIA","BOS",0,21.3,18.5
"PG/SG","Frank Mason III",4000,"SAC@BKN 12/20/2017 07:30PM ET",15.841,"SAC","BKN",0,20.2,12.75
"PG","Cory Joseph",3900,"IND@ATL 12/20/2017 07:30PM ET",17.871,"IND","ATL",0,18.1,18.25
"C","Aron Baynes",3900,"MIA@BOS 12/20/2017 07:30PM ET",15.152,"BOS","MIA",0,17.1,8.25
"SF/PF","Justise Winslow",3900,"MIA@BOS 12/20/2017 07:30PM ET",18,"MIA","BOS",0,0,0
"SG/SF","Joe Harris",3900,"SAC@BKN 12/20/2017 07:30PM ET",17.407,"BKN","SAC",0,15.6,22
"PF","Tyler Cavanaugh",3800,"IND@ATL 12/20/2017 07:30PM ET",12.145,"ATL","IND",0,0,0
"C","Jahlil Okafor",3800,"SAC@BKN 12/20/2017 07:30PM ET",13.75,"BKN","SAC",0,0,0
"SG","Marco Belinelli",3700,"IND@ATL 12/20/2017 07:30PM ET",20.042,"ATL","IND",0,16,18.75
"SG/SF","Glenn Robinson III",3700,"IND@ATL 12/20/2017 07:30PM ET",0,"IND","ATL",0,0,0
"PF/C","Jordan Mickey",3700,"MIA@BOS 12/20/2017 07:30PM ET",12.889,"MIA","BOS",0,19.9,19.5
"PG/SG","Garrett Temple",3600,"SAC@BKN 12/20/2017 07:30PM ET",16,"SAC","BKN",0,13.5,9.75
"C","Kosta Koufos",3600,"SAC@BKN 12/20/2017 07:30PM ET",16.302,"SAC","BKN",0,13.3,26
"PG/SG","Nik Stauskas",3600,"SAC@BKN 12/20/2017 07:30PM ET",6.563,"BKN","SAC",0,8.3,3.5
"PG/SG","Malcolm Delaney",3500,"IND@ATL 12/20/2017 07:30PM ET",11.682,"ATL","IND",0,0,15
"SG/SF","DeAndre' Bembry",3500,"IND@ATL 12/20/2017 07:30PM ET",12.078,"ATL","IND",0,13.7,0
"C","Tyler Zeller",3500,"SAC@BKN 12/20/2017 07:30PM ET",16.881,"BKN","SAC",0,15.4,10.75
"PF/C","Daniel Theis",3400,"MIA@BOS 12/20/2017 07:30PM ET",11.734,"BOS","MIA",0,12.6,12
"PF/C","Jarrett Allen",3400,"SAC@BKN 12/20/2017 07:30PM ET",13.175,"BKN","SAC",0,14.9,12
