"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SF/PF","Kevin Durant",11600,"MEM@GS 12/20/2017 10:30PM ET",49.47,"GS"
"PG","Russell Westbrook",11400,"UTA@OKC 12/20/2017 08:00PM ET",54.725,"OKC"
"PG/SG","James Harden",11000,"LAL@HOU 12/20/2017 08:00PM ET",56.586,"HOU"
"PG/SG","Chris Paul",9800,"LAL@HOU 12/20/2017 08:00PM ET",44.433,"HOU"
"C","Nikola Vucevic",9400,"ORL@CHI 12/20/2017 08:00PM ET",40.169,"ORL"
"PG/SG","Stephen Curry",9300,"MEM@GS 12/20/2017 10:30PM ET",46.924,"GS"
"PG/SG","Victor Oladipo",9200,"IND@ATL 12/20/2017 07:30PM ET",43.167,"IND"
"C","Andre Drummond",9100,"DET@DAL 12/20/2017 08:30PM ET",43.308,"DET"
"C","Karl-Anthony Towns",9000,"MIN@DEN 12/20/2017 09:00PM ET",43.355,"MIN"
"SG","Jimmy Butler",8800,"MIN@DEN 12/20/2017 09:00PM ET",38.5,"MIN"
"PG","Damian Lillard",8500,"SA@POR 12/20/2017 10:00PM ET",44.583,"POR"
"SG/SF","DeMar DeRozan",8300,"TOR@CHA 12/20/2017 07:00PM ET",38.946,"TOR"
"PG","Kyle Lowry",8200,"TOR@CHA 12/20/2017 07:00PM ET",38.143,"TOR"
"C","Nikola Jokic",8100,"MIN@DEN 12/20/2017 09:00PM ET",39.239,"DEN"
"PG","Kyrie Irving",8000,"MIA@BOS 12/20/2017 07:30PM ET",38.661,"BOS"
"PF/C","LaMarcus Aldridge",7800,"SA@POR 12/20/2017 10:00PM ET",39.133,"SA"
"SG/SF","Devin Booker",7800,"PHO@LAC 12/20/2017 10:30PM ET",38.3,"PHO"
"C","Marc Gasol",7700,"MEM@GS 12/20/2017 10:30PM ET",39.742,"MEM"
"C","Dwight Howard",7600,"TOR@CHA 12/20/2017 07:00PM ET",36.408,"CHA"
"PG/SG","Lou Williams",7600,"PHO@LAC 12/20/2017 10:30PM ET",32.58,"LAC"
"SF/PF","Aaron Gordon",7500,"ORL@CHI 12/20/2017 08:00PM ET",35.904,"ORL"
"PF/C","Draymond Green",7500,"MEM@GS 12/20/2017 10:30PM ET",35.94,"GS"
"PF/C","Blake Griffin",7500,"PHO@LAC 12/20/2017 10:30PM ET",43.763,"LAC"
"C","DeAndre Jordan",7500,"PHO@LAC 12/20/2017 10:30PM ET",34.69,"LAC"
"SF","Paul George",7400,"UTA@OKC 12/20/2017 08:00PM ET",38.089,"OKC"
"C","Clint Capela",7400,"LAL@HOU 12/20/2017 08:00PM ET",35.134,"HOU"
"PG","Dennis Schroder",7300,"IND@ATL 12/20/2017 07:30PM ET",35.089,"ATL"
"PF/C","Al Horford",7300,"MIA@BOS 12/20/2017 07:30PM ET",35.767,"BOS"
"PG/SG","Kris Dunn",7200,"ORL@CHI 12/20/2017 08:00PM ET",30.55,"CHI"
"SG","Klay Thompson",7200,"MEM@GS 12/20/2017 10:30PM ET",33.4,"GS"
"PG","Kemba Walker",7100,"TOR@CHA 12/20/2017 07:00PM ET",37.58,"CHA"
"C","Hassan Whiteside",7000,"MIA@BOS 12/20/2017 07:30PM ET",36.95,"MIA"
"PG/SG","Tyreke Evans",7000,"MEM@GS 12/20/2017 10:30PM ET",33.526,"MEM"
"SG/SF","Jonathon Simmons",6900,"ORL@CHI 12/20/2017 08:00PM ET",24.653,"ORL"
"PG/SG","D'Angelo Russell",6800,"SAC@BKN 12/20/2017 07:30PM ET",36.458,"BKN"
"PG/SG","Spencer Dinwiddie",6700,"SAC@BKN 12/20/2017 07:30PM ET",28.25,"BKN"
"SF/PF","Harrison Barnes",6700,"DET@DAL 12/20/2017 08:30PM ET",32.04,"DAL"
"PG","Lonzo Ball",6700,"LAL@HOU 12/20/2017 08:00PM ET",33.259,"LAL"
"C","Myles Turner",6600,"IND@ATL 12/20/2017 07:30PM ET",30.677,"IND"
"PG/SG","Donovan Mitchell",6600,"UTA@OKC 12/20/2017 08:00PM ET",30.169,"UTA"
"PF/C","Paul Millsap",6600,"MIN@DEN 12/20/2017 09:00PM ET",31.828,"DEN"
"SG/SF","Kent Bazemore",6500,"IND@ATL 12/20/2017 07:30PM ET",28.717,"ATL"
"C","Rudy Gobert",6500,"UTA@OKC 12/20/2017 08:00PM ET",30.611,"UTA"
"SG/SF","Brandon Ingram",6500,"LAL@HOU 12/20/2017 08:00PM ET",30.714,"LAL"
"SG/SF","Taurean Prince",6400,"IND@ATL 12/20/2017 07:30PM ET",26.825,"ATL"
"PF/C","Nikola Mirotic",6400,"ORL@CHI 12/20/2017 08:00PM ET",34.083,"CHI"
"PG/SG","CJ McCollum",6400,"SA@POR 12/20/2017 10:00PM ET",33.405,"POR"
"C","Jusuf Nurkic",6400,"SA@POR 12/20/2017 10:00PM ET",30.509,"POR"
"PG","Mike Conley",6300,"MEM@GS 12/20/2017 10:30PM ET",28.771,"MEM"
"C","Steven Adams",6300,"UTA@OKC 12/20/2017 08:00PM ET",30.04,"OKC"
"SF/PF","Tobias Harris",6300,"DET@DAL 12/20/2017 08:30PM ET",29.608,"DET"
"SG","Gary Harris",6300,"MIN@DEN 12/20/2017 09:00PM ET",29.357,"DEN"
"SF/PF","Thaddeus Young",6200,"IND@ATL 12/20/2017 07:30PM ET",28.194,"IND"
"SF/PF","James Johnson",6200,"MIA@BOS 12/20/2017 07:30PM ET",26.455,"MIA"
"SG/SF","Dion Waiters",6200,"MIA@BOS 12/20/2017 07:30PM ET",25.509,"MIA"
"PF/C","Zach Randolph",6200,"SAC@BKN 12/20/2017 07:30PM ET",29.24,"SAC"
"SG/SF","Will Barton",6200,"MIN@DEN 12/20/2017 09:00PM ET",30.784,"DEN"
"SF/PF","T.J. Warren",6200,"PHO@LAC 12/20/2017 10:30PM ET",30.094,"PHO"
"PG","Goran Dragic",6100,"MIA@BOS 12/20/2017 07:30PM ET",29.862,"MIA"
"SF/PF","Rondae Hollis-Jefferson",6100,"SAC@BKN 12/20/2017 07:30PM ET",27.663,"BKN"
"PG","Jeff Teague",6100,"MIN@DEN 12/20/2017 09:00PM ET",31.083,"MIN"
"SF/PF","Kawhi Leonard",6000,"SA@POR 12/20/2017 10:00PM ET",21.833,"SA"
"SF/PF","Andrew Wiggins",6000,"MIN@DEN 12/20/2017 09:00PM ET",28.903,"MIN"
"SG/SF","Josh Richardson",5900,"MIA@BOS 12/20/2017 07:30PM ET",22.117,"MIA"
"PF/C","Serge Ibaka",5900,"TOR@CHA 12/20/2017 07:00PM ET",25.91,"TOR"
"SG","Kentavious Caldwell-Pope",5900,"LAL@HOU 12/20/2017 08:00PM ET",28.29,"LAL"
"PF/C","Taj Gibson",5900,"MIN@DEN 12/20/2017 09:00PM ET",26.798,"MIN"
"SG/SF","Evan Fournier",5800,"ORL@CHI 12/20/2017 08:00PM ET",29.808,"ORL"
"SF/PF","Carmelo Anthony",5800,"UTA@OKC 12/20/2017 08:00PM ET",30.802,"OKC"
"SF/PF","Kyle Kuzma",5800,"LAL@HOU 12/20/2017 08:00PM ET",28.75,"LAL"
"SG/SF","Nicolas Batum",5700,"TOR@CHA 12/20/2017 07:00PM ET",25.5,"CHA"
"PG/SG","Jamal Murray",5700,"MIN@DEN 12/20/2017 09:00PM ET",24.35,"DEN"
"SF/PF","Danilo Gallinari",5700,"PHO@LAC 12/20/2017 10:30PM ET",24.591,"LAC"
"PG/SG","Austin Rivers",5700,"PHO@LAC 12/20/2017 10:30PM ET",25.611,"LAC"
"PG","Darren Collison",5600,"IND@ATL 12/20/2017 07:30PM ET",28.233,"IND"
"SF/PF","Jayson Tatum",5600,"MIA@BOS 12/20/2017 07:30PM ET",26.811,"BOS"
"PG","Elfrid Payton",5600,"ORL@CHI 12/20/2017 08:00PM ET",27.148,"ORL"
"SG/SF","Caris LeVert",5600,"SAC@BKN 12/20/2017 07:30PM ET",24.25,"BKN"
"SG/SF","Rodney Hood",5600,"UTA@OKC 12/20/2017 08:00PM ET",26.5,"UTA"
"PG/SG","J.J. Barea",5600,"DET@DAL 12/20/2017 08:30PM ET",25.282,"DAL"
"PG","Reggie Jackson",5600,"DET@DAL 12/20/2017 08:30PM ET",27.392,"DET"
"PG/SG","Jordan Clarkson",5600,"LAL@HOU 12/20/2017 08:00PM ET",23.438,"LAL"
"PF/C","Alex Len",5600,"PHO@LAC 12/20/2017 10:30PM ET",25.407,"PHO"
"PF/C","Domantas Sabonis",5500,"IND@ATL 12/20/2017 07:30PM ET",26.336,"IND"
"SG/SF","Jaylen Brown",5400,"MIA@BOS 12/20/2017 07:30PM ET",26.54,"BOS"
"PF/C","Kelly Olynyk",5400,"MIA@BOS 12/20/2017 07:30PM ET",21.142,"MIA"
"PF/C","Willie Cauley-Stein",5400,"SAC@BKN 12/20/2017 07:30PM ET",23.865,"SAC"
"SF/PF","Rudy Gay",5400,"SA@POR 12/20/2017 10:00PM ET",24.345,"SA"
"C","Jonas Valanciunas",5400,"TOR@CHA 12/20/2017 07:00PM ET",23.708,"TOR"
"PF/C","Julius Randle",5400,"LAL@HOU 12/20/2017 08:00PM ET",25.018,"LAL"
"PF/C","John Collins",5300,"IND@ATL 12/20/2017 07:30PM ET",24.302,"ATL"
"PF/C","Pau Gasol",5300,"SA@POR 12/20/2017 10:00PM ET",26.967,"SA"
"PF/C","Derrick Favors",5300,"UTA@OKC 12/20/2017 08:00PM ET",25.612,"UTA"
"C","Dewayne Dedmon",5200,"IND@ATL 12/20/2017 07:30PM ET",25.038,"ATL"
"SG/SF","Justin Holiday",5200,"ORL@CHI 12/20/2017 08:00PM ET",27.241,"CHI"
"PG/SF","Kyle Anderson",5200,"SA@POR 12/20/2017 10:00PM ET",24.489,"SA"
"PG/SG","Yogi Ferrell",5200,"DET@DAL 12/20/2017 08:30PM ET",19.355,"DAL"
"PG/SG","Milos Teodosic",5200,"PHO@LAC 12/20/2017 10:30PM ET",20.708,"LAC"
"SF/PF","Ersan Ilyasova",5100,"IND@ATL 12/20/2017 07:30PM ET",20.303,"ATL"
"SG/SF","Marcus Smart",5100,"MIA@BOS 12/20/2017 07:30PM ET",24.363,"BOS"
"PF","Lauri Markkanen",5100,"ORL@CHI 12/20/2017 08:00PM ET",29.75,"CHI"
"PG","Ricky Rubio",5100,"UTA@OKC 12/20/2017 08:00PM ET",26.583,"UTA"
"SG/SF","Danny Green",5000,"SA@POR 12/20/2017 10:00PM ET",21.361,"SA"
"SG/SF","Joe Ingles",5000,"UTA@OKC 12/20/2017 08:00PM ET",25.04,"UTA"
"PG/SG","Avery Bradley",5000,"DET@DAL 12/20/2017 08:30PM ET",24.268,"DET"
"PG/SG","Dennis Smith Jr.",5000,"DET@DAL 12/20/2017 08:30PM ET",26.967,"DAL"
"PG/SG","Tyler Johnson",4900,"MIA@BOS 12/20/2017 07:30PM ET",20.866,"MIA"
"PF","Bobby Portis",4900,"ORL@CHI 12/20/2017 08:00PM ET",25.588,"CHI"
"SF/PF","DeMarre Carroll",4900,"SAC@BKN 12/20/2017 07:30PM ET",27.029,"BKN"
"SG","Eric Gordon",4900,"LAL@HOU 12/20/2017 08:00PM ET",27.204,"HOU"
"SF/PF","Larry Nance Jr.",4900,"LAL@HOU 12/20/2017 08:00PM ET",23.25,"LAL"
"PG/SG","George Hill",4800,"SAC@BKN 12/20/2017 07:30PM ET",19.769,"SAC"
"SG/SF","Trevor Ariza",4800,"LAL@HOU 12/20/2017 08:00PM ET",24.444,"HOU"
"SF/PF","Trey Lyles",4800,"MIN@DEN 12/20/2017 09:00PM ET",15.8,"DEN"
