"","2017-11-27","2017-11-28","2017-11-29","2017-11-30","2017-12-01","2017-12-02","2017-12-04","2017-12-05","2017-12-06","2017-12-12","2017-12-13","2017-12-14","2017-12-16","2017-12-19"
"Kevin Durant_GS",0,NA,47.75,NA,45.5,NA,38.25,NA,72.25,NA,NA,65.25,NA,NA
"Russell Westbrook_OKC",NA,NA,69.75,NA,49.25,NA,NA,77.25,NA,NA,55.75,NA,46.25,NA
"James Harden_HOU",NA,NA,59,NA,NA,NA,NA,NA,NA,NA,42,NA,48.5,NA
"Chris Paul_HOU",NA,NA,31,NA,NA,NA,NA,NA,NA,NA,62.75,NA,40.75,NA
"Nikola Vucevic_ORL",NA,NA,34.25,NA,17.75,NA,34.5,NA,61.5,NA,46,NA,NA,NA
"Stephen Curry_GS",0,NA,43.75,NA,52.5,NA,58.75,NA,0,NA,NA,0,NA,NA
"Victor Oladipo_IND",NA,NA,43.75,NA,65.75,NA,33.75,NA,45.5,NA,36.75,NA,NA,NA
"Andre Drummond_DET",NA,NA,35.25,NA,55.75,49.75,41.25,NA,62,23,NA,55.75,NA,NA
"Karl-Anthony Towns_MIN",NA,43.75,27,NA,39.75,NA,27.75,NA,53.5,57,NA,69.5,56.75,NA
"Jimmy Butler_MIN",NA,45.25,30,NA,45.25,NA,48,NA,40.5,53,NA,51.25,26,NA
"Damian Lillard_POR",NA,NA,NA,35.75,NA,50.75,NA,53,NA,NA,30.75,NA,45.75,NA
"DeMar DeRozan_TOR",NA,NA,43.5,NA,44.75,NA,NA,46.75,NA,NA,51.25,NA,NA,NA
"Kyle Lowry_TOR",NA,NA,55.75,NA,31.75,NA,NA,48.5,NA,NA,28,NA,NA,NA
"Nikola Jokic_DEN",NA,27,NA,19,NA,0,0,NA,0,0,0,NA,NA,NA
"Kyrie Irving_BOS",NA,NA,NA,47,NA,30,42,NA,35.5,NA,51.25,NA,32,NA
"LaMarcus Aldridge_SA",NA,NA,53,NA,32,NA,37.5,NA,24.5,42.25,NA,NA,43.5,NA
"Devin Booker_PHO",NA,54,26.5,NA,NA,50.5,64.5,43.25,NA,0,0,NA,0,NA
"Marc Gasol_MEM",NA,NA,27,NA,45.25,49.5,38.75,NA,34.5,NA,32,NA,54,NA
"Dwight Howard_CHA",NA,NA,42,NA,18.75,NA,24.25,NA,26.75,NA,55.5,NA,38.25,NA
"Lou Williams_LAC",0,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA
"Aaron Gordon_ORL",NA,NA,78.75,NA,46.25,NA,30,NA,48.25,NA,0,NA,NA,NA
"Draymond Green_GS",34,NA,50.25,NA,41.25,NA,53.25,NA,0,NA,NA,0,NA,NA
"Blake Griffin_LAC",50.25,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA
"DeAndre Jordan_LAC",19.75,NA,NA,31,NA,40.25,NA,NA,47.25,NA,54.5,NA,43.5,NA
"Paul George_OKC",NA,NA,37.75,NA,62,NA,NA,28.25,NA,NA,27,NA,42.25,NA
"Clint Capela_HOU",NA,NA,44.25,NA,NA,NA,NA,NA,NA,NA,31.75,NA,0,NA
"Dennis Schroder_ATL",NA,NA,NA,36.5,NA,38.75,31.25,NA,46.25,23.75,NA,29.25,NA,NA
"Al Horford_BOS",NA,NA,NA,42.5,NA,40.75,44.75,NA,50.5,NA,0,NA,33.75,NA
"Kris Dunn_CHI",NA,48.5,NA,34.75,26,NA,31.5,NA,37,NA,40.75,NA,NA,NA
"Klay Thompson_GS",36.25,NA,28.75,NA,39.75,NA,31.25,NA,32,NA,NA,31.75,NA,NA
"Kemba Walker_CHA",NA,NA,0,NA,0,NA,50.5,NA,44,NA,27.75,NA,33.5,NA
"Hassan Whiteside_MIA",NA,35.5,0,NA,0,NA,NA,NA,0,NA,0,NA,0,NA
"Tyreke Evans_MEM",NA,NA,32.75,NA,14.25,63.25,43.25,NA,22.25,NA,0,NA,41.75,NA
"Jonathon Simmons_ORL",NA,NA,8,NA,27.25,NA,24.5,NA,27,NA,41,NA,NA,NA
"D'Angelo Russell_BKN",NA,NA,0,NA,NA,0,0,NA,NA,0,NA,0,NA,NA
"Spencer Dinwiddie_BKN",NA,NA,34.25,NA,NA,42,29.75,NA,NA,43,NA,50.25,NA,NA
"Harrison Barnes_DAL",NA,NA,39.5,NA,NA,23.5,40.5,NA,32.25,30.5,NA,29.25,21.25,NA
"Lonzo Ball_LAL",20.75,NA,36.5,NA,NA,29.75,NA,NA,NA,43,NA,43.5,NA,NA
"Myles Turner_IND",NA,NA,36.5,NA,28.5,NA,22.25,NA,35.25,NA,24,NA,NA,NA
"Donovan Mitchell_UTA",NA,26.75,NA,36.5,53.5,NA,27.75,48.25,NA,NA,49.75,NA,31.5,NA
"Paul Millsap_DEN",NA,0,NA,0,NA,0,0,NA,0,0,0,NA,NA,NA
"Kent Bazemore_ATL",NA,NA,NA,23,NA,22,21.25,NA,23,47,NA,26.25,NA,NA
"Rudy Gobert_UTA",NA,0,NA,0,0,NA,26,16,NA,NA,31.25,NA,0,NA
"Brandon Ingram_LAL",24.75,NA,50.25,NA,NA,24.5,NA,NA,NA,22.75,NA,45,NA,NA
"Taurean Prince_ATL",NA,NA,NA,20.5,NA,24,19,NA,29.5,41.75,NA,14.5,NA,NA
"Nikola Mirotic_CHI",NA,0,NA,0,0,NA,0,NA,0,NA,44.75,NA,NA,NA
"CJ McCollum_POR",NA,NA,NA,31.5,NA,26.5,NA,28,NA,NA,41.25,NA,33,NA
"Jusuf Nurkic_POR",NA,NA,NA,46.75,NA,14,NA,34.25,NA,NA,0,NA,21.25,NA
"Mike Conley_MEM",NA,NA,0,NA,0,0,0,NA,0,NA,0,NA,0,NA
"Steven Adams_OKC",NA,NA,20,NA,38,NA,NA,33.75,NA,NA,43.25,NA,0,NA
"Tobias Harris_DET",NA,NA,31.25,NA,20,39.25,26.25,NA,34.25,13.5,NA,29,NA,NA
"Gary Harris_DEN",NA,26.25,NA,39.25,NA,32,37.75,NA,38.75,36.5,53.25,NA,NA,NA
"Thaddeus Young_IND",NA,NA,30.5,NA,26.75,NA,33,NA,28.75,NA,46,NA,NA,NA
"James Johnson_MIA",NA,25.75,17.5,NA,24,NA,NA,NA,20.75,NA,34.5,NA,7.75,NA
"Dion Waiters_MIA",NA,32.25,27.25,NA,26.75,NA,NA,NA,33.75,NA,24.5,NA,28,NA
"Zach Randolph_SAC",23,18.75,NA,NA,48.75,33.25,NA,NA,48,34.75,NA,28.75,NA,34.25
"Will Barton_DEN",NA,14.5,NA,51.5,NA,34.5,46,NA,28.25,30,0,NA,NA,NA
"TJ Warren_PHO",NA,38.75,11,NA,NA,37.25,43,10.75,NA,27.75,21.75,NA,25.75,NA
"Goran Dragic_MIA",NA,17.5,13,NA,17,NA,NA,NA,22.5,NA,22.25,NA,19.5,NA
