"","2017-11-27","2017-11-28","2017-11-29","2017-11-30","2017-12-01","2017-12-02","2017-12-04","2017-12-05","2017-12-06","2017-12-12","2017-12-13","2017-12-14","2017-12-16","2017-12-19"
"Kevin Durant_GS",0,NA,47.75,NA,45.5,NA,38.25,NA,72.25,NA,NA,65.25,NA,NA
"Stephen Curry_GS",0,NA,43.75,NA,52.5,NA,58.75,NA,0,NA,NA,0,NA,NA
"Devin Booker_PHO",NA,54,26.5,NA,NA,50.5,64.5,43.25,NA,0,0,NA,0,NA
"Marc Gasol_MEM",NA,NA,27,NA,45.25,49.5,38.75,NA,34.5,NA,32,NA,54,NA
"Lou Williams_LAC",0,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA
"Draymond Green_GS",34,NA,50.25,NA,41.25,NA,53.25,NA,0,NA,NA,0,NA,NA
"DeAndre Jordan_LAC",19.75,NA,NA,31,NA,40.25,NA,NA,47.25,NA,54.5,NA,43.5,NA
"Blake Griffin_LAC",50.25,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA
"Klay Thompson_GS",36.25,NA,28.75,NA,39.75,NA,31.25,NA,32,NA,NA,31.75,NA,NA
"Tyreke Evans_MEM",NA,NA,32.75,NA,14.25,63.25,43.25,NA,22.25,NA,0,NA,41.75,NA
"Mike Conley_MEM",NA,NA,0,NA,0,0,0,NA,0,NA,0,NA,0,NA
"TJ Warren_PHO",NA,38.75,11,NA,NA,37.25,43,10.75,NA,27.75,21.75,NA,25.75,NA
"Danilo Gallinari_LAC",0,NA,NA,0,NA,0,NA,NA,13.5,NA,0,NA,0,NA
"Austin Rivers_LAC",39,NA,NA,36.5,NA,19.75,NA,NA,35.5,NA,15.5,NA,0,NA
"Alex Len_PHO",NA,37.5,11.25,NA,NA,0,10.75,25.25,NA,25,31.5,NA,50.25,NA
"Milos Teodosic_LAC",0,NA,NA,0,NA,0,NA,NA,0,NA,28.5,NA,28.5,NA
"Omri Casspi_GS",16,NA,0,NA,19.5,NA,4.25,NA,13.25,NA,NA,39.75,NA,NA
"Jordan Bell_GS",12.25,NA,15.5,NA,29,NA,6.25,NA,18.25,NA,NA,30.5,NA,NA
"JaMychal Green_MEM",NA,NA,23.5,NA,9.75,29.75,29.75,NA,11.75,NA,37.75,NA,15.5,NA
"Greg Monroe_PHO",NA,0,32.75,NA,NA,20,0,34,NA,0,37.25,NA,0,NA
"Isaiah Canaan_PHO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.25,NA
"Andre Iguodala_GS",19.25,NA,16,NA,0,NA,24,NA,29,NA,NA,20.75,NA,NA
"Tyson Chandler_PHO",NA,12.25,0,NA,NA,42.5,37.5,0,NA,25,0,NA,13.5,NA
"Andrew Harrison_MEM",NA,NA,24,NA,15.5,21.25,17,NA,18.25,NA,35.75,NA,9,NA
"Wesley Johnson_LAC",9.25,NA,NA,21.25,NA,16.5,NA,NA,21.75,NA,10.25,NA,10.25,NA
"Mike James_PHO",NA,18.25,22,NA,NA,20.75,8.25,15.5,NA,25.75,21.5,NA,0,NA
"Tyler Ulis_PHO",NA,32.5,23,NA,NA,10,32.75,11.75,NA,19.75,34.25,NA,6.75,NA
"Chandler Parsons_MEM",NA,NA,0,NA,14,0,0,NA,19.25,NA,20.75,NA,0,NA
"Troy Daniels_PHO",NA,13.25,3,NA,NA,5,6.75,18,NA,16.5,41.25,NA,19.25,NA
"Josh Jackson_PHO",NA,1.25,35.25,NA,NA,7.75,13.75,16.25,NA,16.75,2.75,NA,24,NA
