"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,965221906,"bigmike2570",0,315,"PF Pau Gasol PG Damian Lillard UTIL Jamal Crawford SF Wilson Chandler SG Jimmy Butler F Mason Plumlee C Karl-Anthony Towns G Jamal Murray",NA,"Karl-Anthony Towns","C","63.41%",48.5
2,965286956,"danel29",0,310.5,"UTIL Pau Gasol SF Wilson Chandler PF Taj Gibson PG Jeff Teague G Jimmy Butler F Mason Plumlee C Karl-Anthony Towns SG Jamal Murray",NA,"Damian Lillard","PG","60.64%",30.5
3,964597516,"Fucciman07",0,306.5,"PF Pau Gasol SF Al-Farouq Aminu PG CJ McCollum F Wilson Chandler G Jeff Teague C Nikola Jokic UTIL Karl-Anthony Towns SG Jamal Murray",NA,"Jimmy Butler","SG","49.45%",36.5
4,965298164,"nadirv",0,302.25,"F Pau Gasol G Jeff Teague UTIL Jimmy Butler PF Mason Plumlee SG Will Barton C Karl-Anthony Towns SF Trey Lyles PG Jamal Murray",NA,"LaMarcus Aldridge","PF","48.28%",37
5,964643296,"Izzy_53",0,299.5,"F Pau Gasol PG Damian Lillard G CJ McCollum UTIL Jusuf Nurkic SF Wilson Chandler PF Mason Plumlee C Karl-Anthony Towns SG Jamal Murray",NA,"Will Barton","F","47.77%",24.25
5,964904718,"Dean227",0,299.5,"UTIL Pau Gasol F Al-Farouq Aminu SF Wilson Chandler PF Taj Gibson PG Jeff Teague SG Jimmy Butler C Karl-Anthony Towns G Jamal Murray",NA,"Jamal Murray","PG","42.98%",45
7,965221105,"Steve6975 (1/3)",0,298.75,"PF Pau Gasol SF Al-Farouq Aminu PG Damian Lillard UTIL Wilson Chandler SG Jimmy Butler F Mason Plumlee C Nikola Jokic G Jamal Murray",NA,"CJ McCollum","SG","42.22%",30.25
7,965379496,"miked343",0,298.75,"PF Pau Gasol F LaMarcus Aldridge PG Damian Lillard UTIL Jeff Teague G Jimmy Butler C Mason Plumlee SF Torrey Craig SG Jamal Murray",NA,"Dejounte Murray","G","40.37%",17.75
9,965071496,"jrodjr918",0,297.75,"F Pau Gasol G Jamal Crawford SF Wilson Chandler SG Jimmy Butler UTIL Nikola Jokic C Karl-Anthony Towns PF Trey Lyles PG Jamal Murray",NA,"Jeff Teague","G","36.59%",36.5
10,964810887,"theycallmeboss",0,296.25,"SG Manu Ginobili F Pau Gasol PF LaMarcus Aldridge SF Al-Farouq Aminu PG CJ McCollum G Jimmy Butler UTIL Mason Plumlee C Karl-Anthony Towns",NA,"Trey Lyles","PF","33.56%",18.25
11,965387268,"gantadamora614 (1/2)",0,294,"UTIL Pau Gasol G CJ McCollum PF Taj Gibson SG Jimmy Butler F Mason Plumlee C Karl-Anthony Towns SF Trey Lyles PG Jamal Murray",NA,"Mason Plumlee","F","33.31%",40.5
12,964802547,"marwalk82 (5/10)",0,291.75,"SF Manu Ginobili F Pau Gasol PF LaMarcus Aldridge PG Damian Lillard SG Shabazz Napier UTIL Jeff Teague C Karl-Anthony Towns G Jamal Murray",NA,"Taj Gibson","PF","32.97%",22.25
13,964902657,"Cangamble",0,291.5,"F LaMarcus Aldridge SF Al-Farouq Aminu SG CJ McCollum UTIL Jeff Teague PF Mason Plumlee G Will Barton C Karl-Anthony Towns PG Jamal Murray",NA,"Nikola Jokic","UTIL","31.20%",35.5
14,965365181,"jdv23",0,290.25,"PF LaMarcus Aldridge SF Al-Farouq Aminu PG Dejounte Murray G Jeff Teague F Mason Plumlee C Nikola Jokic UTIL Karl-Anthony Towns SG Jamal Murray",NA,"Wilson Chandler","F","30.36%",28.5
14,965375785,"devind5575 (3/3)",0,290.25,"F Pau Gasol PF LaMarcus Aldridge SG Bryn Forbes SF Wilson Chandler PG Jeff Teague UTIL Nikola Jokic C Karl-Anthony Towns G Jamal Murray",NA,"Andrew Wiggins","SF","28.93%",22.25
16,964826401,"Twone (2/17)",0,288.5,"PF LaMarcus Aldridge SG CJ McCollum F Wilson Chandler PG Jeff Teague UTIL Mason Plumlee SF Andrew Wiggins C Karl-Anthony Towns G Jamal Murray",NA,"Torrey Craig","SG","25.74%",20
17,965512293,"tabjab",0,288,"PF Pau Gasol G CJ McCollum UTIL Wilson Chandler PG Jeff Teague F Will Barton SF Andrew Wiggins C Karl-Anthony Towns SG Jamal Murray",NA,"Al-Farouq Aminu","SF","24.89%",29.5
18,964852195,"dea002",0,287.75,"PF Pau Gasol F LaMarcus Aldridge SG CJ McCollum UTIL Wilson Chandler G Jeff Teague SF Andrew Wiggins C Nikola Jokic PG Jamal Murray",NA,"Rudy Gay","UTIL","24.64%",10.75
18,964943762,"phillipsr1113",0,287.75,"F Pau Gasol UTIL LaMarcus Aldridge G Dejounte Murray PG Jeff Teague SG Jimmy Butler PF Mason Plumlee C Karl-Anthony Towns SF Trey Lyles",NA,"Evan Turner","SG","20.77%",18.25
20,964631363,"Walkk",0,287.5,"F Pau Gasol PG Damian Lillard SF Wilson Chandler SG Jimmy Butler UTIL Mason Plumlee C Nikola Jokic PF Trey Lyles G Jamal Murray",NA,"Jusuf Nurkic","C","19.01%",23.5
21,964998875,"dedah003",0,287,"F Pau Gasol PG CJ McCollum UTIL Jusuf Nurkic PF Mason Plumlee G Will Barton SF Andrew Wiggins C Karl-Anthony Towns SG Jamal Murray",NA,"Pau Gasol","C","14.89%",52.75
21,965452731,"SadSoxFan (1/15)",0,287,"PG CJ McCollum F Wilson Chandler G Jeff Teague PF Mason Plumlee SF Andrew Wiggins C Nikola Jokic UTIL Karl-Anthony Towns SG Jamal Murray",NA,"Patty Mills","G","7.06%",12.75
23,965452735,"SadSoxFan (5/15)",0,286.75,"PF Pau Gasol SF Rudy Gay G Damian Lillard UTIL Taj Gibson PG Jeff Teague F Mason Plumlee C Karl-Anthony Towns SG Jamal Murray",NA,"Manu Ginobili","F","6.22%",21.25
24,964674973,"Ferguson7 (2/2)",0,286.5,"F Pau Gasol PF LaMarcus Aldridge PG Damian Lillard G Jimmy Butler C Mason Plumlee SG Will Barton SF Torrey Craig UTIL Jamal Murray",NA,"Jamal Crawford","UTIL","4.29%",32.75
