"Kevin Durant_GS","Stephen Curry_GS","Devin Booker_PHO","Marc Gasol_MEM","Lou Williams_LAC","Draymond Green_GS","DeAndre Jordan_LAC","Blake Griffin_LAC","Klay Thompson_GS","Tyreke Evans_MEM","Mike Conley_MEM","TJ Warren_PHO","Danilo Gallinari_LAC","Austin Rivers_LAC","Alex Len_PHO","Milos Teodosic_LAC","Omri Casspi_GS","Jordan Bell_GS","JaMychal Green_MEM","Greg Monroe_PHO","Isaiah Canaan_PHO","Andre Iguodala_GS","Tyson Chandler_PHO","Andrew Harrison_MEM","Wesley Johnson_LAC","Mike James_PHO","Tyler Ulis_PHO","Chandler Parsons_MEM","Troy Daniels_PHO","Josh Jackson_PHO","Mario Chalmers_MEM","Sam Dekker_LAC","Jawun Evans_LAC","Dillon Brooks_MEM","Jamil Wilson_LAC","Marquese Chriss_PHO","Shaun Livingston_GS","Montrezl Harrell_LAC","David West_GS","Jarell Martin_MEM","Kevon Looney_GS","Patrick McCaw_GS","Dragan Bender_PHO","Zaza Pachulia_GS","Nick Young_GS","James Ennis III_MEM","Ben McLemore_MEM","CJ Williams_LAC","JaVale McGee_GS","Jared Dudley_PHO","Quinn Cook_GS","Brandan Wright_MEM","Damian Jones_GS","Vince Hunter_MEM","Wayne Selden_MEM","Ivan Rabb_MEM","Deyonta Davis_MEM","Chris Boucher_GS","Kobi Simmons_MEM","Patrick Beverley_LAC","Willie Reed_LAC","Brandon Knight_PHO","Alan Williams_PHO","Danuel House_PHO","Brice Johnson_LAC","Davon Reed_PHO","Sindarius Thornwell_LAC","Alec Peters_PHO"
646.166666666667,-44.8333333333333,0,0,0,-340.166666666667,0,0,-39.0041666666667,0,0,0,0,0,0,0,88.5041666666667,119.45,0,0,0,48.8708333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-47.7958333333333,0,-21.2583333333333,0,35.4166666666667,-337.066666666667,0,-88.9208333333333,-4.00833333333333,0,0,0,-50.5291666666667,0,116.345833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-44.8333333333333,823.541666666667,0,0,0,574.958333333333,0,0,4.08333333333333,0,0,0,0,0,0,0,-224.520833333333,-63.8125,0,0,0,-141.166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-111.395833333333,0,-120.208333333333,0,13.1041666666667,-103.291666666667,0,119.916666666667,-4.64583333333333,0,0,0,-11.0416666666667,0,-117.541666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,724.873883928571,0,0,0,0,0,0,0,0,151.044642857143,0,0,-229.502232142857,0,0,0,0,-50.3214285714286,0,0,189.204241071429,0,0,-17.2142857142857,56.3203125,0,-201.34375,-75.9162946428571,0,0,0,0,0,15.9073660714286,0,0,0,0,0,0,-122.397321428571,0,0,0,0,0,0,69.1651785714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,96.4136904761905,0,0,0,0,0,104.488095238095,0,0,0,0,0,0,0,0,-30.172619047619,0,0,0,0,-55.0803571428571,0,0,0,-34.3482142857143,0,0,9.69047619047619,0,0,21.8318452380952,0,0,0,0,0,38.2738095238095,0,0,0,0,0,0,-14.9627976190476,0,0,0,0,1.70238095238095,0,0,0,0,17.2991071428571,0,10.3928571428571,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-340.166666666667,574.958333333333,0,0,0,578.585416666667,0,0,6.01041666666667,0,0,0,0,0,0,0,-237.697916666667,-120.95625,0,0,0,-102.158333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-47.7541666666667,0,-105.154166666667,0,10.1208333333333,63.8541666666667,0,140.170833333333,16.2395833333333,0,0,0,11.7604166666667,0,-135.552083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,152.76875,-197.23125,0,0,0,0,21.2625,-107.95625,0,109.725,0,0,0,0,0,0,0,0,4.70625,0,0,0,0,0,0,-11.3375,31.075,0,66.06875,0,0,48.50625,0,0,0,0,0,0,0,0,0,-7.76875,0,0,0,0,0,0,0,0,0,0,0,0,-37.6625,0,0,0,1.18125,0,3.70625,0
0,0,0,0,0,0,-197.23125,420.84375,0,0,0,0,-22.6125,146.98125,0,-95.475,0,0,0,0,0,0,0,0,-56.53125,0,0,0,0,0,0,67.8375,-44.3875,0,-107.61875,0,0,-144.46875,0,0,0,0,0,0,0,0,0,12.14375,0,0,0,0,0,0,0,0,0,0,0,0,-7.5375,0,0,0,-11.30625,0,-3.76875,0
-39.0041666666667,4.08333333333333,0,0,0,6.01041666666667,0,0,15.8604166666667,0,0,0,0,0,0,0,17.2395833333333,13.95625,0,0,0,-26.8333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.72083333333333,0,11.3958333333333,0,-9.44166666666667,42.2166666666667,0,16.7583333333333,-7.79791666666667,0,0,0,-3.21458333333333,0,-6.17708333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,104.488095238095,0,0,0,0,0,437.806547619048,0,0,0,0,0,0,0,0,13.9970238095238,0,0,0,0,-84.2172619047619,0,0,0,-175.00744047619,0,0,-34.3943452380952,0,0,69.0773809523809,0,0,0,0,0,85.0744047619048,0,0,0,0,0,0,-28.2886904761905,0,0,0,0,-5.60714285714286,0,0,0,0,-26.5535714285714,0,8.00892857142857,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,151.044642857143,0,0,0,0,0,0,0,0,149.839285714286,0,0,-26.7321428571429,0,0,0,0,-152.4375,0,0,168.776785714286,0,0,-19.7589285714286,39.4285714285714,0,-36.2589285714286,-77.9732142857143,0,0,0,0,0,-1.91964285714286,0,0,0,0,0,0,23.3660714285714,0,0,0,0,0,0,-75.5357142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.58333333333333,0,0,0,0
0,0,0,0,0,0,21.2625,-22.6125,0,0,0,0,30.375,30.0375,0,-25.65,0,0,0,0,0,0,0,0,18.5625,0,0,0,0,0,0,-20.25,4.275,0,1.4625,0,0,-5.0625,0,0,0,0,0,0,0,0,0,-14.9625,0,0,0,0,0,0,0,0,0,0,0,0,-9.45,0,0,0,-3.0375,0,3.7125,0
0,0,0,0,0,0,-107.95625,146.98125,0,0,0,0,30.0375,235.79375,0,-189.525,0,0,0,0,0,0,0,0,43.55625,0,0,0,0,0,0,8.425,-5.95,0,-79.69375,0,0,-70.64375,0,0,0,0,0,0,0,0,0,-26.90625,0,0,0,0,0,0,0,0,0,0,0,0,45.6,0,0,0,-6.24375,0,5.56875,0
0,0,-229.502232142857,0,0,0,0,0,0,0,0,-26.7321428571429,0,0,263.459821428571,0,0,0,0,-81.1339285714286,0,0,-137.707589285714,0,0,-60.9732142857143,-7.03794642857143,0,113.223214285714,-15.1004464285714,0,0,0,0,0,-43.5691964285714,0,0,0,0,0,0,48.5982142857143,0,0,0,0,0,0,-47.75,0,0,0,0,0,0,0,0,0,0,0,0,0,63.6354166666667,0,0,0,0
0,0,0,0,0,0,109.725,-95.475,0,0,0,0,-25.65,-189.525,0,216.6,0,0,0,0,0,0,0,0,-52.725,0,0,0,0,0,0,44.175,25.175,0,61.75,0,0,35.625,0,0,0,0,0,0,0,0,0,20.9,0,0,0,0,0,0,0,0,0,0,0,0,-39.9,0,0,0,-12.825,0,-22.8,0
88.5041666666667,-224.520833333333,0,0,0,-237.697916666667,0,0,17.2395833333333,0,0,0,0,0,0,0,195.235416666667,102.95625,0,0,0,-13.1791666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.3916666666667,0,68.8416666666667,0,-26.5833333333333,39.8583333333333,0,-52.0583333333333,-56.5645833333333,0,0,0,-26.9104166666667,0,21.7520833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119.45,-63.8125,0,0,0,-120.95625,0,0,13.95625,0,0,0,0,0,0,0,102.95625,90.46875,0,0,0,-46.8375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.65,0,2.775,0,-2.1625,-12.9625,0,16.6125,-32.56875,0,0,0,-45.81875,0,12.99375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-30.172619047619,0,0,0,0,0,13.9970238095238,0,0,0,0,0,0,0,0,110.967261904762,0,0,0,0,64.1101190476191,0,0,0,-11.8214285714286,0,0,-13.2857142857143,0,0,13.7574404761905,0,0,0,0,0,-23.2440476190476,0,0,0,0,0,0,16.9598214285714,0,0,0,0,-4.26190476190476,0,0,0,0,-23.8809523809524,0,-5.27678571428571,0,0,0,0,0,0,0,0,0
0,0,-50.3214285714286,0,0,0,0,0,0,0,0,-152.4375,0,0,-81.1339285714286,0,0,0,0,299.160714285714,0,0,-168.089285714286,0,0,59.625,-2.58035714285714,0,62.9017857142857,19.8928571428571,0,0,0,0,0,-26.2053571428571,0,0,0,0,0,0,-71.8928571428571,0,0,0,0,0,0,104.482142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.10416666666667,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48.8708333333333,-141.166666666667,0,0,0,-102.158333333333,0,0,-26.8333333333333,0,0,0,0,0,0,0,-13.1791666666667,-46.8375,0,0,0,98.7916666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63333333333333,0,31.3583333333333,0,2.72083333333333,-45.5458333333333,0,-85.3291666666667,24.6958333333333,0,0,0,40.7416666666667,0,39.3916666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,189.204241071429,0,0,0,0,0,0,0,0,168.776785714286,0,0,-137.707589285714,0,0,0,0,-168.089285714286,0,0,290.409598214286,0,0,-14.1160714285714,-22.0814732142857,0,-101.424107142857,-45.9162946428571,0,0,0,0,0,16.4787946428571,0,0,0,0,0,0,35.5580357142857,0,0,0,0,0,0,-56.6116071428571,0,0,0,0,0,0,0,0,0,0,0,0,0,-27.1458333333333,0,0,0,0
0,0,0,-55.0803571428571,0,0,0,0,0,-84.2172619047619,0,0,0,0,0,0,0,0,64.1101190476191,0,0,0,0,69.8095238095238,0,0,0,37.3898809523809,0,0,-1.14880952380952,0,0,-10.4880952380952,0,0,0,0,0,-36.6071428571429,0,0,0,0,0,0,24.514880952381,0,0,0,0,-1.53571428571429,0,0,0,0,-24.9241071428571,0,-8.33035714285714,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,4.70625,-56.53125,0,0,0,0,18.5625,43.55625,0,-52.725,0,0,0,0,0,0,0,0,32.99375,0,0,0,0,0,0,-26.4,4.525,0,-0.25625,0,0,16.16875,0,0,0,0,0,0,0,0,0,-12.66875,0,0,0,0,0,0,0,0,0,0,0,0,18.275,0,0,0,2.19375,0,4.25625,0
0,0,-17.2142857142857,0,0,0,0,0,0,0,0,-19.7589285714286,0,0,-60.9732142857143,0,0,0,0,59.625,0,0,-14.1160714285714,0,0,71.8928571428571,26.6428571428571,0,4.07142857142857,-18.2857142857143,0,0,0,0,0,19.8928571428571,0,0,0,0,0,0,-28.8125,0,0,0,0,0,0,11.4553571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,-65.09375,0,0,0,0
0,0,56.3203125,0,0,0,0,0,0,0,0,39.4285714285714,0,0,-7.03794642857143,0,0,0,0,-2.58035714285714,0,0,-22.0814732142857,0,0,26.6428571428571,122.873883928571,0,32.21875,-50.8716517857143,0,0,0,0,0,16.2198660714286,0,0,0,0,0,0,-17.96875,0,0,0,0,0,0,-46.5133928571429,0,0,0,0,0,0,0,0,0,0,0,0,0,-34.25,0,0,0,0
0,0,0,-34.3482142857143,0,0,0,0,0,-175.00744047619,0,0,0,0,0,0,0,0,-11.8214285714286,0,0,0,0,37.3898809523809,0,0,0,96.7589285714286,0,0,42.9523809523809,0,0,-33.2261904761905,0,0,0,0,0,-33.1830357142857,0,0,0,0,0,0,-1.08482142857143,0,0,0,0,2.0952380952381,0,0,0,0,-5.60863095238095,0,-5.78571428571429,0,0,0,0,0,0,0,0,0
0,0,-201.34375,0,0,0,0,0,0,0,0,-36.2589285714286,0,0,113.223214285714,0,0,0,0,62.9017857142857,0,0,-101.424107142857,0,0,4.07142857142857,32.21875,0,147.482142857143,-58.8883928571429,0,0,0,0,0,-47.8616071428571,0,0,0,0,0,0,12.3660714285714,0,0,0,0,0,0,-25.4107142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,4.92708333333333,0,0,0,0
0,0,-75.9162946428571,0,0,0,0,0,0,0,0,-77.9732142857143,0,0,-15.1004464285714,0,0,0,0,19.8928571428571,0,0,-45.9162946428571,0,0,-18.2857142857143,-50.8716517857143,0,-58.8883928571429,126.900669642857,0,0,0,0,0,39.8493303571429,0,0,0,0,0,0,20.1651785714286,0,0,0,0,0,0,33.5848214285714,0,0,0,0,0,0,0,0,0,0,0,0,0,19.59375,0,0,0,0
0,0,0,9.69047619047619,0,0,0,0,0,-34.3943452380952,0,0,0,0,0,0,0,0,-13.2857142857143,0,0,0,0,-1.14880952380952,0,0,0,42.9523809523809,0,0,43.1220238095238,0,0,-8.44642857142857,0,0,0,0,0,3.75744047619048,0,0,0,0,0,0,-29.4122023809524,0,0,0,0,-0.285714285714286,0,0,0,0,-10.3824404761905,0,-0.267857142857143,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,-11.3375,67.8375,0,0,0,0,-20.25,8.425,0,44.175,0,0,0,0,0,0,0,0,-26.4,0,0,0,0,0,0,58.275,9.9625,0,-14.9125,0,0,-29.075,0,0,0,0,0,0,0,0,0,7.65,0,0,0,0,0,0,0,0,0,0,0,0,3.7625,0,0,0,-10.8,0,-13.2375,0
0,0,0,0,0,0,31.075,-44.3875,0,0,0,0,4.275,-5.95,0,25.175,0,0,0,0,0,0,0,0,4.525,0,0,0,0,0,0,9.9625,13.8166666666667,0,9.78333333333333,0,0,8.7125,0,0,0,0,0,0,0,0,0,-3.72083333333333,0,0,0,0,0,0,0,0,0,0,0,0,2.875,0,0,0,-4.95,0,-5.4125,0
0,0,0,21.8318452380952,0,0,0,0,0,69.0773809523809,0,0,0,0,0,0,0,0,13.7574404761905,0,0,0,0,-10.4880952380952,0,0,0,-33.2261904761905,0,0,-8.44642857142857,0,0,18.014880952381,0,0,0,0,0,20.8869047619048,0,0,0,0,0,0,-11.1428571428571,0,0,0,0,-1.85714285714286,0,0,0,0,-6.35565476190476,0,4.44642857142857,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,66.06875,-107.61875,0,0,0,0,1.4625,-79.69375,0,61.75,0,0,0,0,0,0,0,0,-0.25625,0,0,0,0,0,0,-14.9125,9.78333333333333,0,38.2854166666667,0,0,38.49375,0,0,0,0,0,0,0,0,0,2.27708333333333,0,0,0,0,0,0,0,0,0,0,0,0,-14.5875,0,0,0,3.09375,0,0.53125,0
0,0,15.9073660714286,0,0,0,0,0,0,0,0,-1.91964285714286,0,0,-43.5691964285714,0,0,0,0,-26.2053571428571,0,0,16.4787946428571,0,0,19.8928571428571,16.2198660714286,0,-47.8616071428571,39.8493303571429,0,0,0,0,0,43.3113839285714,0,0,0,0,0,0,0.352678571428571,0,0,0,0,0,0,-3.12053571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,-34.2708333333333,0,0,0,0
