"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,965110983,"papagates (62/123)",0,369.75,"G James Harden PG Lonzo Ball F T.J. Warren PF Kyle Kuzma C Kelly Olynyk UTIL Milos Teodosic SG Tyler Johnson SF Trevor Ariza",NA,"James Harden","PG","40.51%",71.25
2,964933558,"Kobe4MVP (96/123)",0,360.75,"SG James Harden UTIL Klay Thompson G Kemba Walker F Kyle Kuzma C Kelly Olynyk PG Tyler Johnson SF Trevor Ariza PF P.J. Tucker",NA,"Josh Hart","UTIL","36.23%",27.5
3,964975545,"cheddabisque (63/123)",0,358.5,"G Russell Westbrook C Karl-Anthony Towns SF Kyle Kuzma UTIL Elfrid Payton PF Kelly Olynyk SG Tyler Johnson F Trevor Ariza PG Josh Hart",NA,"Tyler Johnson","G","35.79%",35.25
4,964975589,"cheddabisque (107/123)",0,355.25,"G Russell Westbrook C Marc Gasol SF T.J. Warren PF Kyle Kuzma F Kelly Olynyk PG Tyler Johnson SG Trevor Ariza UTIL Jordan Mickey",NA,"P.J. Tucker","SF","34.03%",27
5,964933541,"Kobe4MVP (79/123)",0,352.5,"SG James Harden C DeAndre Jordan PF T.J. Warren G Jeff Teague F Kelly Olynyk PG Tyler Johnson UTIL Trevor Ariza SF P.J. Tucker",NA,"DeAndre Jordan","C","30.98%",39.5
5,964975503,"cheddabisque (21/123)",0,352.5,"PG James Harden C DeAndre Jordan PF T.J. Warren SF Kyle Kuzma UTIL Elfrid Payton SG Tyler Johnson F Trevor Ariza G Wayne Ellington",NA,"Julius Randle","UTIL","25.61%",6.25
7,965110924,"papagates (3/123)",0,350.25,"SG James Harden C Marc Gasol UTIL Tyreke Evans F T.J. Warren PF Kelly Olynyk PG Tyler Johnson SF Trevor Ariza G Josh Hart",NA,"Jordan Mickey","F","25.44%",19.5
8,964684409,"youdacao (11/123)",0,349,"SG James Harden C Karl-Anthony Towns G Jeff Teague PG Elfrid Payton PF Kelly Olynyk SF Trevor Ariza UTIL Alec Burks F P.J. Tucker",NA,"Chris Paul","G","21.47%",20.75
8,964941870,"FFGURU8610",0,349,"G James Harden UTIL DeAndre Jordan SF Brandon Ingram F Josh Richardson PF Kyle Kuzma C Kelly Olynyk SG Tyler Johnson PG Josh Hart",NA,"Ricky Rubio","UTIL","20.21%",8.5
10,965110965,"papagates (44/123)",0,346.5,"UTIL James Harden C Marc Gasol G Lonzo Ball PG Elfrid Payton PF Kelly Olynyk SG Tyler Johnson SF Trevor Ariza F Josh Jackson",NA,"Trevor Ariza","G","19.26%",48.75
11,964999733,"mazwa (19/41)",0,346.25,"PG James Harden UTIL Marc Gasol C DeAndre Jordan PF Kyle Kuzma F Justin Holiday SG Tyler Johnson SF Trevor Ariza G Josh Hart",NA,"Kevin Durant","F","18.47%",38
12,964933485,"Kobe4MVP (23/123)",0,345,"UTIL James Harden C DeAndre Jordan PG Kemba Walker SF T.J. Warren PF Kelly Olynyk G Tyler Johnson F Trevor Ariza SG Josh Hart",NA,"Nene Hilario","C","18.13%",14.5
13,964729433,"ThatStunna (17/22)",0,344,"UTIL James Harden C DeAndre Jordan G Lonzo Ball PF Kyle Kuzma SG Eric Gordon PG Tyler Johnson F Trevor Ariza SF Allen Crabbe",NA,"Nikola Vucevic","C","17.30%",38.5
14,964933489,"Kobe4MVP (27/123)",0,343.25,"PG Russell Westbrook C Karl-Anthony Towns G Jeff Teague SF Kyle Kuzma UTIL Kelly Olynyk SG Trevor Ariza F P.J. Tucker PF Jordan Mickey",NA,"T.J. Warren","PF","16.14%",45.5
15,964933574,"Kobe4MVP (112/123)",0,342.25,"G James Harden C Karl-Anthony Towns SF Paul George UTIL Elfrid Payton PG Tyler Johnson F Trevor Ariza PF Mason Plumlee SG Josh Hart",NA,"Karl-Anthony Towns","UTIL","15.76%",48.5
16,964975592,"cheddabisque (110/123)",0,342,"G James Harden PG Kemba Walker C Jusuf Nurkic PF T.J. Warren F Kelly Olynyk SG Tyler Johnson SF Trevor Ariza UTIL Mason Plumlee",NA,"Lou Williams","PG","15.56%",21.75
17,964660545,"ChipotleAddict (56/123)",0,341.75,"PG James Harden C Dwight Howard PF Zach Randolph SG Jamal Murray F Kelly Olynyk G Milos Teodosic SF Trevor Ariza UTIL Mason Plumlee",NA,"Brandon Ingram","SG","14.55%",33
18,965110922,"papagates (1/123)",0,341.5,"G James Harden C Karl-Anthony Towns PG Lonzo Ball F T.J. Warren PF Kelly Olynyk SG Tyler Johnson SF P.J. Tucker UTIL Josh Hart",NA,"Kyle Kuzma","PF","13.19%",58.25
19,964975554,"cheddabisque (72/123)",0,341,"G James Harden C Myles Turner PF T.J. Warren F Kyle Kuzma UTIL Elfrid Payton PG Ricky Rubio SG Tyler Johnson SF Trevor Ariza",NA,"Rodney Hood","SG","12.63%",18.5
20,965111031,"papagates (110/123)",0,340.75,"SG James Harden C Karl-Anthony Towns UTIL DeAndre Jordan PF Kelly Olynyk PG Tyler Johnson F Trevor Ariza SF Allen Crabbe G Josh Hart",NA,"Kelly Olynyk","PF","12.61%",48.75
21,964873455,"RexGrossman (112/123)",0,339.5,"PG James Harden UTIL DeAndre Jordan PF Zach Randolph SG Josh Richardson SF Kyle Kuzma F Kelly Olynyk G Tyler Johnson C Nene Hilario",NA,"Tyreke Evans","PG","11.71%",30
22,965273394,"underjones (20/50)",0,339.25,"UTIL James Harden C DeAndre Jordan PF Zach Randolph SF T.J. Warren PG Elfrid Payton SG Tyler Johnson G Trevor Ariza F P.J. Tucker",NA,"Victor Oladipo","UTIL","11.42%",34.75
23,964873434,"RexGrossman (91/123)",0,339,"PG James Harden PF Zach Randolph UTIL Rondae Hollis-Jefferson SG Josh Richardson SF Kyle Kuzma C Kelly Olynyk G Tyler Johnson F Omri Casspi",NA,"Zach Randolph","F","10.29%",36.5
24,964975488,"cheddabisque (6/123)",0,336.75,"PG James Harden C Karl-Anthony Towns SF T.J. Warren UTIL Kelly Olynyk SG Tyler Johnson G Trevor Ariza F Bam Adebayo PF P.J. Tucker",NA,"Lonzo Ball","G","10.07%",37.75
25,965256639,"EmileHeskey (96/123)",0,336.25,"SG James Harden C Karl-Anthony Towns UTIL DeAndre Jordan PF T.J. Warren PG Tyler Johnson SF Trevor Ariza F Torrey Craig G Josh Hart",NA,"Nicolas Batum","UTIL","9.10%",9.5
26,965111039,"papagates (118/123)",0,335.25,"SG James Harden C Marc Gasol UTIL Tyreke Evans PG Lonzo Ball PF Kyle Kuzma F Trevor Ariza SF Wayne Ellington G Josh Hart",NA,"Kris Dunn","PG","8.74%",40
27,964763392,"pianoclub (74/123)",0,334.75,"PG James Harden C Karl-Anthony Towns F LaMarcus Aldridge PF Kelly Olynyk SG Tyler Johnson SF Trevor Ariza G Dejounte Murray UTIL Josh Hart",NA,"Mario Hezonja","G","8.23%",15
28,964660566,"ChipotleAddict (77/123)",0,334.5,"SG James Harden C Zach Randolph F Will Barton UTIL T.J. Warren PF Kyle Kuzma G Jamal Murray PG Tyler Johnson SF Wayne Ellington",NA,"Rondae Hollis-Jefferson","PF","8.18%",31.5
