"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,964834779,"ragingphilip (12/44)",0,312.5,"PF Pau Gasol UTIL Damian Lillard SG CJ McCollum SF Wilson Chandler PG Jeff Teague F Mason Plumlee C Karl-Anthony Towns G Jamal Murray",NA,"Karl-Anthony Towns","C","67.62%",48.5
2,964834805,"ragingphilip (38/44)",0,306.5,"PF Pau Gasol UTIL Damian Lillard SF Wilson Chandler PG Jeff Teague F Mason Plumlee SG Will Barton C Karl-Anthony Towns G Jamal Murray",NA,"Damian Lillard","UTIL","62.79%",30.5
3,964834797,"ragingphilip (30/44)",0,305.75,"PF Pau Gasol G Damian Lillard C Jusuf Nurkic SF Wilson Chandler PG Jeff Teague F Mason Plumlee UTIL Karl-Anthony Towns SG Jamal Murray",NA,"Will Barton","SG","46.87%",24.25
4,965431407,"vonlyguy",0,303.5,"F Manu Ginobili PF Pau Gasol PG Damian Lillard SF Wilson Chandler SG Jimmy Butler UTIL Mason Plumlee C Karl-Anthony Towns G Jamal Murray",NA,"LaMarcus Aldridge","PF","46.80%",37
5,965050187,"DapDan708",0,300.5,"PF Pau Gasol UTIL Evan Turner PG Damian Lillard SF Wilson Chandler SG Jimmy Butler F Mason Plumlee C Karl-Anthony Towns G Jamal Murray",NA,"Jamal Murray","G","46.73%",45
6,964834803,"ragingphilip (36/44)",0,300.25,"PF Pau Gasol PG Damian Lillard UTIL CJ McCollum SF Wilson Chandler F Mason Plumlee SG Will Barton C Karl-Anthony Towns G Jamal Murray",NA,"Jimmy Butler","SG","46.05%",36.5
7,964834795,"ragingphilip (28/44)",0,299.5,"PF Pau Gasol PG Damian Lillard SG CJ McCollum C Jusuf Nurkic SF Wilson Chandler F Mason Plumlee UTIL Karl-Anthony Towns G Jamal Murray",NA,"Jeff Teague","G","41.97%",36.5
8,965071344,"jrodjr918",0,299.25,"F Pau Gasol UTIL LaMarcus Aldridge G Jamal Crawford SF Wilson Chandler SG Jimmy Butler C Karl-Anthony Towns PF Trey Lyles PG Jamal Murray",NA,"Mason Plumlee","PF","41.43%",40.5
8,965197537,"joetowner",0,299.25,"PF Pau Gasol G CJ McCollum UTIL Jusuf Nurkic PG Jeff Teague F Mason Plumlee SF Andrew Wiggins C Karl-Anthony Towns SG Jamal Murray",NA,"CJ McCollum","PG","38.50%",30.25
10,965503187,"sambad",0,296,"PF Pau Gasol F LaMarcus Aldridge SF Evan Turner G Damian Lillard PG Jeff Teague C Mason Plumlee UTIL Nikola Jokic SG Jamal Murray",NA,"Nikola Jokic","C","35.78%",35.5
11,965478253,"mmmfriedchicken",0,295.5,"F Pau Gasol UTIL CJ McCollum G Dejounte Murray SG Jimmy Butler PF Mason Plumlee SF Will Barton C Karl-Anthony Towns PG Jamal Murray",NA,"Wilson Chandler","SF","35.58%",28.5
11,965524024,"kmills8",0,295.5,"C Pau Gasol PF LaMarcus Aldridge F Al-Farouq Aminu G Dejounte Murray SF Wilson Chandler SG Jimmy Butler UTIL Karl-Anthony Towns PG Jamal Murray",NA,"Dejounte Murray","G","34.01%",17.75
13,965519446,"fluck3 (4/4)",0,294.75,"PF Pau Gasol F LaMarcus Aldridge UTIL Jeff Teague G Jimmy Butler C Mason Plumlee SG Will Barton SF Andrew Wiggins PG Jamal Murray",NA,"Rudy Gay","F","28.78%",10.75
14,965496638,"nnam941",0,293.75,"UTIL Pau Gasol G Damian Lillard F Wilson Chandler PG Jeff Teague SG Jimmy Butler PF Mason Plumlee SF Torrey Craig C Karl-Anthony Towns",NA,"Taj Gibson","PF","27.48%",22.25
15,964660169,"CZYX (36/44)",0,292.5,"F LaMarcus Aldridge SF Wilson Chandler PG Jeff Teague SG Jimmy Butler PF Mason Plumlee UTIL Torrey Craig C Karl-Anthony Towns G Jamal Murray",NA,"Trey Lyles","F","27.35%",18.25
