"Karl-Anthony Towns_MIN","Jimmy Butler_MIN","Damian Lillard_POR","Nikola Jokic_DEN","LaMarcus Aldridge_SA","Paul Millsap_DEN","CJ McCollum_POR","Jusuf Nurkic_POR","Gary Harris_DEN","Will Barton_DEN","Jeff Teague_MIN","Kawhi Leonard_SA","Andrew Wiggins_MIN","Taj Gibson_MIN","Jamal Murray_DEN","Rudy Gay_SA","Pau Gasol_SA","Kyle Anderson_SA","Danny Green_SA","Trey Lyles_DEN","Al-Farouq Aminu_POR","Wilson Chandler_DEN","Tony Parker_SA","Patty Mills_SA","Dejounte Murray_SA","Mason Plumlee_DEN","Manu Ginobili_SA","Evan Turner_POR","Ed Davis_POR","Kenneth Faried_DEN","Emmanuel Mudiay_DEN","Jamal Crawford_MIN","Torrey Craig_DEN","Shabazz Napier_POR","Gorgui Dieng_MIN","Brandon Paul_SA","Davis Bertans_SA","Maurice Harkless_POR","Bryn Forbes_SA","Noah Vonleh_POR","Zach Collins_POR","Nemanja Bjelica_MIN","Meyers Leonard_POR","Pat Connaughton_POR","Shabazz Muhammad_MIN","Tyus Jones_MIN","Juancho Hernangomez_DEN","Caleb Swanigan_POR","Malik Beasley_DEN","CJ Wilcox_POR","Darrun Hilliard_SA","Jake Layman_POR","Matt Costello_SA","Joffrey Lauvergne_SA","Derrick White_SA","Wade Baldwin IV_POR","Richard Jefferson_DEN","Aaron Brooks_MIN","Darrell Arthur_DEN","Cole Aldrich_MIN","Anthony Brown_MIN","Marcus Georges-Hunt_MIN","Monte Morris_DEN","Justin Patton_MIN","Tyler Lydon_DEN"
225.303571428571,34.7366071428571,0,0,0,0,0,0,0,0,128.566964285714,0,-54.0044642857143,19.2857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15.2991071428571,0,0,-67.875,0,0,0,0,0,0,0,0,0,-0.334821428571429,-68.7767857142857,0,0,0,0,0,0,0,0,0,0,0,1.14732142857143,0,12.9285714285714,0,30.6919642857143,0,0,0
34.7366071428571,94.9453125,0,0,0,0,0,0,0,0,-8.77790178571429,0,-17.1395089285714,-35.2901785714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16.0569196428571,0,0,-10.8102678571429,0,0,0,0,0,0,0,0,0,0.3046875,-63.2254464285714,0,0,0,0,0,0,0,0,0,0,0,-2.21763392857143,0,5.05357142857143,0,0.416294642857143,0,0,0
0,0,92.5125,0,0,0,-47.403125,36.8125,0,0,0,0,0,0,0,0,0,0,0,0,-31.43125,0,0,0,0,0,0,-42.6375,-28.353125,0,0,0,0,3.115625,0,0,0,-8.871875,0,37.4625,-34.471875,0,48.215625,36.99375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,131.285714285714,0,0,0,0,-46.4523809523809,4.08333333333333,0,0,0,0,-140.779761904762,0,0,0,0,-62.2142857142857,0,-93.0952380952381,0,0,0,-78.2678571428571,0,0,0,29.422619047619,14.2440476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21.1666666666667,0,0,0,0,0,0,0,1.86904761904762,0,-8.21428571428571,0,0,0,0,0,0
0,0,0,0,97.6104166666667,0,0,0,0,0,0,18.3291666666667,0,0,0,-49.3916666666667,-47.80625,56.1625,-57.6145833333333,0,0,0,-36.8229166666667,0,29.6395833333333,0,-38.5395833333333,0,0,0,0,0,0,0,0,-9.10625,-29.2104166666667,0,-42.8041666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.06666666666667,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-47.403125,0,0,0,33.2625,-55.484375,0,0,0,0,0,0,0,0,0,0,0,0,33.634375,0,0,0,0,0,0,20.653125,28.978125,0,0,0,0,-5.975,0,0,0,5.0125,0,-32.728125,36.45625,0,-41.54375,-26.30625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,36.8125,0,0,0,-55.484375,325.84375,0,0,0,0,0,0,0,0,0,0,0,0,-91.0625,0,0,0,0,0,0,10.6875,-117.359375,0,0,0,0,-116.9375,0,0,0,19.359375,0,42.59375,-90.578125,0,-19.71875,-13.359375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-46.4523809523809,0,0,0,0,68.3898809523809,-47.0833333333333,0,0,0,0,68.7172619047619,0,0,0,0,20.5372023809524,0,67.6577380952381,0,0,0,41.3616071428571,0,0,0,6.35863095238095,-14.0877976190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.2708333333333,0,0,0,0,0,0,0,-6.02529761904762,0,-1.47321428571429,0,0,0,0,0,0
0,0,0,4.08333333333333,0,0,0,0,-47.0833333333333,312.979166666667,0,0,0,0,-140.59375,0,0,0,0,32.6354166666667,0,-83.2708333333333,0,0,0,3.05208333333333,0,0,0,70.96875,28.1145833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-56.3958333333333,0,0,0,0,0,0,0,25.3229166666667,0,0.9375,0,0,0,0,0,0
