Position,Name,Salary,GameInfo,AvgPointsPerGame,Team,Opponent,Projection,Projection_dfn,Actual_fpts,HomeTeam,AwayTeam,IsHome,Date,Contest
SF/PF,Kevin Durant,11600,MEM@GS 12/20/2017 10:30PM ET,49.47,GS,MEM,0.0,55.1,38.0,GS,MEM,True,2017-12-20,$2.00entry_NBA $2K Layup (Night)
PG/SG,Stephen Curry,9300,MEM@GS 12/20/2017 10:30PM ET,46.924,GS,MEM,0.0,0.0,0.0,GS,MEM,True,2017-12-20,$2.00entry_NBA $2K Layup (Night)
SG/SF,Devin Booker,7800,PHO@LAC 12/20/2017 10:30PM ET,38.3,PHO,LAC,0.0,0.0,0.0,LAC,PHO,False,2017-12-20,$2.00entry_NBA $2K Layup (Night)
C,Marc Gasol,7700,MEM@GS 12/20/2017 10:30PM ET,39.742,MEM,GS,0.0,37.6,43.25,GS,MEM,False,2017-12-20,$2.00entry_NBA $2K Layup (Night)
PG/SG,Lou Williams,7600,PHO@LAC 12/20/2017 10:30PM ET,32.58,LAC,PHO,0.0,40.1,0.0,LAC,PHO,True,2017-12-20,$2.00entry_NBA $2K Layup (Night)
PF/C,Draymond Green,7500,MEM@GS 12/20/2017 10:30PM ET,35.94,GS,MEM,0.0,0.0,0.0,GS,MEM,True,2017-12-20,$2.00entry_NBA $2K Layup (Night)
C,DeAndre Jordan,7500,PHO@LAC 12/20/2017 10:30PM ET,34.69,LAC,PHO,0.0,39.1,39.5,LAC,PHO,True,2017-12-20,$2.00entry_NBA $2K Layup (Night)
PF/C,Blake Griffin,7500,PHO@LAC 12/20/2017 10:30PM ET,43.763,LAC,PHO,0.0,0.0,0.0,LAC,PHO,True,2017-12-20,$2.00entry_NBA $2K Layup (Night)
SG,Klay Thompson,7200,MEM@GS 12/20/2017 10:30PM ET,33.4,GS,MEM,0.0,34.9,43.0,GS,MEM,True,2017-12-20,$2.00entry_NBA $2K Layup (Night)
PG/SG,Tyreke Evans,7000,MEM@GS 12/20/2017 10:30PM ET,33.526,MEM,GS,0.0,35.3,30.0,GS,MEM,False,2017-12-20,$2.00entry_NBA $2K Layup (Night)
