Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,FPPM,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exposure,Con.,Value,Mins,Score,Val,Date
Kevin Durant,SF/PFSFPF,GSW,vs MEM,13th,106.75,11600,31.5,70.8,49.5,1.45,31.2,19.0,34.2,36.0,48.35,48.35,%,77,4.2,33.0,38.0,3.3,2017-12-20
Russell Westbrook,PG,OKC,vs UTA,8th,102.75,11400,35.6,77.2,54.7,1.52,34.2,20.8,36.0,36.0,53.46,53.46,%,78,4.7,27.0,56.0,4.9,2017-12-20
James Harden,PG/SGPGSG,HOU,vs LAL,14th,120.5,11000,38.4,79.0,56.7,1.61,36.4,20.9,35.3,35.0,55.79,55.79,%,80,5.1,43.0,71.25,6.5,2017-12-20
Chris Paul,PG/SGPGSG,HOU,vs LAL,28th,120.5,9800,39.6,76.3,44.4,1.43,22.8,12.5,31.0,35.0,55.34,55.34,%,76,5.6,25.0,20.75,2.1,2017-12-20
Nikola Vucevic,C,ORL,@ CHI,19th,102.75,9400,26.9,75.5,40.2,1.33,25.1,14.9,30.2,33.0,47.72,47.72,%,65,5.1,31.0,38.5,4.1,2017-12-20
Victor Oladipo,PG/SGPGSG,IND,@ ATL,24th,109.25,9200,33.6,75.0,43.2,1.27,31.2,18.6,34.1,38.0,51.34,51.34,%,73,5.6,31.0,34.75,3.8,2017-12-20
Andre Drummond,C,DET,@ DAL,12th,98.0,9100,24.8,64.0,43.3,1.33,20.9,10.1,32.5,33.0,41.58,41.58,%,74,4.6,21.0,31.25,3.4,2017-12-20
Karl-Anthony Towns,C,MIN,@ DEN,19th,107.5,9000,32.9,74.5,43.4,1.23,23.9,14.5,35.3,39.0,50.7,50.7,%,73,5.6,37.0,48.5,5.4,2017-12-20
Jimmy Butler,SG,MIN,@ DEN,10th,107.5,8800,23.8,61.2,38.5,1.05,23.4,15.6,36.8,37.0,39.85,39.85,%,72,4.5,34.0,36.5,4.1,2017-12-20
Damian Lillard,PG,POR,vs SAS,6th,100.25,8500,25.6,58.7,44.6,1.22,30.8,19.4,36.5,37.0,39.78,39.78,%,79,4.7,34.0,30.5,3.6,2017-12-20
DeMar DeRozan,SG/SFSGSF,TOR,@ CHA,20th,107.25,8300,27.5,61.6,38.9,1.15,30.5,17.5,33.8,35.0,42.14,42.14,%,75,5.1,29.0,41.5,5.0,2017-12-20
Kyle Lowry,PG,TOR,@ CHA,14th,107.25,8200,24.5,67.3,38.1,1.17,21.7,12.0,32.5,35.0,42.84,42.84,%,68,5.2,24.0,26.75,3.3,2017-12-20
Nikola Jokic,C,DEN,vs MIN,30th,108.5,8100,21.3,70.5,39.2,1.39,22.5,11.4,28.3,28.0,42.36,42.36,%,64,5.2,36.0,35.5,4.4,2017-12-20
Kyrie Irving,PG,BOS,vs MIA,10th,104.5,8000,21.4,59.6,38.7,1.23,32.7,18.1,31.5,33.0,37.79,37.79,%,72,4.7,37.0,49.5,6.2,2017-12-20
LaMarcus Aldridge,PF/CPFC,SAS,@ POR,2nd,98.25,7800,13.8,46.4,39.1,1.19,29.2,17.5,32.9,30.0,27.78,27.78,%,76,3.6,35.0,37.0,4.7,2017-12-20
Marc Gasol,C,MEM,@ GSW,6th,97.75,7700,17.9,53.6,39.7,1.15,28.5,15.5,34.4,34.0,33.18,33.18,%,74,4.3,35.0,43.25,5.6,2017-12-20
Louis Williams,PG/SGPGSG,LAC,vs PHX,25th,110.25,7600,20.9,63.6,32.6,1.07,28.6,14.8,30.4,35.0,39.24,39.24,%,63,5.2,28.0,21.75,2.9,2017-12-20
Dwight Howard,C,CHA,vs TOR,10th,105.25,7600,21.1,63.6,36.4,1.23,26.1,11.0,29.7,32.0,39.3,39.3,%,67,5.2,26.0,26.75,3.5,2017-12-20
DeAndre Jordan,C,LAC,vs PHX,23rd,110.25,7500,25.9,63.7,34.7,1.08,14.3,7.3,32.1,34.0,42.09,42.09,%,69,5.6,30.0,39.5,5.3,2017-12-20
Paul George,SF,OKC,vs UTA,6th,102.75,7400,15.6,59.5,38.1,1.04,25.6,17.0,36.7,36.0,34.38,34.38,%,67,4.6,30.0,35.0,4.7,2017-12-20
Al Horford,PF/CPFC,BOS,vs MIA,18th,104.5,7300,22.0,50.0,35.8,1.1,18.9,10.7,32.4,33.0,33.99,33.99,%,78,4.7,26.0,18.5,2.5,2017-12-20
Dennis Schroder,PG,ATL,vs IND,13th,104.25,7300,25.2,52.0,35.1,1.11,30.0,17.4,31.5,34.0,36.65,36.65,%,78,5.0,31.0,27.25,3.7,2017-12-20
Klay Thompson,SG,GSW,vs MEM,12th,106.75,7200,24.7,48.2,33.4,1.0,24.5,16.5,33.5,36.0,34.74,34.74,%,80,4.8,37.0,43.0,6.0,2017-12-20
Kris Dunn,PG/SGPGSG,CHI,vs ORL,29th,107.75,7200,26.1,63.1,30.6,1.09,25.9,12.6,28.0,34.0,41.96,41.96,%,66,5.8,24.0,40.0,5.6,2017-12-20
Kemba Walker,PG,CHA,vs TOR,7th,105.25,7100,18.9,54.3,37.6,1.08,26.8,17.1,34.7,34.0,34.07,34.07,%,73,4.8,27.0,28.5,4.0,2017-12-20
Tyreke Evans,PG/SGPGSG,MEM,@ GSW,17th,97.75,7000,19.0,59.0,33.5,1.13,27.8,14.4,29.7,33.0,36.14,36.14,%,66,5.2,32.0,30.0,4.3,2017-12-20
Jonathon Simmons,SG/SFSGSF,ORL,@ CHI,28th,102.75,6900,16.9,51.0,24.6,0.88,25.2,12.1,28.1,35.0,31.5,31.5,%,60,4.6,33.0,16.5,2.4,2017-12-20
Harrison Barnes,SF/PFSFPF,DAL,vs DET,26th,99.0,6700,22.1,47.1,32.0,0.93,25.0,15.4,34.5,36.0,32.83,32.83,%,78,4.9,31.0,39.25,5.9,2017-12-20
Lonzo Ball,PG,LAL,@ HOU,2nd,105.5,6700,12.2,59.6,33.3,1.01,17.4,10.8,33.0,37.0,32.52,32.52,%,59,4.9,38.0,37.75,5.6,2017-12-20
Spencer Dinwiddie,PG/SGPGSG,BKN,vs SAC,15th,105.5,6700,19.2,58.9,29.2,1.11,20.8,10.5,26.2,31.0,36.21,36.21,%,61,5.4,31.0,28.25,4.2,2017-12-20
Myles Turner,C,IND,@ ATL,20th,109.25,6600,16.1,50.2,30.7,1.04,20.9,11.1,29.6,30.0,30.72,30.72,%,68,4.7,29.0,38.0,5.8,2017-12-20
Kent Bazemore,SG/SFSGSF,ATL,vs IND,5th,104.25,6500,14.0,49.4,28.7,1.01,22.6,10.5,28.3,31.0,29.14,29.14,%,65,4.5,26.0,26.25,4.0,2017-12-20
Brandon Ingram,SG/SFSGSF,LAL,@ HOU,21st,105.5,6500,26.0,61.7,30.7,0.9,22.3,13.3,34.1,38.0,41.31,41.31,%,67,6.4,40.0,33.0,5.1,2017-12-20
Nikola Mirotic,PF/CPFC,CHI,vs ORL,22nd,107.75,6400,17.0,59.4,34.1,1.32,27.6,13.5,25.8,26.0,35.15,35.15,%,65,5.5,21.0,33.0,5.2,2017-12-20
