Player,Roster.Position,X.Drafted,FPTS,Date,Contest,ContestType,Roster Position,%Drafted
Kevin Durant,SF,84.10%,38.0,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
DeAndre Jordan,C,56.01%,39.5,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Tyreke Evans,SG,52.14%,30.0,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Alex Len,F,46.76%,24.25,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Omri Casspi,F,46.68%,22.0,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Klay Thompson,G,46.34%,43.0,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Austin Rivers,SG,45.67%,35.5,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
T.J. Warren,SF,40.71%,45.5,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Lou Williams,SG,40.71%,21.75,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Isaiah Canaan,PG,38.02%,18.5,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Marc Gasol,C,35.41%,43.25,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Milos Teodosic,PG,34.31%,24.25,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Jordan Bell,PF,33.05%,18.0,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
JaMychal Green,SF,25.99%,14.5,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Greg Monroe,PF,22.37%,0.0,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
David West,PF,15.14%,19.5,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Patrick McCaw,PG,14.63%,24.5,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Tyson Chandler,UTIL,14.05%,10.0,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Jamil Wilson,PF,12.87%,21.5,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Josh Jackson,UTIL,12.45%,26.0,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Troy Daniels,G,11.77%,13.75,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Andrew Harrison,G,9.84%,13.5,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Mario Chalmers,UTIL,7.99%,26.0,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Tyler Ulis,G,6.81%,6.0,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Dillon Brooks,F,6.81%,12.5,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Nick Young,G,6.56%,18.5,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Montrezl Harrell,UTIL,5.55%,19.5,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Mike James,PG,5.21%,12.5,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Dragan Bender,UTIL,4.04%,10.0,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Sam Dekker,F,2.78%,13.75,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
C.J. Williams,SG,2.44%,16.75,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Jawun Evans,UTIL,2.19%,6.5,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Marquese Chriss,UTIL,2.19%,25.0,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
James Ennis III,F,1.51%,9.75,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Andre Iguodala,SG,1.35%,0.0,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
JaVale McGee,C,0.84%,13.0,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Quinn Cook,PG,0.59%,13.0,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Deyonta Davis,F,0.50%,3.5,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Draymond Green,PF,0.50%,0.0,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Ben McLemore,G,0.42%,15.75,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Zaza Pachulia,C,0.34%,0.0,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Jarell Martin,UTIL,0.34%,18.0,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Danilo Gallinari,F,0.17%,0.0,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Jared Dudley,UTIL,0.17%,2.75,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Sindarius Thornwell,G,0.17%,0.0,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Willie Reed,UTIL,0.08%,16.5,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Kevon Looney,UTIL,0.08%,9.75,2017-12-20,$2.00entry_NBA $2K Layup (Night),Other,,
Josh Hart,G,28.98%,27.5,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
Chris Paul,PG,26.19%,20.75,2017-12-20,$1.00entry_NBA $30K And-One [20 Entry Max],Other,,
